Sample	cat16-83.trees	cat16-83.sequence01_sequence15_sequence02_sequence09_sequence14	cat16-83.sequence01_sequence15_sequence02_sequence09_sequence14_sequence07_sequence12_sequence16	cat16-83.sequence01_sequence15_sequence02_sequence09_sequence14_sequence07_sequence12_sequence16_sequence11	cat16-83.sequence01_sequence15_sequence02_sequence09_sequence14_sequence07_sequence12_sequence16_sequence11_sequence03_sequence10	cat16-83.sequence01_sequence15_sequence02_sequence09_sequence14_sequence07_sequence12_sequence16_sequence11_sequence03_sequence10_sequence04_sequence08_sequence13_sequence05_sequence06	cat16-83.sequence02_sequence09_sequence14	cat16-83.sequence01_sequence15	cat16-83.sequence12_sequence16	cat16-83.sequence07_sequence12_sequence16	cat16-83.sequence03_sequence10	cat16-83.sequence04_sequence08	cat16-83.sequence04_sequence08_sequence13	cat16-83.sequence05_sequence06	cat16-83.sequence04_sequence08_sequence13_sequence05_sequence06	cat16-83.sequence02_sequence09	
40	30.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
44	28.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	
48	30.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
52	30.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
56	30.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
60	28.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	
64	30.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
68	30.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
72	30.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
76	30.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
80	28.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	
84	30.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
88	30.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
92	30.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
96	30.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
100	28.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	
