Sample	cat16-80.trees	cat16-80.sequence06_sequence15	cat16-80.sequence05_sequence06_sequence15	cat16-80.sequence01_sequence10_sequence12_sequence05_sequence06_sequence15	cat16-80.sequence01_sequence10_sequence12_sequence05_sequence06_sequence15_sequence07	cat16-80.sequence01_sequence10_sequence12_sequence05_sequence06_sequence15_sequence07_sequence02_sequence08_sequence13_sequence03_sequence04_sequence09_sequence11_sequence14_sequence16	cat16-80.sequence02_sequence08	cat16-80.sequence02_sequence08_sequence13	cat16-80.sequence04_sequence09	cat16-80.sequence03_sequence04_sequence09	cat16-80.sequence03_sequence04_sequence09_sequence11	cat16-80.sequence02_sequence08_sequence13_sequence03_sequence04_sequence09_sequence11	cat16-80.sequence14_sequence16	cat16-80.sequence02_sequence08_sequence13_sequence03_sequence04_sequence09_sequence11_sequence14_sequence16	cat16-80.sequence10_sequence12	cat16-80.sequence01_sequence10_sequence12	
600	24.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	
604	22.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
608	24.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	
612	22.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
616	26.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	
620	28.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
624	22.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
628	22.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
632	26.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	
636	24.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
640	22.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
644	26.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	
648	22.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
652	24.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	
656	24.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	
660	22.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
664	22.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
