Sample	cat16-84.trees	cat16-84.sequence08_sequence14	cat16-84.sequence04_sequence08_sequence14	cat16-84.sequence03_sequence04_sequence08_sequence14	cat16-84.sequence06_sequence16	cat16-84.sequence11_sequence12	cat16-84.sequence07_sequence11_sequence12	cat16-84.sequence07_sequence11_sequence12_sequence15	cat16-84.sequence06_sequence16_sequence07_sequence11_sequence12_sequence15	cat16-84.sequence03_sequence04_sequence08_sequence14_sequence06_sequence16_sequence07_sequence11_sequence12_sequence15	cat16-84.sequence09_sequence10	cat16-84.sequence01_sequence09_sequence10	cat16-84.sequence05_sequence13	cat16-84.sequence02_sequence05_sequence13	cat16-84.sequence01_sequence09_sequence10_sequence02_sequence05_sequence13	cat16-84.sequence01_sequence09_sequence10_sequence02_sequence05_sequence13_sequence03_sequence04_sequence08_sequence14_sequence06_sequence16_sequence07_sequence11_sequence12_sequence15	
100	30.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
104	26.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
108	30.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
112	30.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
116	30.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
120	30.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
124	30.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
128	28.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
132	28.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
136	30.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
