Sample	o.trees	o.trees.clade.0	o.trees.clade.1	o.trees.clade.2	o.trees.clade.3	
136	6.0	1.0	1.0	0.0	0.0	
137	8.0	1.0	0.0	1.0	1.0	
138	6.0	1.0	1.0	0.0	0.0	
139	2.0	0.0	0.0	0.0	0.0	
140	8.0	1.0	0.0	1.0	1.0	
141	6.0	1.0	0.0	0.0	1.0	
142	8.0	1.0	1.0	1.0	0.0	
143	8.0	1.0	1.0	0.0	1.0	
144	8.0	1.0	1.0	0.0	1.0	
145	10.0	1.0	1.0	1.0	1.0	
146	8.0	1.0	1.0	0.0	1.0	
147	8.0	1.0	1.0	0.0	1.0	
148	8.0	1.0	1.0	1.0	0.0	
149	6.0	0.0	0.0	1.0	1.0	
150	6.0	1.0	0.0	0.0	1.0	
151	8.0	1.0	1.0	0.0	1.0	
152	8.0	1.0	1.0	0.0	1.0	
153	6.0	0.0	1.0	0.0	1.0	
154	10.0	1.0	1.0	1.0	1.0	
155	2.0	0.0	0.0	0.0	0.0	
156	8.0	1.0	1.0	0.0	1.0	
157	10.0	1.0	1.0	1.0	1.0	
158	4.0	0.0	0.0	1.0	0.0	
159	10.0	1.0	1.0	1.0	1.0	
160	8.0	1.0	1.0	0.0	1.0	
161	8.0	1.0	1.0	0.0	1.0	
162	8.0	0.0	1.0	1.0	1.0	
163	6.0	1.0	0.0	1.0	0.0	
164	4.0	0.0	0.0	1.0	0.0	
165	6.0	1.0	0.0	1.0	0.0	
166	6.0	0.0	1.0	0.0	1.0	
167	8.0	1.0	0.0	1.0	1.0	
168	6.0	0.0	1.0	1.0	0.0	
169	10.0	1.0	1.0	1.0	1.0	
170	10.0	1.0	1.0	1.0	1.0	
171	6.0	1.0	1.0	0.0	0.0	
172	10.0	1.0	1.0	1.0	1.0	
173	10.0	1.0	1.0	1.0	1.0	
174	10.0	1.0	1.0	1.0	1.0	
175	6.0	0.0	1.0	1.0	0.0	
176	10.0	1.0	1.0	1.0	1.0	
177	8.0	1.0	1.0	0.0	1.0	
178	4.0	0.0	0.0	1.0	0.0	
179	8.0	1.0	1.0	1.0	0.0	
180	6.0	0.0	1.0	0.0	1.0	
181	6.0	1.0	0.0	0.0	1.0	
182	8.0	1.0	1.0	1.0	0.0	
183	10.0	1.0	1.0	1.0	1.0	
184	8.0	1.0	1.0	1.0	0.0	
185	8.0	1.0	1.0	1.0	0.0	
186	6.0	0.0	0.0	1.0	1.0	
187	10.0	1.0	1.0	1.0	1.0	
188	10.0	1.0	1.0	1.0	1.0	
189	8.0	1.0	1.0	0.0	1.0	
190	8.0	0.0	1.0	1.0	1.0	
191	8.0	0.0	1.0	1.0	1.0	
