Sample	cat16-1.trees	cat16-1.sequence13_sequence08	cat16-1.sequence11_sequence12_sequence06_sequence08	cat16-1.sequence11_sequence12_sequence13_sequence06	cat16-1.sequence04_sequence07_sequence09	cat16-1.sequence01_sequence16_sequence15	cat16-1.sequence01_sequence03_sequence15	cat16-1.sequence16_sequence03	cat16-1.sequence01_sequence05_sequence04_sequence14_sequence07_sequence11_sequence12_sequence13_sequence16_sequence09_sequence03_sequence10_sequence06_sequence08_sequence15	cat16-1.sequence01_sequence05_sequence14_sequence07_sequence11_sequence12_sequence13_sequence16_sequence03_sequence10_sequence06_sequence08_sequence15	cat16-1.sequence01_sequence05_sequence04_sequence14_sequence11_sequence12_sequence13_sequence16_sequence09_sequence03_sequence10_sequence06_sequence08_sequence15	
116	30.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	
117	26.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	
118	30.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	
119	26.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	
120	26.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	
121	28.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	
122	30.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	
123	28.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	
124	30.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	
125	28.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	
126	28.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	
127	28.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	
128	28.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	
129	26.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	
130	28.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	
131	30.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	
132	28.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	
133	28.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	
134	30.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	
135	30.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	
136	30.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	
137	28.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	
138	28.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	
139	30.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	
140	30.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	
141	28.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	
142	30.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	
143	30.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	
144	28.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	
145	28.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	
146	30.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	
147	28.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	
148	28.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	
149	30.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	
150	28.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	
151	28.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	
152	30.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	
153	30.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	
154	26.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	
155	26.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	
156	30.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	
157	30.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	
158	30.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	
159	28.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	
160	30.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	
161	30.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	
162	28.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	
163	28.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	
164	30.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	
165	30.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	
166	30.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	
167	30.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	
168	30.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	
169	30.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	
170	28.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	
171	26.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	
172	28.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	
173	30.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	
174	30.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	
175	28.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	
176	28.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	
177	28.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	
178	28.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	
179	30.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	
180	28.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	
181	26.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	
182	28.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	
183	28.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	
184	28.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	
185	30.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	
186	28.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	
187	28.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	
188	28.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	
189	24.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	
190	28.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	
191	30.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	
192	28.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	
193	28.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	
194	30.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	
195	26.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	
196	30.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	
197	30.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	
198	30.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	
199	30.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	
200	30.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	
201	28.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	
202	28.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	
203	30.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	
204	30.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	
205	26.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	
206	28.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	
207	28.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	
208	28.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	
209	28.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	
210	28.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	
211	26.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	
212	28.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	
213	28.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	
214	28.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	
215	26.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	
216	28.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	
217	30.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	
218	28.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	
219	28.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	
220	26.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
221	28.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	
222	30.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	
223	28.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	
224	30.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	
225	28.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	
226	30.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	
227	30.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	
228	26.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	
229	28.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	
230	28.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	
231	28.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	
