Sample	cat16-15.trees	cat16-15.sequence12_sequence09_sequence03	cat16-15.sequence07_sequence09_sequence03_sequence10	cat16-15.sequence04_sequence07_sequence12_sequence09_sequence03_sequence10_sequence08	cat16-15.sequence07_sequence12_sequence10	cat16-15.sequence13_sequence16	cat16-15.sequence13_sequence02	cat16-15.sequence11_sequence13_sequence16_sequence02_sequence08	cat16-15.sequence16_sequence02	cat16-15.sequence04_sequence07_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10	
620	28.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
621	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
622	28.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
623	28.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	
624	28.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
625	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
626	28.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
627	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
628	24.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	
629	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
630	28.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
631	28.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
632	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	
633	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
634	26.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	
635	28.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
636	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
637	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
638	28.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	
639	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
640	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
641	28.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
642	28.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
643	26.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	
644	28.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
645	28.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	
646	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
647	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
648	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
649	28.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
650	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
651	28.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	
652	28.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
653	26.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	
654	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
655	28.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
656	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
657	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
658	28.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	
659	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
660	28.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
661	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
662	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
663	28.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	
664	28.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
665	28.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	
666	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
667	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
668	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
669	28.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
670	28.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	
671	28.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
672	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
673	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
674	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
675	28.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	
676	24.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	
677	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
678	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
679	26.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
680	28.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
681	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
682	28.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	
683	26.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	
684	28.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	
685	26.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	
686	28.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	
687	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
688	28.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
689	28.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
690	28.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
691	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
692	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
693	28.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
694	26.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
695	28.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
696	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
697	26.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	
698	26.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
699	28.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
700	26.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
701	26.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	
702	26.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
703	26.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
704	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
705	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
706	26.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	
707	26.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	
708	26.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	
709	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
710	28.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	
711	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
712	28.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
713	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
714	28.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
715	28.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	
716	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
717	28.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
718	28.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	
719	26.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	
720	28.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	
721	28.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
722	28.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
723	26.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	
724	26.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	
725	28.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
726	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
727	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
728	28.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
729	28.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
730	28.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	
731	28.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
732	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
733	28.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
734	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
735	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
736	28.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	
737	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
738	28.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
739	26.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
740	26.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
741	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
742	28.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	
743	28.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	
744	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
745	28.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	
746	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
747	26.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	
748	26.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
749	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
750	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
751	28.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
752	28.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
753	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
754	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
755	28.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
756	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
757	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
758	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
759	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
760	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
761	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
762	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
763	28.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	
764	28.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	
765	28.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	
766	26.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	
767	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
768	24.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	
769	28.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
770	26.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	
771	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
772	28.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	
773	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
774	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
775	28.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
776	28.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
777	28.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	
778	26.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	
779	28.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	
780	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
781	28.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
782	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
783	28.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	
784	26.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
785	26.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	
786	28.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
787	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
788	28.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
789	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
790	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
791	28.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	
792	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
793	28.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
794	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
795	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
796	28.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
797	28.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
798	28.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	
799	28.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
800	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
801	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
802	28.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
803	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
804	28.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
805	28.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	
806	28.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
807	28.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
808	28.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
809	28.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
810	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
811	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
812	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
813	26.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
814	26.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	
815	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
816	28.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
817	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
818	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
819	28.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
820	28.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
821	26.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
822	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
823	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
824	28.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
825	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
826	26.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
827	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
828	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
829	26.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	
830	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
831	28.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	
832	26.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	
833	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
834	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
835	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
836	28.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
837	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
838	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
839	28.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
840	28.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	
841	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
842	28.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	
843	28.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	
844	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
845	26.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	
846	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
847	28.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
848	28.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	
849	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
850	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
851	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
852	28.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
853	26.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	
854	28.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	
855	28.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
856	26.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	
857	24.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	
858	28.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	
859	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
860	28.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
861	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
862	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
863	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
864	28.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
865	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	
866	28.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	
867	28.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	
868	28.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
869	26.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
870	26.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	
871	28.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
872	28.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
873	28.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
874	28.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
875	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
876	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
877	28.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
878	26.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	
879	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
880	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
881	28.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
882	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
883	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
884	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
885	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
886	28.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	
887	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
888	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
889	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
890	28.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	
891	28.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	
892	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
893	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
894	26.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
895	28.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
896	28.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	
897	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
898	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
899	26.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	
