Sample	cat16-15.trees	cat16-15.sequence12_sequence09_sequence03	cat16-15.sequence07_sequence09_sequence03_sequence10	cat16-15.sequence04_sequence07_sequence12_sequence09_sequence03_sequence10_sequence08	cat16-15.sequence07_sequence12_sequence10	cat16-15.sequence13_sequence16	cat16-15.sequence13_sequence02	cat16-15.sequence11_sequence13_sequence16_sequence02_sequence08	cat16-15.sequence16_sequence02	cat16-15.sequence04_sequence07_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10	
134	28.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
135	28.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	
136	26.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	
137	28.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
138	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
139	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
140	28.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
141	28.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	
142	26.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	
143	28.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	
144	28.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
145	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
146	28.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
147	28.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	
148	28.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
149	26.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
150	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
151	28.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
152	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	
153	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
154	28.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
155	28.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
156	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
157	28.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
158	28.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
159	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
160	28.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
161	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
162	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
163	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
164	28.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
165	28.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
166	28.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	
167	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
168	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
169	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
170	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	
171	28.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
172	28.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
173	28.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	
174	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
175	28.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
176	26.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	
177	28.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
178	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
179	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
180	28.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
181	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
182	26.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
183	28.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	
184	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
185	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
186	26.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
187	28.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
188	28.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
189	28.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
190	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
191	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
192	28.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
193	26.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	
194	26.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	
195	28.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	
196	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
197	28.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
198	28.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
199	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
200	26.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
201	26.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	
202	26.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	
203	26.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
204	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
205	28.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
206	28.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
207	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
208	26.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	
209	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
210	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
211	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
212	28.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
213	28.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
214	28.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
215	28.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	
216	28.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
