Sample	cat16-38.trees	cat16-38.sequence11_sequence10_sequence06	cat16-38.sequence11_sequence06_sequence15	cat16-38.sequence10_sequence15	cat16-38.sequence01_sequence05_sequence04_sequence14_sequence07_sequence13_sequence16_sequence02_sequence09_sequence03	cat16-38.sequence05_sequence07_sequence02	cat16-38.sequence01_sequence04_sequence14_sequence11_sequence12_sequence13_sequence09_sequence10_sequence06_sequence08_sequence15	cat16-38.sequence05_sequence16_sequence02_sequence03	cat16-38.sequence07_sequence16_sequence03	cat16-38.sequence05_sequence07_sequence11_sequence12_sequence16_sequence02_sequence03_sequence10_sequence06_sequence08_sequence15	
67	26.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
68	26.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	
69	26.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	
70	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
71	24.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	
72	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
73	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
74	28.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
75	28.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
76	26.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	
77	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
78	26.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	
79	26.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
80	26.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	
81	26.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	
82	28.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	
83	28.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	
84	24.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	
85	26.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	
86	28.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	
87	28.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	
88	24.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	
89	26.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	
90	28.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
91	24.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	
92	28.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
93	28.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	
94	26.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	
95	28.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
96	26.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
97	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
98	26.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	
99	26.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	
100	26.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	
101	26.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	
102	26.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	
103	26.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	
104	28.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
105	28.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	
106	28.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	
107	28.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
108	28.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
109	26.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	
110	24.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	
111	28.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	
112	28.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
113	28.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	
114	24.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	
115	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
116	28.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	
117	26.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	
118	28.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	
119	28.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
120	24.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	
121	28.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	
122	26.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	
123	28.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	
124	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
125	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
126	26.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	
127	28.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	
128	28.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
129	28.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
130	26.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	
131	24.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	
132	28.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	
133	24.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	
134	26.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	
135	28.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	
136	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
137	26.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	
138	26.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	
139	26.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	
140	26.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	
141	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
142	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
143	28.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	
144	28.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
145	28.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
146	28.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
147	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
148	28.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
149	28.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
150	26.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	
151	26.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	
152	26.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	
153	28.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	
