Sample	cat16-10.trees	cat16-10.sequence05_sequence14_sequence12_sequence02_sequence09_sequence03_sequence10_sequence06_sequence08	cat16-10.sequence01_sequence05_sequence04_sequence14_sequence07_sequence11_sequence13_sequence16_sequence02_sequence03_sequence08_sequence15	cat16-10.sequence01_sequence04_sequence07_sequence11_sequence12_sequence13_sequence16_sequence09_sequence10_sequence06_sequence15	
0	30.0	1.0	0.0	0.0	
1	30.0	1.0	0.0	0.0	
2	30.0	1.0	0.0	0.0	
3	30.0	1.0	0.0	0.0	
4	30.0	1.0	0.0	0.0	
5	30.0	1.0	0.0	0.0	
6	30.0	1.0	0.0	0.0	
7	30.0	1.0	0.0	0.0	
8	28.0	0.0	1.0	0.0	
9	30.0	1.0	0.0	0.0	
10	30.0	1.0	0.0	0.0	
11	30.0	1.0	0.0	0.0	
12	30.0	1.0	0.0	0.0	
13	28.0	0.0	1.0	0.0	
14	30.0	1.0	0.0	0.0	
15	30.0	1.0	0.0	0.0	
16	28.0	0.0	1.0	0.0	
17	30.0	1.0	0.0	0.0	
18	30.0	1.0	0.0	0.0	
19	30.0	1.0	0.0	0.0	
20	28.0	0.0	0.0	1.0	
21	30.0	1.0	0.0	0.0	
22	30.0	1.0	0.0	0.0	
23	28.0	0.0	1.0	0.0	
24	30.0	1.0	0.0	0.0	
25	30.0	1.0	0.0	0.0	
26	30.0	1.0	0.0	0.0	
27	30.0	1.0	0.0	0.0	
28	30.0	1.0	0.0	0.0	
29	28.0	0.0	1.0	0.0	
30	30.0	1.0	0.0	0.0	
31	28.0	0.0	0.0	1.0	
32	30.0	1.0	0.0	0.0	
33	30.0	1.0	0.0	0.0	
34	30.0	1.0	0.0	0.0	
35	28.0	0.0	0.0	1.0	
36	28.0	0.0	0.0	1.0	
37	28.0	0.0	0.0	1.0	
38	30.0	1.0	0.0	0.0	
39	30.0	1.0	0.0	0.0	
40	30.0	1.0	0.0	0.0	
41	30.0	1.0	0.0	0.0	
42	30.0	1.0	0.0	0.0	
43	30.0	1.0	0.0	0.0	
44	30.0	1.0	0.0	0.0	
45	30.0	1.0	0.0	0.0	
46	30.0	1.0	0.0	0.0	
47	30.0	1.0	0.0	0.0	
48	30.0	1.0	0.0	0.0	
49	28.0	0.0	0.0	1.0	
50	30.0	1.0	0.0	0.0	
51	28.0	0.0	0.0	1.0	
52	28.0	0.0	0.0	1.0	
53	30.0	1.0	0.0	0.0	
54	28.0	0.0	0.0	1.0	
55	30.0	1.0	0.0	0.0	
56	30.0	1.0	0.0	0.0	
57	30.0	1.0	0.0	0.0	
58	30.0	1.0	0.0	0.0	
59	30.0	1.0	0.0	0.0	
60	28.0	0.0	1.0	0.0	
61	28.0	0.0	0.0	1.0	
62	30.0	1.0	0.0	0.0	
63	28.0	0.0	0.0	1.0	
64	30.0	1.0	0.0	0.0	
65	30.0	1.0	0.0	0.0	
66	30.0	1.0	0.0	0.0	
67	28.0	0.0	1.0	0.0	
68	30.0	1.0	0.0	0.0	
69	30.0	1.0	0.0	0.0	
70	28.0	0.0	0.0	1.0	
71	28.0	0.0	1.0	0.0	
72	30.0	1.0	0.0	0.0	
73	30.0	1.0	0.0	0.0	
74	30.0	1.0	0.0	0.0	
75	30.0	1.0	0.0	0.0	
76	30.0	1.0	0.0	0.0	
77	30.0	1.0	0.0	0.0	
78	30.0	1.0	0.0	0.0	
79	30.0	1.0	0.0	0.0	
80	30.0	1.0	0.0	0.0	
81	30.0	1.0	0.0	0.0	
82	30.0	1.0	0.0	0.0	
83	30.0	1.0	0.0	0.0	
84	30.0	1.0	0.0	0.0	
85	28.0	0.0	0.0	1.0	
86	30.0	1.0	0.0	0.0	
87	30.0	1.0	0.0	0.0	
88	30.0	1.0	0.0	0.0	
89	30.0	1.0	0.0	0.0	
90	30.0	1.0	0.0	0.0	
91	30.0	1.0	0.0	0.0	
92	30.0	1.0	0.0	0.0	
93	30.0	1.0	0.0	0.0	
94	30.0	1.0	0.0	0.0	
95	30.0	1.0	0.0	0.0	
96	30.0	1.0	0.0	0.0	
97	30.0	1.0	0.0	0.0	
98	30.0	1.0	0.0	0.0	
99	30.0	1.0	0.0	0.0	
100	30.0	1.0	0.0	0.0	
101	30.0	1.0	0.0	0.0	
102	30.0	1.0	0.0	0.0	
103	30.0	1.0	0.0	0.0	
104	30.0	1.0	0.0	0.0	
105	30.0	1.0	0.0	0.0	
106	30.0	1.0	0.0	0.0	
107	30.0	1.0	0.0	0.0	
108	30.0	1.0	0.0	0.0	
109	30.0	1.0	0.0	0.0	
110	28.0	0.0	1.0	0.0	
111	30.0	1.0	0.0	0.0	
112	30.0	1.0	0.0	0.0	
113	30.0	1.0	0.0	0.0	
114	30.0	1.0	0.0	0.0	
115	30.0	1.0	0.0	0.0	
116	30.0	1.0	0.0	0.0	
117	30.0	1.0	0.0	0.0	
118	30.0	1.0	0.0	0.0	
119	30.0	1.0	0.0	0.0	
120	30.0	1.0	0.0	0.0	
121	30.0	1.0	0.0	0.0	
122	30.0	1.0	0.0	0.0	
123	30.0	1.0	0.0	0.0	
124	28.0	0.0	0.0	1.0	
125	30.0	1.0	0.0	0.0	
126	30.0	1.0	0.0	0.0	
127	30.0	1.0	0.0	0.0	
128	30.0	1.0	0.0	0.0	
129	30.0	1.0	0.0	0.0	
130	30.0	1.0	0.0	0.0	
131	30.0	1.0	0.0	0.0	
132	30.0	1.0	0.0	0.0	
133	28.0	0.0	0.0	1.0	
134	28.0	0.0	0.0	1.0	
135	30.0	1.0	0.0	0.0	
136	30.0	1.0	0.0	0.0	
137	30.0	1.0	0.0	0.0	
138	28.0	0.0	0.0	1.0	
139	30.0	1.0	0.0	0.0	
140	30.0	1.0	0.0	0.0	
141	28.0	0.0	0.0	1.0	
142	30.0	1.0	0.0	0.0	
143	30.0	1.0	0.0	0.0	
144	30.0	1.0	0.0	0.0	
145	30.0	1.0	0.0	0.0	
146	28.0	0.0	0.0	1.0	
147	30.0	1.0	0.0	0.0	
148	30.0	1.0	0.0	0.0	
149	30.0	1.0	0.0	0.0	
150	28.0	0.0	0.0	1.0	
151	28.0	0.0	0.0	1.0	
152	30.0	1.0	0.0	0.0	
153	30.0	1.0	0.0	0.0	
154	30.0	1.0	0.0	0.0	
155	28.0	0.0	0.0	1.0	
156	28.0	0.0	1.0	0.0	
157	30.0	1.0	0.0	0.0	
158	30.0	1.0	0.0	0.0	
159	28.0	0.0	0.0	1.0	
160	30.0	1.0	0.0	0.0	
161	30.0	1.0	0.0	0.0	
162	30.0	1.0	0.0	0.0	
163	30.0	1.0	0.0	0.0	
164	28.0	0.0	1.0	0.0	
165	30.0	1.0	0.0	0.0	
166	30.0	1.0	0.0	0.0	
167	30.0	1.0	0.0	0.0	
168	30.0	1.0	0.0	0.0	
169	30.0	1.0	0.0	0.0	
170	30.0	1.0	0.0	0.0	
171	30.0	1.0	0.0	0.0	
172	30.0	1.0	0.0	0.0	
173	30.0	1.0	0.0	0.0	
174	28.0	0.0	0.0	1.0	
175	30.0	1.0	0.0	0.0	
176	30.0	1.0	0.0	0.0	
177	30.0	1.0	0.0	0.0	
178	30.0	1.0	0.0	0.0	
179	30.0	1.0	0.0	0.0	
180	30.0	1.0	0.0	0.0	
181	30.0	1.0	0.0	0.0	
182	30.0	1.0	0.0	0.0	
183	28.0	0.0	0.0	1.0	
184	28.0	0.0	0.0	1.0	
185	30.0	1.0	0.0	0.0	
186	30.0	1.0	0.0	0.0	
187	30.0	1.0	0.0	0.0	
188	28.0	0.0	1.0	0.0	
189	30.0	1.0	0.0	0.0	
190	30.0	1.0	0.0	0.0	
191	30.0	1.0	0.0	0.0	
192	30.0	1.0	0.0	0.0	
193	28.0	0.0	1.0	0.0	
194	30.0	1.0	0.0	0.0	
195	30.0	1.0	0.0	0.0	
196	28.0	0.0	1.0	0.0	
197	30.0	1.0	0.0	0.0	
198	30.0	1.0	0.0	0.0	
