Sample	cat16-10.trees	cat16-10.sequence05_sequence14_sequence12_sequence02_sequence09_sequence03_sequence10_sequence06_sequence08	cat16-10.sequence01_sequence05_sequence04_sequence14_sequence07_sequence11_sequence13_sequence16_sequence02_sequence03_sequence08_sequence15	cat16-10.sequence01_sequence04_sequence07_sequence11_sequence12_sequence13_sequence16_sequence09_sequence10_sequence06_sequence15	
199	28.0	0.0	0.0	1.0	
200	30.0	1.0	0.0	0.0	
201	30.0	1.0	0.0	0.0	
202	30.0	1.0	0.0	0.0	
203	30.0	1.0	0.0	0.0	
204	30.0	1.0	0.0	0.0	
205	30.0	1.0	0.0	0.0	
206	30.0	1.0	0.0	0.0	
207	30.0	1.0	0.0	0.0	
208	30.0	1.0	0.0	0.0	
209	30.0	1.0	0.0	0.0	
210	30.0	1.0	0.0	0.0	
211	30.0	1.0	0.0	0.0	
212	30.0	1.0	0.0	0.0	
213	28.0	0.0	0.0	1.0	
214	28.0	0.0	0.0	1.0	
215	30.0	1.0	0.0	0.0	
216	30.0	1.0	0.0	0.0	
217	30.0	1.0	0.0	0.0	
218	30.0	1.0	0.0	0.0	
219	30.0	1.0	0.0	0.0	
220	28.0	0.0	0.0	1.0	
221	30.0	1.0	0.0	0.0	
222	28.0	0.0	0.0	1.0	
223	30.0	1.0	0.0	0.0	
224	30.0	1.0	0.0	0.0	
225	30.0	1.0	0.0	0.0	
226	30.0	1.0	0.0	0.0	
227	30.0	1.0	0.0	0.0	
228	30.0	1.0	0.0	0.0	
229	30.0	1.0	0.0	0.0	
230	30.0	1.0	0.0	0.0	
231	30.0	1.0	0.0	0.0	
232	30.0	1.0	0.0	0.0	
233	30.0	1.0	0.0	0.0	
234	30.0	1.0	0.0	0.0	
235	30.0	1.0	0.0	0.0	
236	30.0	1.0	0.0	0.0	
237	30.0	1.0	0.0	0.0	
238	30.0	1.0	0.0	0.0	
239	30.0	1.0	0.0	0.0	
240	28.0	0.0	0.0	1.0	
241	30.0	1.0	0.0	0.0	
242	30.0	1.0	0.0	0.0	
243	30.0	1.0	0.0	0.0	
244	30.0	1.0	0.0	0.0	
245	30.0	1.0	0.0	0.0	
246	30.0	1.0	0.0	0.0	
247	30.0	1.0	0.0	0.0	
248	28.0	0.0	0.0	1.0	
249	30.0	1.0	0.0	0.0	
250	30.0	1.0	0.0	0.0	
251	30.0	1.0	0.0	0.0	
252	30.0	1.0	0.0	0.0	
253	30.0	1.0	0.0	0.0	
254	30.0	1.0	0.0	0.0	
255	30.0	1.0	0.0	0.0	
256	30.0	1.0	0.0	0.0	
257	30.0	1.0	0.0	0.0	
258	28.0	0.0	0.0	1.0	
259	30.0	1.0	0.0	0.0	
260	30.0	1.0	0.0	0.0	
261	28.0	0.0	0.0	1.0	
262	30.0	1.0	0.0	0.0	
263	30.0	1.0	0.0	0.0	
264	30.0	1.0	0.0	0.0	
265	30.0	1.0	0.0	0.0	
266	30.0	1.0	0.0	0.0	
267	28.0	0.0	0.0	1.0	
268	30.0	1.0	0.0	0.0	
269	28.0	0.0	1.0	0.0	
270	30.0	1.0	0.0	0.0	
271	30.0	1.0	0.0	0.0	
272	30.0	1.0	0.0	0.0	
273	30.0	1.0	0.0	0.0	
274	30.0	1.0	0.0	0.0	
275	30.0	1.0	0.0	0.0	
276	30.0	1.0	0.0	0.0	
277	30.0	1.0	0.0	0.0	
278	30.0	1.0	0.0	0.0	
279	28.0	0.0	0.0	1.0	
280	30.0	1.0	0.0	0.0	
281	30.0	1.0	0.0	0.0	
282	28.0	0.0	0.0	1.0	
283	30.0	1.0	0.0	0.0	
284	28.0	0.0	1.0	0.0	
285	28.0	0.0	0.0	1.0	
286	30.0	1.0	0.0	0.0	
287	30.0	1.0	0.0	0.0	
288	30.0	1.0	0.0	0.0	
289	30.0	1.0	0.0	0.0	
290	28.0	0.0	0.0	1.0	
291	28.0	0.0	1.0	0.0	
292	30.0	1.0	0.0	0.0	
293	30.0	1.0	0.0	0.0	
294	30.0	1.0	0.0	0.0	
295	30.0	1.0	0.0	0.0	
296	30.0	1.0	0.0	0.0	
297	30.0	1.0	0.0	0.0	
298	30.0	1.0	0.0	0.0	
299	30.0	1.0	0.0	0.0	
300	30.0	1.0	0.0	0.0	
301	28.0	0.0	0.0	1.0	
302	30.0	1.0	0.0	0.0	
303	30.0	1.0	0.0	0.0	
304	28.0	0.0	1.0	0.0	
305	30.0	1.0	0.0	0.0	
306	28.0	0.0	1.0	0.0	
307	30.0	1.0	0.0	0.0	
308	30.0	1.0	0.0	0.0	
309	30.0	1.0	0.0	0.0	
310	30.0	1.0	0.0	0.0	
311	30.0	1.0	0.0	0.0	
312	28.0	0.0	0.0	1.0	
313	30.0	1.0	0.0	0.0	
314	30.0	1.0	0.0	0.0	
315	30.0	1.0	0.0	0.0	
316	30.0	1.0	0.0	0.0	
317	30.0	1.0	0.0	0.0	
318	30.0	1.0	0.0	0.0	
319	30.0	1.0	0.0	0.0	
320	28.0	0.0	0.0	1.0	
321	30.0	1.0	0.0	0.0	
322	28.0	0.0	1.0	0.0	
323	30.0	1.0	0.0	0.0	
324	30.0	1.0	0.0	0.0	
325	30.0	1.0	0.0	0.0	
326	30.0	1.0	0.0	0.0	
327	30.0	1.0	0.0	0.0	
328	30.0	1.0	0.0	0.0	
329	30.0	1.0	0.0	0.0	
330	30.0	1.0	0.0	0.0	
331	28.0	0.0	0.0	1.0	
332	30.0	1.0	0.0	0.0	
333	30.0	1.0	0.0	0.0	
334	30.0	1.0	0.0	0.0	
335	30.0	1.0	0.0	0.0	
336	30.0	1.0	0.0	0.0	
337	30.0	1.0	0.0	0.0	
338	30.0	1.0	0.0	0.0	
339	30.0	1.0	0.0	0.0	
340	30.0	1.0	0.0	0.0	
341	30.0	1.0	0.0	0.0	
342	30.0	1.0	0.0	0.0	
343	30.0	1.0	0.0	0.0	
344	30.0	1.0	0.0	0.0	
345	30.0	1.0	0.0	0.0	
346	30.0	1.0	0.0	0.0	
347	30.0	1.0	0.0	0.0	
348	28.0	0.0	0.0	1.0	
349	28.0	0.0	0.0	1.0	
350	30.0	1.0	0.0	0.0	
351	30.0	1.0	0.0	0.0	
352	30.0	1.0	0.0	0.0	
353	30.0	1.0	0.0	0.0	
354	30.0	1.0	0.0	0.0	
355	28.0	0.0	1.0	0.0	
356	30.0	1.0	0.0	0.0	
357	30.0	1.0	0.0	0.0	
358	30.0	1.0	0.0	0.0	
359	30.0	1.0	0.0	0.0	
360	30.0	1.0	0.0	0.0	
361	30.0	1.0	0.0	0.0	
362	30.0	1.0	0.0	0.0	
363	28.0	0.0	0.0	1.0	
364	30.0	1.0	0.0	0.0	
365	30.0	1.0	0.0	0.0	
366	28.0	0.0	0.0	1.0	
367	30.0	1.0	0.0	0.0	
368	30.0	1.0	0.0	0.0	
369	30.0	1.0	0.0	0.0	
370	30.0	1.0	0.0	0.0	
371	30.0	1.0	0.0	0.0	
372	30.0	1.0	0.0	0.0	
373	30.0	1.0	0.0	0.0	
374	30.0	1.0	0.0	0.0	
375	30.0	1.0	0.0	0.0	
376	30.0	1.0	0.0	0.0	
377	30.0	1.0	0.0	0.0	
378	30.0	1.0	0.0	0.0	
379	30.0	1.0	0.0	0.0	
380	30.0	1.0	0.0	0.0	
381	30.0	1.0	0.0	0.0	
382	28.0	0.0	0.0	1.0	
383	30.0	1.0	0.0	0.0	
384	30.0	1.0	0.0	0.0	
385	28.0	0.0	1.0	0.0	
386	30.0	1.0	0.0	0.0	
387	30.0	1.0	0.0	0.0	
388	30.0	1.0	0.0	0.0	
389	30.0	1.0	0.0	0.0	
390	30.0	1.0	0.0	0.0	
391	30.0	1.0	0.0	0.0	
392	30.0	1.0	0.0	0.0	
393	30.0	1.0	0.0	0.0	
394	30.0	1.0	0.0	0.0	
395	30.0	1.0	0.0	0.0	
396	30.0	1.0	0.0	0.0	
397	30.0	1.0	0.0	0.0	
398	30.0	1.0	0.0	0.0	
399	30.0	1.0	0.0	0.0	
400	30.0	1.0	0.0	0.0	
401	30.0	1.0	0.0	0.0	
402	30.0	1.0	0.0	0.0	
403	28.0	0.0	0.0	1.0	
404	28.0	0.0	0.0	1.0	
405	30.0	1.0	0.0	0.0	
406	30.0	1.0	0.0	0.0	
407	30.0	1.0	0.0	0.0	
408	30.0	1.0	0.0	0.0	
409	28.0	0.0	1.0	0.0	
410	30.0	1.0	0.0	0.0	
411	30.0	1.0	0.0	0.0	
412	30.0	1.0	0.0	0.0	
413	30.0	1.0	0.0	0.0	
414	30.0	1.0	0.0	0.0	
415	30.0	1.0	0.0	0.0	
416	30.0	1.0	0.0	0.0	
417	30.0	1.0	0.0	0.0	
418	30.0	1.0	0.0	0.0	
419	30.0	1.0	0.0	0.0	
420	30.0	1.0	0.0	0.0	
421	30.0	1.0	0.0	0.0	
422	30.0	1.0	0.0	0.0	
423	30.0	1.0	0.0	0.0	
424	30.0	1.0	0.0	0.0	
425	30.0	1.0	0.0	0.0	
426	30.0	1.0	0.0	0.0	
427	30.0	1.0	0.0	0.0	
428	30.0	1.0	0.0	0.0	
429	30.0	1.0	0.0	0.0	
430	30.0	1.0	0.0	0.0	
431	28.0	0.0	1.0	0.0	
432	30.0	1.0	0.0	0.0	
433	30.0	1.0	0.0	0.0	
434	30.0	1.0	0.0	0.0	
435	30.0	1.0	0.0	0.0	
436	28.0	0.0	1.0	0.0	
437	28.0	0.0	0.0	1.0	
438	30.0	1.0	0.0	0.0	
439	28.0	0.0	1.0	0.0	
440	30.0	1.0	0.0	0.0	
441	30.0	1.0	0.0	0.0	
442	30.0	1.0	0.0	0.0	
443	30.0	1.0	0.0	0.0	
444	30.0	1.0	0.0	0.0	
445	30.0	1.0	0.0	0.0	
446	30.0	1.0	0.0	0.0	
447	28.0	0.0	0.0	1.0	
448	30.0	1.0	0.0	0.0	
449	30.0	1.0	0.0	0.0	
450	28.0	0.0	0.0	1.0	
451	30.0	1.0	0.0	0.0	
452	30.0	1.0	0.0	0.0	
453	30.0	1.0	0.0	0.0	
454	30.0	1.0	0.0	0.0	
455	28.0	0.0	0.0	1.0	
456	28.0	0.0	1.0	0.0	
457	30.0	1.0	0.0	0.0	
458	30.0	1.0	0.0	0.0	
459	30.0	1.0	0.0	0.0	
460	30.0	1.0	0.0	0.0	
461	30.0	1.0	0.0	0.0	
462	28.0	0.0	0.0	1.0	
463	28.0	0.0	1.0	0.0	
464	30.0	1.0	0.0	0.0	
465	28.0	0.0	0.0	1.0	
466	30.0	1.0	0.0	0.0	
467	30.0	1.0	0.0	0.0	
468	30.0	1.0	0.0	0.0	
469	30.0	1.0	0.0	0.0	
470	30.0	1.0	0.0	0.0	
471	30.0	1.0	0.0	0.0	
472	28.0	0.0	0.0	1.0	
473	30.0	1.0	0.0	0.0	
474	30.0	1.0	0.0	0.0	
475	30.0	1.0	0.0	0.0	
476	28.0	0.0	0.0	1.0	
477	30.0	1.0	0.0	0.0	
478	28.0	0.0	0.0	1.0	
479	30.0	1.0	0.0	0.0	
480	30.0	1.0	0.0	0.0	
481	30.0	1.0	0.0	0.0	
482	30.0	1.0	0.0	0.0	
483	30.0	1.0	0.0	0.0	
484	30.0	1.0	0.0	0.0	
485	28.0	0.0	0.0	1.0	
486	30.0	1.0	0.0	0.0	
487	30.0	1.0	0.0	0.0	
488	30.0	1.0	0.0	0.0	
489	30.0	1.0	0.0	0.0	
490	28.0	0.0	1.0	0.0	
491	30.0	1.0	0.0	0.0	
492	30.0	1.0	0.0	0.0	
493	30.0	1.0	0.0	0.0	
494	30.0	1.0	0.0	0.0	
495	30.0	1.0	0.0	0.0	
496	30.0	1.0	0.0	0.0	
497	30.0	1.0	0.0	0.0	
498	28.0	0.0	0.0	1.0	
499	30.0	1.0	0.0	0.0	
500	28.0	0.0	1.0	0.0	
501	30.0	1.0	0.0	0.0	
502	30.0	1.0	0.0	0.0	
503	28.0	0.0	0.0	1.0	
504	30.0	1.0	0.0	0.0	
505	30.0	1.0	0.0	0.0	
506	30.0	1.0	0.0	0.0	
507	30.0	1.0	0.0	0.0	
508	30.0	1.0	0.0	0.0	
509	30.0	1.0	0.0	0.0	
510	30.0	1.0	0.0	0.0	
511	30.0	1.0	0.0	0.0	
512	30.0	1.0	0.0	0.0	
513	30.0	1.0	0.0	0.0	
514	30.0	1.0	0.0	0.0	
515	28.0	0.0	1.0	0.0	
516	30.0	1.0	0.0	0.0	
517	30.0	1.0	0.0	0.0	
518	30.0	1.0	0.0	0.0	
519	30.0	1.0	0.0	0.0	
520	30.0	1.0	0.0	0.0	
521	30.0	1.0	0.0	0.0	
522	30.0	1.0	0.0	0.0	
523	30.0	1.0	0.0	0.0	
524	30.0	1.0	0.0	0.0	
525	28.0	0.0	1.0	0.0	
526	30.0	1.0	0.0	0.0	
527	30.0	1.0	0.0	0.0	
528	30.0	1.0	0.0	0.0	
529	30.0	1.0	0.0	0.0	
530	30.0	1.0	0.0	0.0	
531	28.0	0.0	1.0	0.0	
532	30.0	1.0	0.0	0.0	
533	30.0	1.0	0.0	0.0	
534	28.0	0.0	1.0	0.0	
535	30.0	1.0	0.0	0.0	
536	30.0	1.0	0.0	0.0	
537	30.0	1.0	0.0	0.0	
538	30.0	1.0	0.0	0.0	
539	30.0	1.0	0.0	0.0	
540	28.0	0.0	1.0	0.0	
541	30.0	1.0	0.0	0.0	
542	30.0	1.0	0.0	0.0	
543	30.0	1.0	0.0	0.0	
544	30.0	1.0	0.0	0.0	
545	30.0	1.0	0.0	0.0	
546	30.0	1.0	0.0	0.0	
547	30.0	1.0	0.0	0.0	
548	28.0	0.0	1.0	0.0	
549	28.0	0.0	0.0	1.0	
550	30.0	1.0	0.0	0.0	
551	28.0	0.0	1.0	0.0	
552	30.0	1.0	0.0	0.0	
553	30.0	1.0	0.0	0.0	
554	30.0	1.0	0.0	0.0	
555	28.0	0.0	0.0	1.0	
556	30.0	1.0	0.0	0.0	
557	30.0	1.0	0.0	0.0	
558	30.0	1.0	0.0	0.0	
559	30.0	1.0	0.0	0.0	
560	30.0	1.0	0.0	0.0	
561	30.0	1.0	0.0	0.0	
562	30.0	1.0	0.0	0.0	
563	30.0	1.0	0.0	0.0	
564	30.0	1.0	0.0	0.0	
565	30.0	1.0	0.0	0.0	
566	30.0	1.0	0.0	0.0	
567	30.0	1.0	0.0	0.0	
568	30.0	1.0	0.0	0.0	
569	30.0	1.0	0.0	0.0	
570	30.0	1.0	0.0	0.0	
571	30.0	1.0	0.0	0.0	
572	30.0	1.0	0.0	0.0	
573	30.0	1.0	0.0	0.0	
574	30.0	1.0	0.0	0.0	
575	30.0	1.0	0.0	0.0	
576	28.0	0.0	0.0	1.0	
577	30.0	1.0	0.0	0.0	
578	28.0	0.0	0.0	1.0	
579	30.0	1.0	0.0	0.0	
580	30.0	1.0	0.0	0.0	
581	30.0	1.0	0.0	0.0	
582	30.0	1.0	0.0	0.0	
583	30.0	1.0	0.0	0.0	
584	30.0	1.0	0.0	0.0	
585	30.0	1.0	0.0	0.0	
586	30.0	1.0	0.0	0.0	
587	30.0	1.0	0.0	0.0	
588	30.0	1.0	0.0	0.0	
589	30.0	1.0	0.0	0.0	
590	30.0	1.0	0.0	0.0	
591	30.0	1.0	0.0	0.0	
592	30.0	1.0	0.0	0.0	
593	30.0	1.0	0.0	0.0	
594	28.0	0.0	1.0	0.0	
595	30.0	1.0	0.0	0.0	
596	30.0	1.0	0.0	0.0	
597	30.0	1.0	0.0	0.0	
598	30.0	1.0	0.0	0.0	
599	30.0	1.0	0.0	0.0	
600	30.0	1.0	0.0	0.0	
601	30.0	1.0	0.0	0.0	
602	30.0	1.0	0.0	0.0	
603	30.0	1.0	0.0	0.0	
604	30.0	1.0	0.0	0.0	
605	30.0	1.0	0.0	0.0	
606	30.0	1.0	0.0	0.0	
607	30.0	1.0	0.0	0.0	
608	30.0	1.0	0.0	0.0	
609	30.0	1.0	0.0	0.0	
610	30.0	1.0	0.0	0.0	
611	30.0	1.0	0.0	0.0	
612	30.0	1.0	0.0	0.0	
613	30.0	1.0	0.0	0.0	
614	30.0	1.0	0.0	0.0	
615	30.0	1.0	0.0	0.0	
616	30.0	1.0	0.0	0.0	
617	30.0	1.0	0.0	0.0	
618	30.0	1.0	0.0	0.0	
619	30.0	1.0	0.0	0.0	
620	28.0	0.0	0.0	1.0	
621	30.0	1.0	0.0	0.0	
622	30.0	1.0	0.0	0.0	
623	30.0	1.0	0.0	0.0	
624	30.0	1.0	0.0	0.0	
625	30.0	1.0	0.0	0.0	
626	30.0	1.0	0.0	0.0	
627	30.0	1.0	0.0	0.0	
628	28.0	0.0	0.0	1.0	
629	30.0	1.0	0.0	0.0	
630	30.0	1.0	0.0	0.0	
631	30.0	1.0	0.0	0.0	
632	28.0	0.0	0.0	1.0	
633	30.0	1.0	0.0	0.0	
634	28.0	0.0	0.0	1.0	
635	30.0	1.0	0.0	0.0	
636	30.0	1.0	0.0	0.0	
637	30.0	1.0	0.0	0.0	
638	30.0	1.0	0.0	0.0	
639	28.0	0.0	1.0	0.0	
640	30.0	1.0	0.0	0.0	
641	30.0	1.0	0.0	0.0	
642	30.0	1.0	0.0	0.0	
643	30.0	1.0	0.0	0.0	
644	28.0	0.0	1.0	0.0	
645	28.0	0.0	0.0	1.0	
646	28.0	0.0	0.0	1.0	
647	30.0	1.0	0.0	0.0	
648	30.0	1.0	0.0	0.0	
649	30.0	1.0	0.0	0.0	
650	30.0	1.0	0.0	0.0	
651	30.0	1.0	0.0	0.0	
652	28.0	0.0	1.0	0.0	
653	28.0	0.0	1.0	0.0	
654	30.0	1.0	0.0	0.0	
655	28.0	0.0	0.0	1.0	
656	30.0	1.0	0.0	0.0	
657	30.0	1.0	0.0	0.0	
658	30.0	1.0	0.0	0.0	
659	30.0	1.0	0.0	0.0	
660	30.0	1.0	0.0	0.0	
661	30.0	1.0	0.0	0.0	
662	28.0	0.0	1.0	0.0	
663	30.0	1.0	0.0	0.0	
664	30.0	1.0	0.0	0.0	
665	30.0	1.0	0.0	0.0	
666	28.0	0.0	1.0	0.0	
667	30.0	1.0	0.0	0.0	
668	30.0	1.0	0.0	0.0	
669	30.0	1.0	0.0	0.0	
670	30.0	1.0	0.0	0.0	
671	28.0	0.0	1.0	0.0	
672	30.0	1.0	0.0	0.0	
673	30.0	1.0	0.0	0.0	
674	30.0	1.0	0.0	0.0	
675	30.0	1.0	0.0	0.0	
676	30.0	1.0	0.0	0.0	
677	30.0	1.0	0.0	0.0	
678	30.0	1.0	0.0	0.0	
679	30.0	1.0	0.0	0.0	
680	28.0	0.0	0.0	1.0	
681	30.0	1.0	0.0	0.0	
682	30.0	1.0	0.0	0.0	
683	30.0	1.0	0.0	0.0	
684	28.0	0.0	1.0	0.0	
685	30.0	1.0	0.0	0.0	
686	30.0	1.0	0.0	0.0	
687	30.0	1.0	0.0	0.0	
688	30.0	1.0	0.0	0.0	
689	30.0	1.0	0.0	0.0	
690	30.0	1.0	0.0	0.0	
691	30.0	1.0	0.0	0.0	
692	30.0	1.0	0.0	0.0	
693	28.0	0.0	0.0	1.0	
694	30.0	1.0	0.0	0.0	
695	30.0	1.0	0.0	0.0	
696	30.0	1.0	0.0	0.0	
697	30.0	1.0	0.0	0.0	
698	30.0	1.0	0.0	0.0	
699	30.0	1.0	0.0	0.0	
700	30.0	1.0	0.0	0.0	
701	30.0	1.0	0.0	0.0	
702	28.0	0.0	0.0	1.0	
703	30.0	1.0	0.0	0.0	
704	30.0	1.0	0.0	0.0	
705	30.0	1.0	0.0	0.0	
706	30.0	1.0	0.0	0.0	
707	28.0	0.0	0.0	1.0	
708	30.0	1.0	0.0	0.0	
709	30.0	1.0	0.0	0.0	
710	30.0	1.0	0.0	0.0	
711	30.0	1.0	0.0	0.0	
712	30.0	1.0	0.0	0.0	
713	30.0	1.0	0.0	0.0	
714	30.0	1.0	0.0	0.0	
715	30.0	1.0	0.0	0.0	
