Sample	cat16-20.trees	cat16-20.sequence05_sequence07_sequence02	cat16-20.sequence11_sequence13_sequence06_sequence08	cat16-20.sequence16_sequence06	cat16-20.sequence11_sequence13_sequence16_sequence08	cat16-20.sequence01_sequence02_sequence03	cat16-20.sequence01_sequence05_sequence07_sequence03	
432	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
433	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
434	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
435	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
436	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
437	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
438	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
439	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
440	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
441	28.0	1.0	0.0	0.0	1.0	0.0	0.0	
442	26.0	0.0	0.0	1.0	0.0	0.0	1.0	
443	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
444	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
445	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
446	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
447	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
448	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
449	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
450	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
451	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
452	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
453	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
454	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
455	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
456	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
457	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
458	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
459	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
460	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
461	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
462	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
463	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
464	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
465	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
466	28.0	1.0	0.0	0.0	1.0	0.0	0.0	
467	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
468	26.0	0.0	0.0	1.0	0.0	1.0	0.0	
469	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
470	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
471	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
472	26.0	0.0	0.0	0.0	1.0	1.0	0.0	
473	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
474	26.0	0.0	0.0	1.0	0.0	1.0	0.0	
475	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
476	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
477	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
478	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
479	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
480	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
481	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
482	28.0	1.0	0.0	0.0	1.0	0.0	0.0	
483	26.0	0.0	0.0	0.0	1.0	1.0	0.0	
484	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
485	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
486	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
487	26.0	0.0	0.0	1.0	0.0	1.0	0.0	
488	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
489	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
490	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
491	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
492	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
493	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
494	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
495	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
496	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
497	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
498	28.0	1.0	0.0	0.0	1.0	0.0	0.0	
499	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
500	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
501	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
502	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
503	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
504	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
505	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
506	26.0	0.0	0.0	1.0	0.0	1.0	0.0	
507	26.0	0.0	0.0	1.0	0.0	1.0	0.0	
508	26.0	0.0	0.0	1.0	0.0	1.0	0.0	
509	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
510	28.0	1.0	0.0	1.0	0.0	0.0	0.0	
511	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
512	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
513	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
514	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
515	28.0	1.0	0.0	0.0	1.0	0.0	0.0	
516	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
517	26.0	0.0	0.0	1.0	0.0	1.0	0.0	
518	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
519	26.0	0.0	0.0	1.0	0.0	0.0	1.0	
520	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
521	26.0	0.0	0.0	1.0	0.0	0.0	1.0	
522	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
523	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
524	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
525	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
526	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
527	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
528	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
529	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
530	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
531	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
532	26.0	0.0	0.0	1.0	0.0	0.0	1.0	
533	26.0	0.0	0.0	1.0	0.0	1.0	0.0	
534	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
535	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
536	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
537	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
538	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
539	26.0	0.0	0.0	1.0	0.0	0.0	1.0	
540	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
541	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
542	26.0	0.0	0.0	0.0	1.0	1.0	0.0	
543	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
544	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
545	26.0	0.0	0.0	1.0	0.0	0.0	1.0	
546	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
547	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
548	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
549	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
550	26.0	0.0	0.0	1.0	0.0	1.0	0.0	
551	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
552	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
553	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
554	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
555	28.0	1.0	0.0	1.0	0.0	0.0	0.0	
556	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
557	28.0	1.0	0.0	1.0	0.0	0.0	0.0	
558	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
559	28.0	1.0	0.0	0.0	1.0	0.0	0.0	
560	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
561	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
562	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
563	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
564	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
565	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
566	26.0	0.0	0.0	1.0	0.0	1.0	0.0	
567	26.0	0.0	0.0	1.0	0.0	1.0	0.0	
568	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
569	26.0	0.0	0.0	1.0	0.0	1.0	0.0	
570	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
571	26.0	0.0	0.0	1.0	0.0	1.0	0.0	
572	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
573	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
574	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
575	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
576	26.0	0.0	0.0	0.0	1.0	1.0	0.0	
577	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
578	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
579	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
580	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
581	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
582	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
583	28.0	1.0	0.0	0.0	1.0	0.0	0.0	
584	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
585	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
586	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
587	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
588	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
589	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
590	26.0	0.0	0.0	0.0	1.0	1.0	0.0	
591	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
592	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
593	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
594	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
595	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
596	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
597	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
598	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
599	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
600	26.0	0.0	0.0	1.0	0.0	1.0	0.0	
601	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
602	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
603	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
604	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
605	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
606	26.0	0.0	0.0	0.0	1.0	1.0	0.0	
607	26.0	0.0	0.0	0.0	1.0	1.0	0.0	
608	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
609	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
610	28.0	1.0	0.0	1.0	0.0	0.0	0.0	
611	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
612	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
613	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
614	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
615	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
616	26.0	0.0	0.0	1.0	0.0	1.0	0.0	
617	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
618	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
619	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
620	28.0	1.0	0.0	1.0	0.0	0.0	0.0	
621	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
622	26.0	0.0	0.0	1.0	0.0	1.0	0.0	
623	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
624	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
625	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
626	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
627	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
628	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
629	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
630	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
631	28.0	1.0	0.0	0.0	1.0	0.0	0.0	
632	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
633	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
634	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
635	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
636	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
637	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
638	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
639	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
640	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
641	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
642	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
643	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
644	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
645	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
646	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
647	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
648	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
649	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
650	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
651	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
652	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
653	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
654	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
655	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
656	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
657	26.0	0.0	0.0	1.0	0.0	1.0	0.0	
658	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
659	26.0	0.0	0.0	0.0	1.0	1.0	0.0	
660	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
661	28.0	1.0	0.0	0.0	1.0	0.0	0.0	
662	26.0	0.0	0.0	1.0	0.0	1.0	0.0	
663	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
664	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
665	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
666	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
667	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
668	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
669	28.0	1.0	0.0	1.0	0.0	0.0	0.0	
670	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
671	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
672	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
673	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
674	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
675	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
676	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
677	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
678	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
679	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
680	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
681	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
682	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
683	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
684	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
685	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
686	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
687	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
688	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
689	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
690	28.0	1.0	0.0	1.0	0.0	0.0	0.0	
691	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
692	28.0	1.0	0.0	0.0	1.0	0.0	0.0	
693	26.0	0.0	0.0	0.0	1.0	1.0	0.0	
694	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
695	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
696	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
697	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
698	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
699	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
700	26.0	0.0	0.0	1.0	0.0	1.0	0.0	
701	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
702	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
703	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
704	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
705	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
706	28.0	1.0	0.0	1.0	0.0	0.0	0.0	
707	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
708	26.0	0.0	0.0	1.0	0.0	1.0	0.0	
709	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
710	28.0	1.0	0.0	1.0	0.0	0.0	0.0	
711	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
712	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
713	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
714	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
715	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
716	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
717	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
718	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
719	26.0	0.0	0.0	1.0	0.0	1.0	0.0	
720	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
721	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
722	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
723	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
724	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
725	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
726	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
727	26.0	0.0	0.0	1.0	0.0	1.0	0.0	
728	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
729	26.0	0.0	0.0	1.0	0.0	1.0	0.0	
730	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
731	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
732	28.0	1.0	0.0	0.0	1.0	0.0	0.0	
733	26.0	0.0	0.0	1.0	0.0	0.0	1.0	
734	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
735	26.0	0.0	0.0	0.0	1.0	1.0	0.0	
736	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
737	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
738	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
739	26.0	0.0	0.0	1.0	0.0	1.0	0.0	
740	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
741	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
742	26.0	0.0	0.0	1.0	0.0	1.0	0.0	
743	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
744	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
745	28.0	1.0	0.0	1.0	0.0	0.0	0.0	
746	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
747	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
748	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
749	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
750	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
751	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
752	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
753	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
754	28.0	1.0	0.0	0.0	1.0	0.0	0.0	
755	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
756	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
757	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
758	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
759	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
760	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
761	28.0	1.0	0.0	1.0	0.0	0.0	0.0	
762	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
763	26.0	0.0	0.0	1.0	0.0	0.0	1.0	
764	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
765	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
766	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
767	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
768	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
769	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
770	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
771	28.0	1.0	0.0	0.0	1.0	0.0	0.0	
772	26.0	0.0	0.0	1.0	0.0	0.0	1.0	
773	28.0	1.0	0.0	1.0	0.0	0.0	0.0	
774	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
775	28.0	1.0	0.0	0.0	1.0	0.0	0.0	
776	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
777	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
778	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
779	28.0	1.0	0.0	0.0	1.0	0.0	0.0	
780	26.0	0.0	0.0	1.0	0.0	0.0	1.0	
781	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
782	26.0	0.0	0.0	1.0	0.0	1.0	0.0	
783	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
784	26.0	0.0	0.0	0.0	1.0	1.0	0.0	
785	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
786	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
787	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
788	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
789	26.0	0.0	0.0	0.0	1.0	1.0	0.0	
790	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
791	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
792	26.0	0.0	0.0	0.0	1.0	1.0	0.0	
793	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
794	26.0	0.0	0.0	1.0	0.0	1.0	0.0	
795	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
796	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
797	26.0	0.0	0.0	0.0	1.0	1.0	0.0	
798	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
799	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
800	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
801	26.0	0.0	0.0	0.0	1.0	1.0	0.0	
802	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
803	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
804	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
805	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
806	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
807	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
808	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
809	28.0	1.0	0.0	0.0	1.0	0.0	0.0	
810	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
811	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
812	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
813	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
814	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
815	28.0	1.0	0.0	1.0	0.0	0.0	0.0	
816	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
817	26.0	0.0	0.0	0.0	1.0	1.0	0.0	
818	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
819	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
820	26.0	0.0	0.0	1.0	0.0	0.0	1.0	
821	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
822	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
823	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
824	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
825	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
826	28.0	1.0	0.0	1.0	0.0	0.0	0.0	
827	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
828	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
829	26.0	0.0	0.0	0.0	1.0	1.0	0.0	
830	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
831	26.0	0.0	0.0	1.0	0.0	0.0	1.0	
832	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
833	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
834	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
835	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
836	26.0	0.0	0.0	1.0	0.0	1.0	0.0	
837	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
838	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
839	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
840	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
841	26.0	0.0	0.0	0.0	1.0	1.0	0.0	
842	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
843	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
844	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
845	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
846	26.0	0.0	0.0	0.0	1.0	1.0	0.0	
847	28.0	1.0	0.0	0.0	1.0	0.0	0.0	
848	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
849	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
850	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
851	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
852	26.0	0.0	0.0	1.0	0.0	0.0	1.0	
853	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
854	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
855	26.0	0.0	0.0	1.0	0.0	0.0	1.0	
856	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
857	26.0	0.0	0.0	1.0	0.0	1.0	0.0	
858	28.0	1.0	0.0	0.0	1.0	0.0	0.0	
859	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
860	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
861	26.0	0.0	0.0	1.0	0.0	1.0	0.0	
862	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
863	28.0	1.0	0.0	0.0	1.0	0.0	0.0	
864	26.0	0.0	0.0	1.0	0.0	1.0	0.0	
865	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
866	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
867	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
868	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
869	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
870	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
871	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
872	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
873	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
874	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
875	26.0	0.0	0.0	1.0	0.0	0.0	1.0	
876	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
877	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
