Sample	cat16-20.trees	cat16-20.sequence05_sequence07_sequence02	cat16-20.sequence11_sequence13_sequence06_sequence08	cat16-20.sequence16_sequence06	cat16-20.sequence11_sequence13_sequence16_sequence08	cat16-20.sequence01_sequence02_sequence03	cat16-20.sequence01_sequence05_sequence07_sequence03	
178	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
179	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
180	26.0	0.0	0.0	1.0	0.0	0.0	1.0	
181	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
182	28.0	1.0	0.0	1.0	0.0	0.0	0.0	
183	26.0	0.0	0.0	1.0	0.0	0.0	1.0	
184	26.0	0.0	0.0	1.0	0.0	1.0	0.0	
185	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
186	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
187	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
188	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
189	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
190	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
191	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
192	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
193	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
194	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
195	28.0	1.0	0.0	0.0	1.0	0.0	0.0	
196	26.0	0.0	0.0	0.0	1.0	1.0	0.0	
197	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
198	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
199	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
200	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
201	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
202	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
203	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
204	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
205	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
206	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
207	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
208	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
209	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
210	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
211	28.0	1.0	0.0	0.0	1.0	0.0	0.0	
212	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
213	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
214	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
215	26.0	0.0	0.0	1.0	0.0	0.0	1.0	
216	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
217	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
218	26.0	0.0	0.0	1.0	0.0	1.0	0.0	
219	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
220	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
221	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
222	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
223	28.0	1.0	0.0	0.0	1.0	0.0	0.0	
224	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
225	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
226	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
227	28.0	1.0	0.0	1.0	0.0	0.0	0.0	
228	26.0	0.0	0.0	1.0	0.0	1.0	0.0	
229	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
230	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
231	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
232	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
233	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
234	26.0	0.0	0.0	1.0	0.0	0.0	1.0	
235	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
236	28.0	1.0	0.0	0.0	1.0	0.0	0.0	
237	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
238	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
239	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
240	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
241	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
242	28.0	1.0	0.0	0.0	1.0	0.0	0.0	
243	26.0	0.0	0.0	0.0	1.0	1.0	0.0	
244	26.0	0.0	0.0	1.0	0.0	1.0	0.0	
245	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
246	26.0	0.0	0.0	0.0	1.0	1.0	0.0	
247	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
248	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
249	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
250	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
251	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
252	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
253	26.0	0.0	0.0	1.0	0.0	0.0	1.0	
254	26.0	0.0	0.0	1.0	0.0	1.0	0.0	
255	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
256	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
257	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
258	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
259	26.0	0.0	0.0	0.0	1.0	1.0	0.0	
260	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
261	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
262	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
263	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
264	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
265	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
266	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
267	26.0	0.0	0.0	1.0	0.0	1.0	0.0	
268	26.0	0.0	0.0	1.0	0.0	0.0	1.0	
269	26.0	0.0	0.0	1.0	0.0	0.0	1.0	
270	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
271	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
272	28.0	1.0	0.0	0.0	1.0	0.0	0.0	
273	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
274	26.0	0.0	0.0	0.0	1.0	1.0	0.0	
275	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
276	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
277	26.0	0.0	0.0	1.0	0.0	1.0	0.0	
278	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
279	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
280	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
281	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
282	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
283	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
284	26.0	0.0	0.0	0.0	1.0	1.0	0.0	
285	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
286	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
287	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
288	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
289	28.0	1.0	0.0	0.0	1.0	0.0	0.0	
290	28.0	1.0	0.0	1.0	0.0	0.0	0.0	
291	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
292	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
293	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
294	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
295	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
296	26.0	0.0	0.0	1.0	0.0	1.0	0.0	
297	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
298	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
299	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
300	26.0	0.0	0.0	0.0	1.0	1.0	0.0	
301	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
302	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
303	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
304	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
305	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
306	28.0	1.0	0.0	1.0	0.0	0.0	0.0	
307	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
308	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
309	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
310	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
