Sample	cat16-62.trees	cat16-62.sequence01_sequence05_sequence04_sequence14_sequence11_sequence12_sequence13_sequence16_sequence02_sequence03_sequence06_sequence08	cat16-62.sequence01_sequence05_sequence09_sequence03	cat16-62.sequence01_sequence05_sequence04_sequence14_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence06_sequence08	cat16-62.sequence07_sequence15	cat16-62.sequence14_sequence11_sequence16	cat16-62.sequence14_sequence11_sequence02	cat16-62.sequence16_sequence02	cat16-62.sequence04_sequence14_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence06_sequence08	
25	26.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
26	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
27	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
28	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
29	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
30	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
31	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
32	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
33	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	
34	26.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
35	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
36	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
37	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
38	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
39	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
40	26.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
41	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
42	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
43	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
44	26.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
45	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
46	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
47	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
48	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
49	26.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
50	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
51	26.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
52	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
53	28.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
54	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	
55	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
56	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
57	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
58	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
59	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	
60	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
61	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
62	26.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
63	26.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
64	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
65	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	
66	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	
67	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
68	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
69	26.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
70	26.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
71	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
72	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	
73	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
74	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
75	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
76	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
77	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
78	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
79	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
80	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
81	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
82	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
83	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
84	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
85	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
86	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
87	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
88	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
89	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
90	26.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
91	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
92	26.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
93	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
94	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
95	28.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
96	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
97	26.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
98	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
99	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
100	28.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
101	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
102	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
103	26.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
104	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	
105	26.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
106	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
107	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	
108	26.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
109	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
110	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	
111	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
112	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
113	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	
114	26.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
115	26.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
116	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
117	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	
118	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
119	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	
120	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
121	28.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	
122	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	
123	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
124	28.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
125	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	
126	26.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
127	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
128	26.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
129	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
