Sample	cat16-62.trees	cat16-62.sequence01_sequence05_sequence04_sequence14_sequence11_sequence12_sequence13_sequence16_sequence02_sequence03_sequence06_sequence08	cat16-62.sequence01_sequence05_sequence09_sequence03	cat16-62.sequence01_sequence05_sequence04_sequence14_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence06_sequence08	cat16-62.sequence07_sequence15	cat16-62.sequence14_sequence11_sequence16	cat16-62.sequence14_sequence11_sequence02	cat16-62.sequence16_sequence02	cat16-62.sequence04_sequence14_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence06_sequence08	
311	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
312	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
313	26.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
314	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
315	28.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
316	26.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
317	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	
318	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
319	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
320	26.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
321	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
322	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	
323	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
324	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
325	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
326	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
327	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
328	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
329	26.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
330	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
331	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
332	26.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
333	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
334	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
335	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
336	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
337	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
338	26.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
339	26.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
340	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
341	26.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
342	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
343	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	
344	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
345	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
346	26.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
347	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
348	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
349	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	
350	28.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
351	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	
352	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
353	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
354	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
355	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	
356	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	
357	26.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
358	26.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
359	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
360	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
361	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
362	28.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	
363	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
364	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
365	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
366	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	
367	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
368	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
369	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
370	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	
371	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
372	26.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
373	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
374	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
375	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
376	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
377	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
378	26.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
379	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
380	28.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
381	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
382	26.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	
383	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
384	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
385	26.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
386	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
387	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
388	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
389	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
390	26.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
391	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
392	24.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	
393	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
394	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	
395	26.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
396	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
397	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
398	28.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
399	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
400	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
401	28.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
402	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
403	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
404	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
405	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
406	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
407	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	
408	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
409	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	
410	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
411	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
412	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
413	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
414	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
415	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	
416	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
417	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
418	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
419	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
420	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
421	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
422	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
423	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
424	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
425	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	
426	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	
427	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
428	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
429	26.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
430	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
431	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
432	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
433	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
434	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	
435	26.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
436	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
437	26.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
438	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
439	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	
440	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
441	26.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	
442	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
443	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
444	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
445	26.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	
446	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
447	26.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
448	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
449	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
450	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	
451	26.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
452	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
453	26.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
454	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	
455	26.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
456	26.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
457	26.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
458	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
459	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
460	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	
461	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
462	26.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
463	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	
464	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
465	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	
466	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
467	26.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
468	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
469	26.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
470	26.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
471	24.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
472	26.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
473	26.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
474	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
475	26.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
476	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
477	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
478	26.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
479	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
480	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
481	26.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
482	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
483	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
484	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
485	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
486	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
487	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
488	26.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
489	26.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
490	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
491	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
492	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
493	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
494	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
495	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
496	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	
497	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
498	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
499	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
500	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
501	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	
502	26.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
503	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
504	26.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
505	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	
506	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
507	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	
508	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
509	26.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
510	28.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
511	26.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
512	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
513	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
514	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	
515	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	
516	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
517	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
518	28.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
519	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	
520	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	
521	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	
522	26.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
523	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	
524	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
525	26.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
526	26.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
527	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
528	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
529	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
530	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
531	26.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
532	26.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
533	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
534	26.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
535	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	
536	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
537	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
538	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
539	26.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
540	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
541	28.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
542	26.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
543	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
544	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
545	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	
546	26.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
547	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
548	26.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
549	26.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
550	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
551	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	
552	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
553	26.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
554	26.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
555	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
556	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
557	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
558	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	
559	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
560	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
561	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
562	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
563	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
564	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
565	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
566	26.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
567	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
568	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
569	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
570	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
571	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
572	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
573	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
574	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
575	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
576	26.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
577	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	
578	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
579	26.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
580	28.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
581	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
582	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
583	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
584	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
585	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
586	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
587	28.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
588	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
589	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
590	26.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
591	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	
592	26.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
593	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
594	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
595	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	
596	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
597	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
598	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
599	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	
600	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
601	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
602	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
603	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
604	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
605	26.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
606	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
607	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
608	28.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
609	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
610	26.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
611	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
612	26.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
613	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
614	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
615	26.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
616	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
617	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
618	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
619	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
620	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
621	28.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
622	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
623	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
624	26.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
625	26.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
626	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	
627	28.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
628	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
629	28.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
630	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
631	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
632	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
633	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
634	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
635	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
636	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
637	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	
638	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
639	26.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
640	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
641	26.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
642	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
643	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
644	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
645	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
646	26.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
647	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
648	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
649	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
650	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
651	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	
652	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	
653	26.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
654	26.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
655	26.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
656	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
657	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
658	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	
659	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
660	26.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
661	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	
