Sample	cat16-40.trees	cat16-40.sequence04_sequence16_sequence15	cat16-40.sequence05_sequence11_sequence13_sequence16_sequence02_sequence09_sequence10_sequence06_sequence15	cat16-40.sequence14_sequence07	cat16-40.sequence05_sequence04_sequence11_sequence13_sequence02_sequence09_sequence10_sequence06	cat16-40.sequence01_sequence07_sequence03	cat16-40.sequence05_sequence04_sequence11_sequence13_sequence16_sequence02_sequence09_sequence10_sequence06_sequence15	cat16-40.sequence01_sequence14_sequence03	
248	30.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
249	28.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	
250	28.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	
251	30.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
252	30.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
253	30.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
254	28.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	
255	30.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
256	28.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	
257	28.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	
258	30.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
259	28.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	
260	28.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
261	28.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	
262	30.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
263	28.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	
264	30.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
265	30.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
266	30.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
267	28.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	
268	28.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	
269	28.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
270	28.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	
271	28.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	
272	30.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
273	28.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	
274	30.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
275	30.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
276	28.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	
277	30.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
278	30.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
279	30.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
280	30.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
281	30.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
282	30.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
283	28.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	
284	30.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
285	28.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
286	30.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
287	30.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
288	30.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
289	28.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	
290	28.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	
291	30.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
292	30.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
293	28.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	
294	28.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	
295	28.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	
296	30.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
297	30.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
298	28.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	
299	28.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	
300	28.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	
301	30.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
302	28.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	
303	30.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
304	28.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	
305	28.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	
306	30.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
307	30.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
308	30.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
309	30.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
310	30.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
311	28.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	
312	28.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	
313	30.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
314	30.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
315	30.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
316	30.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
317	30.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
318	28.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	
319	30.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
320	30.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
321	30.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
322	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	
323	30.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
324	30.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
325	30.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
326	28.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	
327	28.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	
328	30.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
329	28.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	
330	30.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
331	28.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	
332	28.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	
333	28.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	
334	30.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
335	30.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
336	30.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
337	30.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
338	30.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
339	28.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	
340	30.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
341	26.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
342	28.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	
343	28.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	
344	30.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
345	30.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
346	30.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
347	28.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	
348	30.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
349	28.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
350	30.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
351	30.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
352	28.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
353	30.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
354	30.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
355	28.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
356	28.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	
357	30.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
358	30.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
359	28.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	
360	28.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
361	30.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
362	30.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
363	28.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	
364	30.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
365	30.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
366	30.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
367	30.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
368	28.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	
369	28.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
370	30.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
371	30.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
372	30.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
373	28.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	
374	30.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
375	30.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
376	30.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
377	30.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
378	28.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	
379	30.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
380	28.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	
381	30.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
382	30.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
383	30.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
384	30.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
