Sample	cat16-81.trees	cat16-81.sequence01_sequence05_sequence04_sequence07_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence15	cat16-81.sequence01_sequence12_sequence13_sequence16	cat16-81.sequence01_sequence12_sequence13_sequence16_sequence02	cat16-81.sequence01_sequence04_sequence07_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence15	cat16-81.sequence01_sequence04_sequence14_sequence07_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence06_sequence08_sequence15	cat16-81.sequence05_sequence14_sequence11_sequence06_sequence08	cat16-81.sequence01_sequence12_sequence13_sequence02	cat16-81.sequence16_sequence02	
73	30.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	
74	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
75	26.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	
76	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
77	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
78	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
79	26.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	
80	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
81	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
82	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
83	26.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
84	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
85	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
86	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
87	26.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	
88	26.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	
89	30.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	
90	26.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	
91	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
92	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
93	30.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	
94	26.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	
95	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
96	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
97	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
98	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
99	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
100	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
101	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
102	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
103	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
104	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
105	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	
106	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
107	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
108	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
109	26.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	
110	26.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	
