Sample	cat16-81.trees	cat16-81.sequence01_sequence05_sequence04_sequence07_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence15	cat16-81.sequence01_sequence12_sequence13_sequence16	cat16-81.sequence01_sequence12_sequence13_sequence16_sequence02	cat16-81.sequence01_sequence04_sequence07_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence15	cat16-81.sequence01_sequence04_sequence14_sequence07_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence06_sequence08_sequence15	cat16-81.sequence05_sequence14_sequence11_sequence06_sequence08	cat16-81.sequence01_sequence12_sequence13_sequence02	cat16-81.sequence16_sequence02	
322	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
323	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
324	28.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
325	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
326	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
327	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
328	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	
329	30.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	
330	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
331	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
332	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
333	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
334	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
335	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
336	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
337	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
338	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
339	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
340	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
341	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
342	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
343	30.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	
344	30.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	
345	30.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	
346	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
347	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
348	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
349	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
350	26.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
351	26.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	
352	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
353	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
354	30.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	
355	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
356	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
357	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
358	30.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	
359	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
360	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
361	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
362	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
363	30.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	
364	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
365	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
366	30.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	
367	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
368	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
369	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
370	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
371	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
372	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
373	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
374	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
375	26.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	
376	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
377	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
378	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
379	26.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	
380	28.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
381	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
382	30.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	
383	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
384	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
385	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
386	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
387	30.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	
388	26.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	
389	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
390	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
391	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	
392	30.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	
393	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
394	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
395	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
396	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
397	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
398	26.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	
399	26.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	
400	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
401	30.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	
402	28.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	
403	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
404	24.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	
405	26.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	
406	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
407	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
408	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
409	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
410	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
411	26.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	
412	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
413	26.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
414	30.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	
415	30.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	
416	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
417	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
418	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
419	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
420	30.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	
421	26.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	
422	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
423	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
424	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
425	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
426	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
427	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
428	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
429	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
430	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
431	30.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	
432	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
433	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
434	30.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	
435	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
436	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
437	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
438	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
439	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
440	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
441	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
442	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	
443	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
444	26.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	
445	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	
446	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
447	30.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	
448	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
449	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
450	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
451	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
452	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
453	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
454	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
455	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
456	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
457	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
458	30.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	
459	26.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	
460	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
461	26.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	
462	26.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	
463	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
464	30.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	
465	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
466	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
467	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
468	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
469	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
470	30.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	
471	28.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
472	30.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	
473	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
474	30.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	
475	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
476	30.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	
477	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
478	26.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	
479	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
480	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
481	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
482	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
483	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
484	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
485	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
486	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
487	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
488	26.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	
489	26.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	
490	24.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	
491	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
492	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
493	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
494	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
495	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
496	30.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	
497	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
498	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
499	26.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	
500	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
501	26.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	
502	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
503	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
504	28.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
505	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	
506	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
507	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
508	26.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	
509	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
510	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
511	26.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	
512	30.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	
513	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
514	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
515	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
516	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
517	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
518	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
519	30.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	
520	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
521	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
522	30.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	
523	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
524	26.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	
525	30.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	
526	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
527	26.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	
528	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
529	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
530	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
531	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
532	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
533	30.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	
534	28.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
535	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
536	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
537	26.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	
538	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
539	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
540	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	
541	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
542	30.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	
543	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
544	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
545	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
546	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
547	30.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	
548	30.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	
549	26.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	
550	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
551	30.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	
552	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
553	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
554	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
555	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
556	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
557	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
558	28.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
559	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
560	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
561	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
562	30.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	
563	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
564	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
565	30.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	
566	30.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	
567	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
568	26.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	
569	26.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	
570	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
571	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
572	30.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	
573	30.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	
574	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
575	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
576	30.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	
577	28.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
578	30.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	
579	28.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
580	26.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	
581	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
582	30.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	
583	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
584	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
585	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
586	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
587	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	
588	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
589	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
590	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
591	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	
592	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
593	30.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	
594	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
595	30.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	
596	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
597	28.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
598	26.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	
599	30.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	
600	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
601	26.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	
602	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
603	26.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	
604	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
605	30.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	
606	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
607	28.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
608	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
609	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
610	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
611	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
612	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
613	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
614	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
615	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
616	30.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	
617	30.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	
618	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
619	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
620	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
621	30.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	
622	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
623	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
624	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
625	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
626	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	
627	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
628	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
629	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
630	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
631	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	
632	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
633	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
634	26.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	
635	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
636	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
637	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
638	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
639	26.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	
640	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
641	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
642	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
643	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
644	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
645	26.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	
646	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
647	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
648	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
649	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
650	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
651	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
652	30.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	
653	28.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
654	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
655	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
656	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
657	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
658	30.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	
659	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
660	26.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	
661	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	
662	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
663	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
664	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
665	26.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	
666	24.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	
667	30.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	
668	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
669	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
670	30.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	
