Sample	cat16-31.trees	cat16-31.sequence04_sequence14_sequence12_sequence16_sequence02_sequence08	cat16-31.sequence01_sequence05_sequence07_sequence11_sequence13_sequence09_sequence03_sequence10_sequence06_sequence08_sequence15	cat16-31.sequence01_sequence05_sequence04_sequence14_sequence07_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence06_sequence15	cat16-31.sequence14_sequence16_sequence02	
129	28.0	1.0	0.0	0.0	1.0	
130	28.0	0.0	1.0	0.0	1.0	
131	30.0	0.0	0.0	1.0	1.0	
132	30.0	0.0	0.0	1.0	1.0	
133	28.0	0.0	1.0	0.0	1.0	
134	28.0	0.0	1.0	0.0	1.0	
135	28.0	0.0	1.0	0.0	1.0	
136	28.0	0.0	1.0	0.0	1.0	
137	28.0	0.0	1.0	0.0	1.0	
138	28.0	0.0	1.0	0.0	1.0	
139	30.0	0.0	0.0	1.0	1.0	
140	28.0	0.0	1.0	0.0	1.0	
141	30.0	0.0	0.0	1.0	1.0	
142	28.0	0.0	1.0	0.0	1.0	
143	30.0	0.0	0.0	1.0	1.0	
144	28.0	0.0	1.0	0.0	1.0	
145	28.0	0.0	1.0	0.0	1.0	
146	28.0	1.0	0.0	0.0	1.0	
147	30.0	0.0	0.0	1.0	1.0	
148	28.0	0.0	1.0	0.0	1.0	
149	28.0	1.0	0.0	0.0	1.0	
150	28.0	0.0	1.0	0.0	1.0	
151	28.0	0.0	1.0	0.0	1.0	
152	28.0	0.0	1.0	0.0	1.0	
153	30.0	0.0	0.0	1.0	1.0	
154	30.0	0.0	0.0	1.0	1.0	
155	28.0	0.0	1.0	0.0	1.0	
156	28.0	0.0	1.0	0.0	1.0	
157	30.0	0.0	0.0	1.0	1.0	
158	28.0	1.0	0.0	0.0	1.0	
159	28.0	0.0	1.0	0.0	1.0	
160	28.0	0.0	1.0	0.0	1.0	
161	30.0	0.0	0.0	1.0	1.0	
162	28.0	1.0	0.0	0.0	1.0	
163	28.0	0.0	1.0	0.0	1.0	
164	28.0	0.0	1.0	0.0	1.0	
165	30.0	0.0	0.0	1.0	1.0	
166	28.0	0.0	1.0	0.0	1.0	
167	30.0	0.0	0.0	1.0	1.0	
168	28.0	0.0	1.0	0.0	1.0	
169	28.0	0.0	1.0	0.0	1.0	
170	28.0	0.0	1.0	0.0	1.0	
171	30.0	0.0	0.0	1.0	1.0	
172	30.0	0.0	0.0	1.0	1.0	
173	28.0	0.0	1.0	0.0	1.0	
174	30.0	0.0	0.0	1.0	1.0	
175	28.0	0.0	1.0	0.0	1.0	
176	28.0	1.0	0.0	0.0	1.0	
177	28.0	0.0	1.0	0.0	1.0	
178	28.0	1.0	0.0	0.0	1.0	
179	28.0	1.0	0.0	0.0	1.0	
180	30.0	0.0	0.0	1.0	1.0	
181	28.0	0.0	1.0	0.0	1.0	
182	28.0	0.0	1.0	0.0	1.0	
183	28.0	0.0	1.0	0.0	1.0	
184	30.0	0.0	0.0	1.0	1.0	
185	28.0	1.0	0.0	0.0	1.0	
186	28.0	1.0	0.0	0.0	1.0	
187	30.0	0.0	0.0	1.0	1.0	
188	28.0	1.0	0.0	0.0	1.0	
189	28.0	0.0	1.0	0.0	1.0	
190	28.0	0.0	1.0	0.0	1.0	
191	30.0	0.0	0.0	1.0	1.0	
192	30.0	0.0	0.0	1.0	1.0	
193	30.0	0.0	0.0	1.0	1.0	
194	30.0	0.0	0.0	1.0	1.0	
195	28.0	1.0	0.0	0.0	1.0	
196	28.0	0.0	1.0	0.0	1.0	
197	28.0	0.0	1.0	0.0	1.0	
198	28.0	0.0	1.0	0.0	1.0	
199	30.0	0.0	0.0	1.0	1.0	
200	30.0	0.0	0.0	1.0	1.0	
201	28.0	0.0	1.0	0.0	1.0	
202	28.0	1.0	0.0	0.0	1.0	
203	28.0	1.0	0.0	0.0	1.0	
204	28.0	1.0	0.0	0.0	1.0	
205	28.0	1.0	0.0	0.0	1.0	
206	28.0	1.0	0.0	0.0	1.0	
207	28.0	0.0	1.0	0.0	1.0	
208	28.0	0.0	1.0	0.0	1.0	
209	30.0	0.0	0.0	1.0	1.0	
210	30.0	0.0	0.0	1.0	1.0	
211	30.0	0.0	0.0	1.0	1.0	
212	30.0	0.0	0.0	1.0	1.0	
213	28.0	1.0	0.0	0.0	1.0	
214	28.0	1.0	0.0	0.0	1.0	
215	28.0	0.0	1.0	0.0	1.0	
216	30.0	0.0	0.0	1.0	1.0	
217	28.0	0.0	1.0	0.0	1.0	
218	28.0	0.0	1.0	0.0	1.0	
219	28.0	0.0	1.0	0.0	1.0	
220	30.0	0.0	0.0	1.0	1.0	
221	28.0	1.0	0.0	0.0	1.0	
222	28.0	0.0	1.0	0.0	1.0	
223	30.0	0.0	0.0	1.0	1.0	
224	28.0	0.0	1.0	0.0	1.0	
225	28.0	1.0	0.0	0.0	1.0	
226	28.0	1.0	0.0	0.0	1.0	
227	30.0	0.0	0.0	1.0	1.0	
228	28.0	0.0	1.0	0.0	1.0	
229	28.0	1.0	0.0	0.0	1.0	
230	28.0	0.0	1.0	0.0	1.0	
231	28.0	0.0	1.0	0.0	1.0	
