Sample	cat16-31.trees	cat16-31.sequence04_sequence14_sequence12_sequence16_sequence02_sequence08	cat16-31.sequence01_sequence05_sequence07_sequence11_sequence13_sequence09_sequence03_sequence10_sequence06_sequence08_sequence15	cat16-31.sequence01_sequence05_sequence04_sequence14_sequence07_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence06_sequence15	cat16-31.sequence14_sequence16_sequence02	
553	28.0	0.0	1.0	0.0	1.0	
554	28.0	0.0	1.0	0.0	1.0	
555	28.0	1.0	0.0	0.0	1.0	
556	30.0	0.0	0.0	1.0	1.0	
557	30.0	0.0	0.0	1.0	1.0	
558	30.0	0.0	0.0	1.0	1.0	
559	28.0	0.0	1.0	0.0	1.0	
560	30.0	0.0	0.0	1.0	1.0	
561	28.0	0.0	1.0	0.0	1.0	
562	30.0	0.0	0.0	1.0	1.0	
563	28.0	1.0	0.0	0.0	1.0	
564	28.0	0.0	1.0	0.0	1.0	
565	28.0	0.0	1.0	0.0	1.0	
566	30.0	0.0	0.0	1.0	1.0	
567	28.0	0.0	1.0	0.0	1.0	
568	28.0	0.0	1.0	0.0	1.0	
569	28.0	0.0	1.0	0.0	1.0	
570	28.0	0.0	1.0	0.0	1.0	
571	28.0	0.0	1.0	0.0	1.0	
572	30.0	0.0	0.0	1.0	1.0	
573	30.0	0.0	0.0	1.0	1.0	
574	30.0	0.0	0.0	1.0	1.0	
575	30.0	0.0	0.0	1.0	1.0	
576	30.0	0.0	0.0	1.0	1.0	
577	30.0	0.0	0.0	1.0	1.0	
578	28.0	0.0	1.0	0.0	1.0	
579	30.0	0.0	0.0	1.0	1.0	
580	30.0	0.0	0.0	1.0	1.0	
581	28.0	0.0	1.0	0.0	1.0	
582	28.0	1.0	0.0	0.0	1.0	
583	28.0	0.0	1.0	0.0	1.0	
584	28.0	0.0	1.0	0.0	1.0	
585	28.0	1.0	0.0	0.0	1.0	
586	30.0	0.0	0.0	1.0	1.0	
587	28.0	0.0	1.0	0.0	1.0	
588	28.0	0.0	1.0	0.0	1.0	
589	30.0	0.0	0.0	1.0	1.0	
590	28.0	0.0	1.0	0.0	1.0	
591	28.0	0.0	1.0	0.0	1.0	
592	30.0	0.0	0.0	1.0	1.0	
593	28.0	0.0	1.0	0.0	1.0	
594	30.0	0.0	0.0	1.0	1.0	
595	30.0	0.0	0.0	1.0	1.0	
596	30.0	0.0	0.0	1.0	1.0	
597	28.0	0.0	1.0	0.0	1.0	
598	30.0	0.0	0.0	1.0	1.0	
599	28.0	0.0	1.0	0.0	1.0	
600	28.0	0.0	1.0	0.0	1.0	
601	28.0	0.0	1.0	0.0	1.0	
602	30.0	0.0	0.0	1.0	1.0	
603	30.0	0.0	0.0	1.0	1.0	
604	28.0	0.0	1.0	0.0	1.0	
605	28.0	1.0	0.0	0.0	1.0	
606	30.0	0.0	0.0	1.0	1.0	
607	30.0	0.0	0.0	1.0	1.0	
608	28.0	0.0	1.0	0.0	1.0	
609	30.0	0.0	0.0	1.0	1.0	
610	28.0	0.0	1.0	0.0	1.0	
611	30.0	0.0	0.0	1.0	1.0	
612	28.0	0.0	1.0	0.0	1.0	
613	28.0	0.0	1.0	0.0	1.0	
614	28.0	0.0	1.0	0.0	1.0	
615	28.0	0.0	1.0	0.0	1.0	
616	28.0	0.0	1.0	0.0	1.0	
617	30.0	0.0	0.0	1.0	1.0	
618	30.0	0.0	0.0	1.0	1.0	
619	28.0	0.0	1.0	0.0	1.0	
620	28.0	1.0	0.0	0.0	1.0	
621	30.0	0.0	0.0	1.0	1.0	
622	28.0	0.0	1.0	0.0	1.0	
623	28.0	1.0	0.0	0.0	1.0	
624	28.0	1.0	0.0	0.0	1.0	
625	30.0	0.0	0.0	1.0	1.0	
626	28.0	0.0	1.0	0.0	1.0	
627	30.0	0.0	0.0	1.0	1.0	
628	28.0	0.0	1.0	0.0	1.0	
629	28.0	0.0	1.0	0.0	1.0	
630	28.0	0.0	1.0	0.0	1.0	
631	28.0	1.0	0.0	0.0	1.0	
632	28.0	0.0	1.0	0.0	1.0	
633	28.0	0.0	1.0	0.0	1.0	
634	28.0	0.0	1.0	0.0	1.0	
635	30.0	0.0	0.0	1.0	1.0	
636	28.0	0.0	1.0	0.0	1.0	
637	30.0	0.0	0.0	1.0	1.0	
638	30.0	0.0	0.0	1.0	1.0	
639	28.0	0.0	1.0	0.0	1.0	
640	28.0	1.0	0.0	0.0	1.0	
641	28.0	1.0	0.0	0.0	1.0	
642	28.0	0.0	1.0	0.0	1.0	
643	28.0	1.0	0.0	0.0	1.0	
644	28.0	1.0	0.0	0.0	1.0	
645	28.0	1.0	0.0	0.0	1.0	
646	30.0	0.0	0.0	1.0	1.0	
647	30.0	0.0	0.0	1.0	1.0	
648	28.0	0.0	1.0	0.0	1.0	
649	28.0	0.0	1.0	0.0	1.0	
650	30.0	0.0	0.0	1.0	1.0	
651	30.0	0.0	0.0	1.0	1.0	
652	28.0	0.0	1.0	0.0	1.0	
653	28.0	0.0	1.0	0.0	1.0	
654	30.0	0.0	0.0	1.0	1.0	
655	28.0	0.0	1.0	0.0	1.0	
656	28.0	0.0	1.0	0.0	1.0	
657	28.0	0.0	1.0	0.0	1.0	
658	30.0	0.0	0.0	1.0	1.0	
659	28.0	0.0	1.0	0.0	1.0	
660	28.0	0.0	1.0	0.0	1.0	
661	28.0	0.0	1.0	0.0	1.0	
662	28.0	0.0	1.0	0.0	1.0	
663	30.0	0.0	0.0	1.0	1.0	
664	28.0	0.0	1.0	0.0	1.0	
665	28.0	0.0	1.0	0.0	1.0	
666	30.0	0.0	0.0	1.0	1.0	
667	28.0	0.0	1.0	0.0	1.0	
668	28.0	0.0	1.0	0.0	1.0	
669	28.0	1.0	0.0	0.0	1.0	
670	28.0	0.0	1.0	0.0	1.0	
671	30.0	0.0	0.0	1.0	1.0	
672	30.0	0.0	0.0	1.0	1.0	
673	30.0	0.0	0.0	1.0	1.0	
674	28.0	0.0	1.0	0.0	1.0	
675	28.0	0.0	1.0	0.0	1.0	
676	28.0	1.0	0.0	0.0	1.0	
677	28.0	0.0	1.0	0.0	1.0	
678	28.0	0.0	1.0	0.0	1.0	
679	28.0	0.0	1.0	0.0	1.0	
680	28.0	0.0	1.0	0.0	1.0	
681	28.0	0.0	1.0	0.0	1.0	
682	30.0	0.0	0.0	1.0	1.0	
683	28.0	0.0	1.0	0.0	1.0	
684	28.0	0.0	1.0	0.0	1.0	
685	30.0	0.0	0.0	1.0	1.0	
686	30.0	0.0	0.0	1.0	1.0	
687	28.0	0.0	1.0	0.0	1.0	
688	28.0	0.0	1.0	0.0	1.0	
689	28.0	1.0	0.0	0.0	1.0	
690	28.0	0.0	1.0	0.0	1.0	
691	30.0	0.0	0.0	1.0	1.0	
692	28.0	0.0	1.0	0.0	1.0	
693	30.0	0.0	0.0	1.0	1.0	
694	30.0	0.0	0.0	1.0	1.0	
695	28.0	1.0	0.0	0.0	1.0	
696	30.0	0.0	0.0	1.0	1.0	
697	30.0	0.0	0.0	1.0	1.0	
698	28.0	0.0	1.0	0.0	1.0	
699	28.0	0.0	1.0	0.0	1.0	
700	28.0	0.0	1.0	0.0	1.0	
701	30.0	0.0	0.0	1.0	1.0	
702	28.0	0.0	1.0	0.0	1.0	
703	30.0	0.0	0.0	1.0	1.0	
704	30.0	0.0	0.0	1.0	1.0	
705	28.0	0.0	1.0	0.0	1.0	
706	30.0	0.0	0.0	1.0	1.0	
707	30.0	0.0	0.0	1.0	1.0	
708	28.0	0.0	1.0	0.0	1.0	
709	28.0	0.0	1.0	0.0	1.0	
710	28.0	1.0	0.0	0.0	1.0	
711	28.0	0.0	1.0	0.0	1.0	
712	28.0	0.0	1.0	0.0	1.0	
713	28.0	0.0	1.0	0.0	1.0	
714	30.0	0.0	0.0	1.0	1.0	
715	28.0	0.0	1.0	0.0	1.0	
716	30.0	0.0	0.0	1.0	1.0	
717	28.0	0.0	1.0	0.0	1.0	
718	28.0	0.0	1.0	0.0	1.0	
719	28.0	0.0	1.0	0.0	1.0	
720	28.0	0.0	1.0	0.0	1.0	
721	30.0	0.0	0.0	1.0	1.0	
722	28.0	0.0	1.0	0.0	1.0	
723	30.0	0.0	0.0	1.0	1.0	
724	28.0	0.0	1.0	0.0	1.0	
725	28.0	0.0	1.0	0.0	1.0	
726	30.0	0.0	0.0	1.0	1.0	
727	28.0	0.0	1.0	0.0	1.0	
728	28.0	0.0	1.0	0.0	1.0	
729	28.0	1.0	0.0	0.0	1.0	
730	28.0	0.0	1.0	0.0	1.0	
731	28.0	0.0	1.0	0.0	1.0	
732	28.0	0.0	1.0	0.0	1.0	
733	30.0	0.0	0.0	1.0	1.0	
734	28.0	0.0	1.0	0.0	1.0	
735	30.0	0.0	0.0	1.0	1.0	
736	28.0	0.0	1.0	0.0	1.0	
737	28.0	0.0	1.0	0.0	1.0	
738	28.0	0.0	1.0	0.0	1.0	
739	28.0	0.0	1.0	0.0	1.0	
740	30.0	0.0	0.0	1.0	1.0	
741	28.0	0.0	1.0	0.0	1.0	
742	28.0	0.0	1.0	0.0	1.0	
743	30.0	0.0	0.0	1.0	1.0	
744	28.0	0.0	1.0	0.0	1.0	
745	30.0	0.0	0.0	1.0	1.0	
746	28.0	0.0	1.0	0.0	1.0	
747	28.0	1.0	0.0	0.0	1.0	
748	30.0	0.0	0.0	1.0	1.0	
749	30.0	0.0	0.0	1.0	1.0	
750	28.0	0.0	1.0	0.0	1.0	
751	28.0	0.0	1.0	0.0	1.0	
752	30.0	0.0	0.0	1.0	1.0	
753	28.0	0.0	1.0	0.0	1.0	
754	28.0	0.0	1.0	0.0	1.0	
755	28.0	0.0	1.0	0.0	1.0	
756	30.0	0.0	0.0	1.0	1.0	
757	28.0	1.0	0.0	0.0	1.0	
758	28.0	0.0	1.0	0.0	1.0	
759	28.0	0.0	1.0	0.0	1.0	
760	30.0	0.0	0.0	1.0	1.0	
761	30.0	0.0	0.0	1.0	1.0	
762	28.0	1.0	0.0	0.0	1.0	
763	30.0	0.0	0.0	1.0	1.0	
764	30.0	0.0	0.0	1.0	1.0	
765	28.0	0.0	1.0	0.0	1.0	
766	28.0	0.0	1.0	0.0	1.0	
767	30.0	0.0	0.0	1.0	1.0	
768	28.0	0.0	1.0	0.0	1.0	
769	30.0	0.0	0.0	1.0	1.0	
770	28.0	0.0	1.0	0.0	1.0	
771	28.0	0.0	1.0	0.0	1.0	
772	28.0	0.0	1.0	0.0	1.0	
773	28.0	0.0	1.0	0.0	1.0	
774	30.0	0.0	0.0	1.0	1.0	
775	28.0	1.0	0.0	0.0	1.0	
776	30.0	0.0	0.0	1.0	1.0	
777	30.0	0.0	0.0	1.0	1.0	
778	28.0	0.0	1.0	0.0	1.0	
779	28.0	0.0	1.0	0.0	1.0	
780	30.0	0.0	0.0	1.0	1.0	
781	28.0	0.0	1.0	0.0	1.0	
782	30.0	0.0	0.0	1.0	1.0	
783	28.0	0.0	1.0	0.0	1.0	
784	28.0	0.0	1.0	0.0	1.0	
785	28.0	0.0	1.0	0.0	1.0	
786	30.0	0.0	0.0	1.0	1.0	
787	28.0	0.0	1.0	0.0	1.0	
788	30.0	0.0	0.0	1.0	1.0	
789	28.0	1.0	0.0	0.0	1.0	
790	30.0	0.0	0.0	1.0	1.0	
791	30.0	0.0	0.0	1.0	1.0	
792	28.0	0.0	1.0	0.0	1.0	
793	30.0	0.0	0.0	1.0	1.0	
794	28.0	0.0	1.0	0.0	1.0	
795	30.0	0.0	0.0	1.0	1.0	
796	28.0	1.0	0.0	0.0	1.0	
797	28.0	0.0	1.0	0.0	1.0	
798	28.0	0.0	1.0	0.0	1.0	
799	28.0	0.0	1.0	0.0	1.0	
800	28.0	0.0	1.0	0.0	1.0	
801	28.0	1.0	0.0	0.0	1.0	
802	28.0	0.0	1.0	0.0	1.0	
803	30.0	0.0	0.0	1.0	1.0	
804	30.0	0.0	0.0	1.0	1.0	
805	28.0	1.0	0.0	0.0	1.0	
806	28.0	0.0	1.0	0.0	1.0	
807	28.0	0.0	1.0	0.0	1.0	
808	30.0	0.0	0.0	1.0	1.0	
809	28.0	0.0	1.0	0.0	1.0	
810	30.0	0.0	0.0	1.0	1.0	
811	28.0	0.0	1.0	0.0	1.0	
812	30.0	0.0	0.0	1.0	1.0	
813	30.0	0.0	0.0	1.0	1.0	
814	28.0	0.0	1.0	0.0	1.0	
815	28.0	0.0	1.0	0.0	1.0	
816	28.0	0.0	1.0	0.0	1.0	
817	30.0	0.0	0.0	1.0	1.0	
818	28.0	1.0	0.0	0.0	1.0	
819	28.0	0.0	1.0	0.0	1.0	
820	28.0	0.0	1.0	0.0	1.0	
821	30.0	0.0	0.0	1.0	1.0	
822	30.0	0.0	0.0	1.0	1.0	
823	28.0	1.0	0.0	0.0	1.0	
824	28.0	0.0	1.0	0.0	1.0	
825	28.0	1.0	0.0	0.0	1.0	
826	28.0	0.0	1.0	0.0	1.0	
827	28.0	1.0	0.0	0.0	1.0	
828	28.0	1.0	0.0	0.0	1.0	
829	28.0	0.0	1.0	0.0	1.0	
830	28.0	0.0	1.0	0.0	1.0	
831	28.0	1.0	0.0	0.0	1.0	
832	30.0	0.0	0.0	1.0	1.0	
833	28.0	0.0	1.0	0.0	1.0	
834	30.0	0.0	0.0	1.0	1.0	
835	28.0	0.0	1.0	0.0	1.0	
836	28.0	0.0	1.0	0.0	1.0	
837	28.0	0.0	1.0	0.0	1.0	
838	30.0	0.0	0.0	1.0	1.0	
839	28.0	0.0	1.0	0.0	1.0	
840	28.0	0.0	1.0	0.0	1.0	
841	30.0	0.0	0.0	1.0	1.0	
842	28.0	0.0	1.0	0.0	1.0	
843	28.0	0.0	1.0	0.0	1.0	
844	28.0	0.0	1.0	0.0	1.0	
845	28.0	0.0	1.0	0.0	1.0	
846	30.0	0.0	0.0	1.0	1.0	
847	30.0	0.0	0.0	1.0	1.0	
848	28.0	1.0	0.0	0.0	1.0	
849	28.0	1.0	0.0	0.0	1.0	
850	28.0	0.0	1.0	0.0	1.0	
851	28.0	0.0	1.0	0.0	1.0	
852	28.0	0.0	1.0	0.0	1.0	
853	28.0	0.0	1.0	0.0	1.0	
854	28.0	0.0	1.0	0.0	1.0	
855	28.0	0.0	1.0	0.0	1.0	
856	28.0	1.0	0.0	0.0	1.0	
857	28.0	0.0	1.0	0.0	1.0	
858	28.0	0.0	1.0	0.0	1.0	
859	30.0	0.0	0.0	1.0	1.0	
860	28.0	0.0	1.0	0.0	1.0	
861	28.0	0.0	1.0	0.0	1.0	
862	28.0	0.0	1.0	0.0	1.0	
863	28.0	0.0	1.0	0.0	1.0	
864	28.0	0.0	1.0	0.0	1.0	
865	30.0	0.0	0.0	1.0	1.0	
866	30.0	0.0	0.0	1.0	1.0	
867	28.0	0.0	1.0	0.0	1.0	
868	28.0	0.0	1.0	0.0	1.0	
869	28.0	1.0	0.0	0.0	1.0	
870	28.0	0.0	1.0	0.0	1.0	
871	28.0	0.0	1.0	0.0	1.0	
872	30.0	0.0	0.0	1.0	1.0	
873	30.0	0.0	0.0	1.0	1.0	
874	28.0	1.0	0.0	0.0	1.0	
875	28.0	0.0	1.0	0.0	1.0	
876	30.0	0.0	0.0	1.0	1.0	
877	28.0	0.0	1.0	0.0	1.0	
878	30.0	0.0	0.0	1.0	1.0	
879	28.0	0.0	1.0	0.0	1.0	
880	30.0	0.0	0.0	1.0	1.0	
881	28.0	0.0	1.0	0.0	1.0	
882	28.0	1.0	0.0	0.0	1.0	
883	28.0	0.0	1.0	0.0	1.0	
884	28.0	0.0	1.0	0.0	1.0	
885	28.0	0.0	1.0	0.0	1.0	
886	30.0	0.0	0.0	1.0	1.0	
887	28.0	0.0	1.0	0.0	1.0	
888	30.0	0.0	0.0	1.0	1.0	
889	28.0	0.0	1.0	0.0	1.0	
890	30.0	0.0	0.0	1.0	1.0	
891	30.0	0.0	0.0	1.0	1.0	
892	28.0	0.0	1.0	0.0	1.0	
893	30.0	0.0	0.0	1.0	1.0	
894	28.0	1.0	0.0	0.0	1.0	
895	28.0	0.0	1.0	0.0	1.0	
896	30.0	0.0	0.0	1.0	1.0	
897	28.0	0.0	1.0	0.0	1.0	
898	30.0	0.0	0.0	1.0	1.0	
899	28.0	0.0	1.0	0.0	1.0	
