Sample	cat16-85.trees	cat16-85.sequence09_sequence06_sequence08_sequence15	cat16-85.sequence01_sequence04_sequence12_sequence13_sequence02_sequence10	cat16-85.sequence14_sequence11_sequence16	cat16-85.sequence05_sequence14_sequence07_sequence11_sequence03	cat16-85.sequence05_sequence07_sequence16_sequence03	
478	28.0	1.0	1.0	0.0	1.0	0.0	
479	28.0	1.0	1.0	0.0	0.0	1.0	
480	30.0	1.0	1.0	1.0	0.0	0.0	
481	30.0	1.0	1.0	1.0	0.0	0.0	
482	28.0	1.0	1.0	0.0	0.0	1.0	
483	30.0	1.0	1.0	1.0	0.0	0.0	
484	30.0	1.0	1.0	1.0	0.0	0.0	
485	28.0	1.0	1.0	0.0	1.0	0.0	
486	28.0	1.0	1.0	0.0	1.0	0.0	
487	30.0	1.0	1.0	1.0	0.0	0.0	
488	30.0	1.0	1.0	1.0	0.0	0.0	
489	30.0	1.0	1.0	1.0	0.0	0.0	
490	30.0	1.0	1.0	1.0	0.0	0.0	
491	28.0	1.0	1.0	0.0	1.0	0.0	
492	30.0	1.0	1.0	1.0	0.0	0.0	
493	28.0	1.0	1.0	0.0	1.0	0.0	
494	28.0	1.0	1.0	0.0	0.0	1.0	
495	28.0	1.0	1.0	0.0	0.0	1.0	
496	28.0	1.0	1.0	0.0	1.0	0.0	
497	28.0	1.0	1.0	0.0	1.0	0.0	
498	28.0	1.0	1.0	0.0	1.0	0.0	
499	30.0	1.0	1.0	1.0	0.0	0.0	
500	30.0	1.0	1.0	1.0	0.0	0.0	
501	30.0	1.0	1.0	1.0	0.0	0.0	
502	30.0	1.0	1.0	1.0	0.0	0.0	
503	28.0	1.0	1.0	0.0	1.0	0.0	
504	28.0	1.0	1.0	0.0	1.0	0.0	
505	28.0	1.0	1.0	0.0	1.0	0.0	
506	30.0	1.0	1.0	1.0	0.0	0.0	
507	28.0	1.0	1.0	0.0	0.0	1.0	
508	30.0	1.0	1.0	1.0	0.0	0.0	
509	30.0	1.0	1.0	1.0	0.0	0.0	
510	28.0	1.0	1.0	0.0	1.0	0.0	
511	28.0	1.0	1.0	0.0	1.0	0.0	
512	30.0	1.0	1.0	1.0	0.0	0.0	
513	28.0	1.0	1.0	0.0	1.0	0.0	
514	28.0	1.0	1.0	0.0	1.0	0.0	
515	28.0	1.0	1.0	0.0	1.0	0.0	
516	28.0	1.0	1.0	0.0	1.0	0.0	
517	30.0	1.0	1.0	1.0	0.0	0.0	
518	28.0	1.0	1.0	0.0	1.0	0.0	
519	30.0	1.0	1.0	1.0	0.0	0.0	
520	28.0	1.0	1.0	0.0	1.0	0.0	
521	30.0	1.0	1.0	1.0	0.0	0.0	
522	28.0	1.0	1.0	0.0	1.0	0.0	
523	28.0	1.0	1.0	0.0	1.0	0.0	
524	28.0	1.0	1.0	0.0	1.0	0.0	
525	30.0	1.0	1.0	1.0	0.0	0.0	
526	28.0	1.0	1.0	0.0	1.0	0.0	
527	28.0	1.0	1.0	0.0	1.0	0.0	
528	28.0	1.0	1.0	0.0	1.0	0.0	
529	28.0	1.0	1.0	0.0	1.0	0.0	
530	30.0	1.0	1.0	1.0	0.0	0.0	
531	28.0	1.0	1.0	0.0	1.0	0.0	
532	28.0	1.0	1.0	0.0	1.0	0.0	
533	26.0	0.0	1.0	0.0	1.0	0.0	
534	28.0	1.0	1.0	0.0	1.0	0.0	
535	28.0	1.0	1.0	0.0	1.0	0.0	
536	30.0	1.0	1.0	1.0	0.0	0.0	
537	30.0	1.0	1.0	1.0	0.0	0.0	
538	28.0	1.0	1.0	0.0	1.0	0.0	
539	28.0	1.0	1.0	0.0	1.0	0.0	
540	28.0	1.0	1.0	0.0	1.0	0.0	
541	28.0	1.0	1.0	0.0	1.0	0.0	
542	30.0	1.0	1.0	1.0	0.0	0.0	
543	28.0	1.0	1.0	0.0	1.0	0.0	
544	28.0	1.0	1.0	0.0	1.0	0.0	
545	30.0	1.0	1.0	1.0	0.0	0.0	
546	28.0	1.0	1.0	0.0	1.0	0.0	
547	28.0	1.0	1.0	0.0	1.0	0.0	
548	28.0	1.0	1.0	0.0	1.0	0.0	
549	28.0	1.0	1.0	0.0	1.0	0.0	
550	28.0	1.0	1.0	0.0	1.0	0.0	
551	30.0	1.0	1.0	1.0	0.0	0.0	
552	28.0	1.0	1.0	0.0	1.0	0.0	
553	28.0	1.0	1.0	0.0	1.0	0.0	
554	28.0	1.0	1.0	0.0	1.0	0.0	
555	30.0	1.0	1.0	1.0	0.0	0.0	
556	28.0	1.0	1.0	0.0	1.0	0.0	
557	30.0	1.0	1.0	1.0	0.0	0.0	
558	30.0	1.0	1.0	1.0	0.0	0.0	
559	28.0	1.0	1.0	0.0	1.0	0.0	
560	30.0	1.0	1.0	1.0	0.0	0.0	
561	28.0	1.0	1.0	0.0	0.0	1.0	
562	30.0	1.0	1.0	1.0	0.0	0.0	
563	28.0	1.0	1.0	0.0	1.0	0.0	
564	28.0	1.0	1.0	0.0	1.0	0.0	
565	30.0	1.0	1.0	1.0	0.0	0.0	
566	28.0	1.0	1.0	0.0	1.0	0.0	
567	28.0	1.0	1.0	0.0	1.0	0.0	
568	28.0	1.0	1.0	0.0	1.0	0.0	
569	28.0	1.0	1.0	0.0	1.0	0.0	
570	28.0	1.0	1.0	0.0	1.0	0.0	
571	28.0	1.0	1.0	0.0	1.0	0.0	
572	30.0	1.0	1.0	1.0	0.0	0.0	
573	28.0	1.0	1.0	0.0	0.0	1.0	
574	28.0	1.0	1.0	0.0	1.0	0.0	
575	30.0	1.0	1.0	1.0	0.0	0.0	
576	28.0	1.0	1.0	0.0	1.0	0.0	
577	28.0	1.0	1.0	0.0	1.0	0.0	
578	30.0	1.0	1.0	1.0	0.0	0.0	
579	28.0	1.0	1.0	0.0	1.0	0.0	
580	28.0	1.0	1.0	0.0	1.0	0.0	
581	30.0	1.0	1.0	1.0	0.0	0.0	
582	30.0	1.0	1.0	1.0	0.0	0.0	
583	28.0	1.0	1.0	0.0	0.0	1.0	
584	30.0	1.0	1.0	1.0	0.0	0.0	
585	30.0	1.0	1.0	1.0	0.0	0.0	
586	30.0	1.0	1.0	1.0	0.0	0.0	
587	30.0	1.0	1.0	1.0	0.0	0.0	
588	28.0	1.0	1.0	0.0	0.0	1.0	
589	30.0	1.0	1.0	1.0	0.0	0.0	
590	30.0	1.0	1.0	1.0	0.0	0.0	
591	28.0	1.0	1.0	0.0	1.0	0.0	
592	30.0	1.0	1.0	1.0	0.0	0.0	
593	28.0	1.0	1.0	0.0	1.0	0.0	
594	30.0	1.0	1.0	1.0	0.0	0.0	
595	30.0	1.0	1.0	1.0	0.0	0.0	
596	28.0	1.0	1.0	0.0	1.0	0.0	
597	28.0	1.0	1.0	0.0	1.0	0.0	
598	28.0	1.0	1.0	0.0	1.0	0.0	
599	28.0	1.0	1.0	0.0	1.0	0.0	
600	28.0	1.0	1.0	0.0	1.0	0.0	
601	28.0	1.0	1.0	0.0	1.0	0.0	
602	28.0	1.0	1.0	0.0	1.0	0.0	
603	30.0	1.0	1.0	1.0	0.0	0.0	
604	30.0	1.0	1.0	1.0	0.0	0.0	
605	28.0	1.0	1.0	0.0	1.0	0.0	
606	30.0	1.0	1.0	1.0	0.0	0.0	
607	28.0	1.0	1.0	0.0	1.0	0.0	
608	30.0	1.0	1.0	1.0	0.0	0.0	
609	28.0	1.0	1.0	0.0	0.0	1.0	
610	30.0	1.0	1.0	1.0	0.0	0.0	
611	28.0	1.0	1.0	0.0	1.0	0.0	
612	28.0	1.0	1.0	0.0	1.0	0.0	
613	30.0	1.0	1.0	1.0	0.0	0.0	
614	28.0	1.0	1.0	0.0	1.0	0.0	
615	28.0	1.0	1.0	0.0	1.0	0.0	
616	28.0	1.0	1.0	0.0	1.0	0.0	
617	28.0	1.0	1.0	0.0	1.0	0.0	
618	28.0	1.0	1.0	0.0	1.0	0.0	
619	28.0	1.0	1.0	0.0	1.0	0.0	
620	30.0	1.0	1.0	1.0	0.0	0.0	
621	30.0	1.0	1.0	1.0	0.0	0.0	
622	28.0	1.0	1.0	0.0	1.0	0.0	
623	28.0	1.0	1.0	0.0	1.0	0.0	
624	30.0	1.0	1.0	1.0	0.0	0.0	
625	28.0	1.0	1.0	0.0	1.0	0.0	
626	28.0	1.0	1.0	0.0	1.0	0.0	
627	28.0	1.0	1.0	0.0	1.0	0.0	
628	30.0	1.0	1.0	1.0	0.0	0.0	
629	28.0	1.0	1.0	0.0	0.0	1.0	
630	30.0	1.0	1.0	1.0	0.0	0.0	
631	28.0	1.0	1.0	0.0	1.0	0.0	
632	30.0	1.0	1.0	1.0	0.0	0.0	
633	30.0	1.0	1.0	1.0	0.0	0.0	
634	30.0	1.0	1.0	1.0	0.0	0.0	
635	28.0	1.0	1.0	0.0	1.0	0.0	
636	28.0	1.0	1.0	0.0	1.0	0.0	
637	28.0	1.0	1.0	0.0	1.0	0.0	
638	30.0	1.0	1.0	1.0	0.0	0.0	
639	28.0	1.0	1.0	0.0	1.0	0.0	
640	28.0	1.0	1.0	0.0	1.0	0.0	
641	28.0	1.0	1.0	0.0	1.0	0.0	
642	28.0	1.0	1.0	0.0	1.0	0.0	
643	28.0	1.0	1.0	0.0	1.0	0.0	
644	30.0	1.0	1.0	1.0	0.0	0.0	
645	30.0	1.0	1.0	1.0	0.0	0.0	
646	28.0	1.0	1.0	0.0	1.0	0.0	
647	28.0	1.0	1.0	0.0	1.0	0.0	
648	28.0	1.0	1.0	0.0	1.0	0.0	
649	30.0	1.0	1.0	1.0	0.0	0.0	
650	30.0	1.0	1.0	1.0	0.0	0.0	
651	28.0	1.0	1.0	0.0	1.0	0.0	
652	30.0	1.0	1.0	1.0	0.0	0.0	
653	30.0	1.0	1.0	1.0	0.0	0.0	
654	28.0	1.0	1.0	0.0	1.0	0.0	
655	28.0	1.0	1.0	0.0	1.0	0.0	
656	30.0	1.0	1.0	1.0	0.0	0.0	
657	28.0	1.0	1.0	0.0	1.0	0.0	
658	28.0	1.0	1.0	0.0	1.0	0.0	
659	30.0	1.0	1.0	1.0	0.0	0.0	
660	28.0	1.0	1.0	0.0	1.0	0.0	
661	28.0	1.0	1.0	0.0	1.0	0.0	
662	28.0	1.0	1.0	0.0	0.0	1.0	
663	28.0	1.0	1.0	0.0	0.0	1.0	
664	28.0	1.0	1.0	0.0	1.0	0.0	
665	30.0	1.0	1.0	1.0	0.0	0.0	
666	28.0	1.0	1.0	0.0	1.0	0.0	
667	30.0	1.0	1.0	1.0	0.0	0.0	
668	28.0	1.0	1.0	0.0	1.0	0.0	
669	30.0	1.0	1.0	1.0	0.0	0.0	
670	30.0	1.0	1.0	1.0	0.0	0.0	
671	28.0	1.0	1.0	0.0	1.0	0.0	
672	28.0	1.0	1.0	0.0	1.0	0.0	
673	28.0	1.0	0.0	1.0	0.0	0.0	
674	30.0	1.0	1.0	1.0	0.0	0.0	
675	30.0	1.0	1.0	1.0	0.0	0.0	
676	28.0	1.0	1.0	0.0	1.0	0.0	
677	28.0	1.0	1.0	0.0	1.0	0.0	
678	28.0	1.0	1.0	0.0	0.0	1.0	
679	30.0	1.0	1.0	1.0	0.0	0.0	
680	28.0	1.0	1.0	0.0	1.0	0.0	
681	30.0	1.0	1.0	1.0	0.0	0.0	
682	28.0	1.0	1.0	0.0	1.0	0.0	
683	28.0	1.0	1.0	0.0	1.0	0.0	
684	28.0	1.0	1.0	0.0	1.0	0.0	
685	28.0	1.0	1.0	0.0	0.0	1.0	
686	30.0	1.0	1.0	1.0	0.0	0.0	
687	28.0	1.0	1.0	0.0	1.0	0.0	
688	30.0	1.0	1.0	1.0	0.0	0.0	
689	30.0	1.0	1.0	1.0	0.0	0.0	
690	28.0	1.0	1.0	0.0	1.0	0.0	
691	30.0	1.0	1.0	1.0	0.0	0.0	
692	28.0	1.0	1.0	0.0	1.0	0.0	
693	28.0	1.0	1.0	0.0	1.0	0.0	
694	30.0	1.0	1.0	1.0	0.0	0.0	
695	28.0	1.0	1.0	0.0	1.0	0.0	
696	28.0	1.0	1.0	0.0	1.0	0.0	
697	30.0	1.0	1.0	1.0	0.0	0.0	
698	28.0	1.0	1.0	0.0	1.0	0.0	
699	28.0	1.0	1.0	0.0	1.0	0.0	
700	28.0	1.0	1.0	0.0	1.0	0.0	
701	28.0	1.0	1.0	0.0	1.0	0.0	
702	28.0	1.0	1.0	0.0	0.0	1.0	
703	28.0	1.0	1.0	0.0	1.0	0.0	
704	28.0	1.0	1.0	0.0	1.0	0.0	
705	28.0	1.0	1.0	0.0	1.0	0.0	
706	30.0	1.0	1.0	1.0	0.0	0.0	
707	28.0	1.0	1.0	0.0	1.0	0.0	
708	28.0	1.0	1.0	0.0	1.0	0.0	
709	30.0	1.0	1.0	1.0	0.0	0.0	
710	30.0	1.0	1.0	1.0	0.0	0.0	
711	28.0	1.0	1.0	0.0	1.0	0.0	
712	28.0	1.0	1.0	0.0	1.0	0.0	
713	28.0	1.0	1.0	0.0	1.0	0.0	
714	28.0	1.0	1.0	0.0	1.0	0.0	
715	28.0	1.0	1.0	0.0	1.0	0.0	
716	28.0	1.0	1.0	0.0	1.0	0.0	
717	28.0	1.0	1.0	0.0	1.0	0.0	
718	28.0	1.0	1.0	0.0	1.0	0.0	
719	28.0	1.0	1.0	0.0	1.0	0.0	
720	30.0	1.0	1.0	1.0	0.0	0.0	
721	28.0	1.0	1.0	0.0	1.0	0.0	
722	30.0	1.0	1.0	1.0	0.0	0.0	
723	30.0	1.0	1.0	1.0	0.0	0.0	
724	28.0	1.0	1.0	0.0	1.0	0.0	
725	30.0	1.0	1.0	1.0	0.0	0.0	
726	28.0	1.0	1.0	0.0	1.0	0.0	
727	28.0	1.0	1.0	0.0	0.0	1.0	
728	30.0	1.0	1.0	1.0	0.0	0.0	
729	28.0	1.0	1.0	0.0	1.0	0.0	
730	28.0	1.0	1.0	0.0	1.0	0.0	
731	28.0	1.0	1.0	0.0	1.0	0.0	
732	28.0	1.0	1.0	0.0	1.0	0.0	
733	30.0	1.0	1.0	1.0	0.0	0.0	
734	30.0	1.0	1.0	1.0	0.0	0.0	
735	28.0	1.0	1.0	0.0	1.0	0.0	
736	28.0	1.0	1.0	0.0	1.0	0.0	
737	28.0	1.0	1.0	0.0	1.0	0.0	
738	28.0	1.0	1.0	0.0	1.0	0.0	
739	28.0	1.0	1.0	0.0	1.0	0.0	
740	28.0	1.0	1.0	0.0	1.0	0.0	
741	28.0	1.0	1.0	0.0	1.0	0.0	
742	28.0	1.0	1.0	0.0	1.0	0.0	
743	30.0	1.0	1.0	1.0	0.0	0.0	
744	28.0	1.0	1.0	0.0	1.0	0.0	
745	28.0	1.0	1.0	0.0	0.0	1.0	
746	28.0	1.0	1.0	0.0	0.0	1.0	
747	30.0	1.0	1.0	1.0	0.0	0.0	
748	28.0	1.0	1.0	0.0	1.0	0.0	
749	28.0	1.0	1.0	0.0	1.0	0.0	
750	28.0	1.0	1.0	0.0	1.0	0.0	
751	28.0	1.0	1.0	0.0	1.0	0.0	
752	28.0	1.0	1.0	0.0	1.0	0.0	
753	30.0	1.0	1.0	1.0	0.0	0.0	
754	30.0	1.0	1.0	1.0	0.0	0.0	
755	28.0	1.0	1.0	0.0	0.0	1.0	
756	28.0	1.0	1.0	0.0	0.0	1.0	
757	30.0	1.0	1.0	1.0	0.0	0.0	
758	28.0	1.0	1.0	0.0	1.0	0.0	
759	28.0	1.0	1.0	0.0	0.0	1.0	
760	30.0	1.0	1.0	1.0	0.0	0.0	
761	28.0	1.0	1.0	0.0	1.0	0.0	
762	28.0	1.0	1.0	0.0	1.0	0.0	
763	28.0	1.0	1.0	0.0	1.0	0.0	
764	28.0	1.0	1.0	0.0	1.0	0.0	
765	28.0	1.0	1.0	0.0	1.0	0.0	
766	30.0	1.0	1.0	1.0	0.0	0.0	
767	28.0	1.0	1.0	0.0	1.0	0.0	
768	28.0	1.0	1.0	0.0	1.0	0.0	
769	30.0	1.0	1.0	1.0	0.0	0.0	
770	28.0	1.0	1.0	0.0	1.0	0.0	
771	28.0	1.0	1.0	0.0	0.0	1.0	
772	28.0	1.0	1.0	0.0	1.0	0.0	
773	28.0	1.0	1.0	0.0	1.0	0.0	
774	28.0	1.0	1.0	0.0	1.0	0.0	
775	28.0	1.0	1.0	0.0	1.0	0.0	
776	30.0	1.0	1.0	1.0	0.0	0.0	
777	28.0	1.0	1.0	0.0	1.0	0.0	
778	28.0	1.0	1.0	0.0	1.0	0.0	
779	28.0	1.0	1.0	0.0	1.0	0.0	
780	28.0	1.0	1.0	0.0	1.0	0.0	
781	28.0	1.0	1.0	0.0	1.0	0.0	
782	30.0	1.0	1.0	1.0	0.0	0.0	
783	28.0	1.0	1.0	0.0	0.0	1.0	
784	30.0	1.0	1.0	1.0	0.0	0.0	
785	28.0	1.0	1.0	0.0	0.0	1.0	
786	28.0	1.0	1.0	0.0	1.0	0.0	
787	28.0	1.0	1.0	0.0	1.0	0.0	
788	28.0	1.0	1.0	0.0	1.0	0.0	
789	30.0	1.0	1.0	1.0	0.0	0.0	
790	28.0	1.0	1.0	0.0	1.0	0.0	
791	30.0	1.0	1.0	1.0	0.0	0.0	
792	30.0	1.0	1.0	1.0	0.0	0.0	
793	28.0	1.0	1.0	0.0	1.0	0.0	
794	28.0	1.0	1.0	0.0	0.0	1.0	
795	28.0	1.0	1.0	0.0	1.0	0.0	
796	28.0	1.0	1.0	0.0	1.0	0.0	
797	28.0	1.0	1.0	0.0	1.0	0.0	
798	30.0	1.0	1.0	1.0	0.0	0.0	
799	28.0	1.0	1.0	0.0	1.0	0.0	
800	28.0	1.0	1.0	0.0	1.0	0.0	
801	28.0	1.0	1.0	0.0	1.0	0.0	
802	28.0	1.0	1.0	0.0	0.0	1.0	
803	28.0	1.0	1.0	0.0	1.0	0.0	
804	28.0	1.0	1.0	0.0	1.0	0.0	
805	30.0	1.0	1.0	1.0	0.0	0.0	
806	28.0	1.0	1.0	0.0	1.0	0.0	
807	30.0	1.0	1.0	1.0	0.0	0.0	
808	28.0	1.0	1.0	0.0	1.0	0.0	
809	28.0	1.0	1.0	0.0	1.0	0.0	
810	28.0	1.0	1.0	0.0	1.0	0.0	
811	28.0	1.0	1.0	0.0	1.0	0.0	
812	28.0	1.0	1.0	0.0	1.0	0.0	
813	30.0	1.0	1.0	1.0	0.0	0.0	
814	28.0	1.0	1.0	0.0	0.0	1.0	
815	30.0	1.0	1.0	1.0	0.0	0.0	
816	30.0	1.0	1.0	1.0	0.0	0.0	
817	28.0	1.0	1.0	0.0	1.0	0.0	
818	28.0	1.0	1.0	0.0	1.0	0.0	
819	28.0	1.0	1.0	0.0	1.0	0.0	
820	30.0	1.0	1.0	1.0	0.0	0.0	
821	30.0	1.0	1.0	1.0	0.0	0.0	
822	26.0	0.0	1.0	0.0	1.0	0.0	
823	30.0	1.0	1.0	1.0	0.0	0.0	
824	28.0	1.0	1.0	0.0	1.0	0.0	
825	28.0	1.0	1.0	0.0	1.0	0.0	
826	28.0	1.0	1.0	0.0	0.0	1.0	
827	28.0	1.0	1.0	0.0	1.0	0.0	
828	28.0	1.0	1.0	0.0	0.0	1.0	
829	30.0	1.0	1.0	1.0	0.0	0.0	
830	30.0	1.0	1.0	1.0	0.0	0.0	
831	28.0	1.0	1.0	0.0	0.0	1.0	
832	28.0	1.0	1.0	0.0	1.0	0.0	
833	30.0	1.0	1.0	1.0	0.0	0.0	
834	28.0	1.0	1.0	0.0	1.0	0.0	
835	28.0	1.0	1.0	0.0	1.0	0.0	
836	28.0	1.0	1.0	0.0	1.0	0.0	
837	30.0	1.0	1.0	1.0	0.0	0.0	
838	30.0	1.0	1.0	1.0	0.0	0.0	
839	28.0	1.0	1.0	0.0	1.0	0.0	
840	28.0	1.0	1.0	0.0	1.0	0.0	
841	28.0	1.0	1.0	0.0	1.0	0.0	
842	28.0	1.0	1.0	0.0	1.0	0.0	
843	30.0	1.0	1.0	1.0	0.0	0.0	
844	30.0	1.0	1.0	1.0	0.0	0.0	
845	30.0	1.0	1.0	1.0	0.0	0.0	
846	28.0	1.0	1.0	0.0	0.0	1.0	
847	28.0	1.0	1.0	0.0	1.0	0.0	
848	30.0	1.0	1.0	1.0	0.0	0.0	
849	30.0	1.0	1.0	1.0	0.0	0.0	
850	28.0	1.0	1.0	0.0	1.0	0.0	
851	28.0	1.0	1.0	0.0	1.0	0.0	
852	28.0	1.0	1.0	0.0	1.0	0.0	
853	28.0	1.0	1.0	0.0	1.0	0.0	
854	28.0	1.0	1.0	0.0	1.0	0.0	
855	28.0	1.0	1.0	0.0	0.0	1.0	
856	28.0	1.0	1.0	0.0	1.0	0.0	
857	28.0	1.0	1.0	0.0	0.0	1.0	
858	28.0	1.0	1.0	0.0	1.0	0.0	
859	28.0	1.0	1.0	0.0	1.0	0.0	
860	28.0	1.0	1.0	0.0	1.0	0.0	
861	30.0	1.0	1.0	1.0	0.0	0.0	
862	30.0	1.0	1.0	1.0	0.0	0.0	
863	30.0	1.0	1.0	1.0	0.0	0.0	
864	30.0	1.0	1.0	1.0	0.0	0.0	
865	28.0	1.0	1.0	0.0	1.0	0.0	
866	28.0	1.0	1.0	0.0	1.0	0.0	
867	28.0	1.0	1.0	0.0	1.0	0.0	
868	28.0	1.0	1.0	0.0	1.0	0.0	
869	30.0	1.0	1.0	1.0	0.0	0.0	
870	28.0	1.0	1.0	0.0	1.0	0.0	
871	30.0	1.0	1.0	1.0	0.0	0.0	
872	30.0	1.0	1.0	1.0	0.0	0.0	
873	28.0	1.0	1.0	0.0	1.0	0.0	
874	28.0	1.0	1.0	0.0	1.0	0.0	
875	28.0	1.0	1.0	0.0	1.0	0.0	
876	30.0	1.0	1.0	1.0	0.0	0.0	
877	30.0	1.0	1.0	1.0	0.0	0.0	
878	28.0	1.0	1.0	0.0	1.0	0.0	
879	28.0	1.0	1.0	0.0	1.0	0.0	
880	30.0	1.0	1.0	1.0	0.0	0.0	
881	28.0	1.0	1.0	0.0	1.0	0.0	
882	28.0	1.0	1.0	0.0	1.0	0.0	
883	30.0	1.0	1.0	1.0	0.0	0.0	
884	28.0	1.0	1.0	0.0	1.0	0.0	
885	28.0	1.0	1.0	0.0	1.0	0.0	
886	28.0	1.0	1.0	0.0	1.0	0.0	
887	28.0	1.0	1.0	0.0	1.0	0.0	
888	28.0	1.0	1.0	0.0	1.0	0.0	
889	28.0	1.0	1.0	0.0	1.0	0.0	
890	30.0	1.0	1.0	1.0	0.0	0.0	
891	28.0	1.0	1.0	0.0	1.0	0.0	
892	30.0	1.0	1.0	1.0	0.0	0.0	
893	30.0	1.0	1.0	1.0	0.0	0.0	
894	28.0	1.0	1.0	0.0	1.0	0.0	
895	28.0	1.0	1.0	0.0	0.0	1.0	
896	28.0	1.0	1.0	0.0	1.0	0.0	
897	30.0	1.0	1.0	1.0	0.0	0.0	
898	28.0	1.0	1.0	0.0	0.0	1.0	
899	28.0	1.0	1.0	0.0	1.0	0.0	
