Sample	cat16-85.trees	cat16-85.sequence09_sequence06_sequence08_sequence15	cat16-85.sequence01_sequence04_sequence12_sequence13_sequence02_sequence10	cat16-85.sequence14_sequence11_sequence16	cat16-85.sequence05_sequence14_sequence07_sequence11_sequence03	cat16-85.sequence05_sequence07_sequence16_sequence03	
112	28.0	1.0	1.0	0.0	1.0	0.0	
113	30.0	1.0	1.0	1.0	0.0	0.0	
114	28.0	1.0	1.0	0.0	1.0	0.0	
115	30.0	1.0	1.0	1.0	0.0	0.0	
116	28.0	1.0	1.0	0.0	1.0	0.0	
117	28.0	1.0	1.0	0.0	1.0	0.0	
118	30.0	1.0	1.0	1.0	0.0	0.0	
119	28.0	1.0	1.0	0.0	1.0	0.0	
120	28.0	1.0	1.0	0.0	1.0	0.0	
121	30.0	1.0	1.0	1.0	0.0	0.0	
122	28.0	1.0	1.0	0.0	1.0	0.0	
123	28.0	1.0	1.0	0.0	1.0	0.0	
124	28.0	1.0	1.0	0.0	1.0	0.0	
125	28.0	1.0	1.0	0.0	0.0	1.0	
126	30.0	1.0	1.0	1.0	0.0	0.0	
127	30.0	1.0	1.0	1.0	0.0	0.0	
128	28.0	1.0	1.0	0.0	1.0	0.0	
129	30.0	1.0	1.0	1.0	0.0	0.0	
130	28.0	1.0	1.0	0.0	1.0	0.0	
131	30.0	1.0	1.0	1.0	0.0	0.0	
132	28.0	1.0	1.0	0.0	1.0	0.0	
133	30.0	1.0	1.0	1.0	0.0	0.0	
134	28.0	1.0	1.0	0.0	1.0	0.0	
135	28.0	1.0	1.0	0.0	1.0	0.0	
136	28.0	1.0	1.0	0.0	0.0	1.0	
137	28.0	1.0	1.0	0.0	1.0	0.0	
138	30.0	1.0	1.0	1.0	0.0	0.0	
139	28.0	1.0	1.0	0.0	1.0	0.0	
140	28.0	1.0	1.0	0.0	1.0	0.0	
141	28.0	1.0	1.0	0.0	1.0	0.0	
142	28.0	1.0	1.0	0.0	1.0	0.0	
143	28.0	1.0	1.0	0.0	1.0	0.0	
144	30.0	1.0	1.0	1.0	0.0	0.0	
145	30.0	1.0	1.0	1.0	0.0	0.0	
146	30.0	1.0	1.0	1.0	0.0	0.0	
147	28.0	1.0	1.0	0.0	1.0	0.0	
148	28.0	1.0	1.0	0.0	1.0	0.0	
149	30.0	1.0	1.0	1.0	0.0	0.0	
150	28.0	1.0	1.0	0.0	0.0	1.0	
151	28.0	1.0	1.0	0.0	1.0	0.0	
152	28.0	1.0	1.0	0.0	1.0	0.0	
153	28.0	1.0	1.0	0.0	1.0	0.0	
154	28.0	1.0	1.0	0.0	1.0	0.0	
155	30.0	1.0	1.0	1.0	0.0	0.0	
156	28.0	1.0	1.0	0.0	1.0	0.0	
157	28.0	1.0	1.0	0.0	1.0	0.0	
158	28.0	1.0	1.0	0.0	1.0	0.0	
159	28.0	1.0	1.0	0.0	1.0	0.0	
160	30.0	1.0	1.0	1.0	0.0	0.0	
161	28.0	1.0	1.0	0.0	0.0	1.0	
162	28.0	1.0	1.0	0.0	1.0	0.0	
163	28.0	1.0	1.0	0.0	1.0	0.0	
164	28.0	1.0	1.0	0.0	0.0	1.0	
165	30.0	1.0	1.0	1.0	0.0	0.0	
166	28.0	1.0	1.0	0.0	0.0	1.0	
167	30.0	1.0	1.0	1.0	0.0	0.0	
168	30.0	1.0	1.0	1.0	0.0	0.0	
169	30.0	1.0	1.0	1.0	0.0	0.0	
170	30.0	1.0	1.0	1.0	0.0	0.0	
171	28.0	1.0	1.0	0.0	1.0	0.0	
172	28.0	1.0	1.0	0.0	1.0	0.0	
173	28.0	1.0	1.0	0.0	1.0	0.0	
174	28.0	1.0	1.0	0.0	1.0	0.0	
175	28.0	1.0	1.0	0.0	1.0	0.0	
176	30.0	1.0	1.0	1.0	0.0	0.0	
177	28.0	1.0	1.0	0.0	1.0	0.0	
178	30.0	1.0	1.0	1.0	0.0	0.0	
179	30.0	1.0	1.0	1.0	0.0	0.0	
180	28.0	1.0	1.0	0.0	1.0	0.0	
181	28.0	1.0	1.0	0.0	1.0	0.0	
182	28.0	1.0	1.0	0.0	0.0	1.0	
183	28.0	1.0	1.0	0.0	1.0	0.0	
184	28.0	1.0	1.0	0.0	0.0	1.0	
185	28.0	1.0	1.0	0.0	1.0	0.0	
186	30.0	1.0	1.0	1.0	0.0	0.0	
187	28.0	1.0	1.0	0.0	1.0	0.0	
188	28.0	1.0	1.0	0.0	0.0	1.0	
189	28.0	1.0	1.0	0.0	0.0	1.0	
190	28.0	1.0	1.0	0.0	1.0	0.0	
191	30.0	1.0	1.0	1.0	0.0	0.0	
192	28.0	1.0	1.0	0.0	1.0	0.0	
193	28.0	1.0	1.0	0.0	1.0	0.0	
194	28.0	1.0	1.0	0.0	0.0	1.0	
195	30.0	1.0	1.0	1.0	0.0	0.0	
196	28.0	1.0	1.0	0.0	1.0	0.0	
197	30.0	1.0	1.0	1.0	0.0	0.0	
198	28.0	1.0	1.0	0.0	1.0	0.0	
199	28.0	1.0	1.0	0.0	1.0	0.0	
200	30.0	1.0	1.0	1.0	0.0	0.0	
201	28.0	1.0	1.0	0.0	1.0	0.0	
202	30.0	1.0	1.0	1.0	0.0	0.0	
203	28.0	1.0	1.0	0.0	0.0	1.0	
204	28.0	1.0	1.0	0.0	1.0	0.0	
205	28.0	1.0	1.0	0.0	1.0	0.0	
206	28.0	1.0	1.0	0.0	1.0	0.0	
207	30.0	1.0	1.0	1.0	0.0	0.0	
208	28.0	1.0	1.0	0.0	0.0	1.0	
209	28.0	1.0	1.0	0.0	1.0	0.0	
