Sample	cat16-5.trees	cat16-5.sequence09_sequence08	cat16-5.sequence01_sequence04_sequence14_sequence07_sequence12_sequence13_sequence02_sequence10_sequence06_sequence15	cat16-5.sequence01_sequence04_sequence14_sequence07_sequence13_sequence02_sequence15	cat16-5.sequence05_sequence16_sequence09	cat16-5.sequence01_sequence04_sequence14_sequence07_sequence12_sequence02_sequence15	cat16-5.sequence01_sequence04_sequence14_sequence07_sequence12_sequence13_sequence02_sequence10_sequence15	cat16-5.sequence01_sequence04_sequence14_sequence07_sequence12_sequence13_sequence02_sequence06_sequence15	cat16-5.sequence12_sequence13	cat16-5.sequence10_sequence06	cat16-5.sequence05_sequence16_sequence08	
283	24.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	
284	26.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	
285	24.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	
286	26.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	
287	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	
288	24.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	
289	26.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	
290	28.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	
291	24.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	
292	26.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	
293	28.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
294	26.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
295	26.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	
296	26.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	
297	26.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	
298	24.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	
299	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	
300	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	
301	26.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	
302	26.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	
303	26.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
304	26.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	
305	24.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	
306	26.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
307	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	
308	28.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
309	26.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	
310	28.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	
311	28.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	
312	26.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	
313	28.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	
314	26.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	
315	24.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	
316	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	
317	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	
318	26.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	
319	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	
320	26.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
321	24.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	
322	28.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	
323	28.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	
324	28.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	
325	26.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	
326	28.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	
327	26.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	
328	24.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	
329	28.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	
330	24.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	
331	24.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	
332	28.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	
333	26.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	
334	26.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	
335	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	
336	30.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	
337	26.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	
338	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	
339	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	
340	26.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	
341	28.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
342	24.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	
343	24.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	
344	24.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	
345	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	
346	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	
347	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	
348	26.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	
349	26.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	
350	26.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	
351	28.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
352	24.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	
353	28.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	
354	26.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	
355	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	
356	24.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	
357	30.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	
358	28.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	
359	26.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	
360	26.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	
361	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	
362	24.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	
363	26.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
364	28.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	
365	26.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	
366	28.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
367	28.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	
368	24.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	
369	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	
370	28.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	
371	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	
372	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	
373	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	
374	28.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
375	24.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	
376	30.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	
377	28.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	
378	28.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	
379	28.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
380	28.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
381	28.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	
382	26.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	
383	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	
384	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	
385	28.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	
386	26.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
387	28.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	
388	24.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	
389	24.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	
390	28.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	
391	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	
392	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	
393	24.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	
394	28.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
395	24.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	
396	26.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
397	26.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	
398	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	
399	24.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	
400	30.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	
401	24.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	
402	24.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	
403	24.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	
404	28.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
405	28.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	
406	28.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	
407	28.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	
408	26.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	
409	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	
410	28.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	
411	26.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	
412	26.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	
413	28.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
414	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	
415	28.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	
416	28.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	
417	26.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	
418	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	
419	26.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	
420	24.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	
421	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	
422	28.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	
423	28.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	
424	28.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	
425	24.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	
426	28.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	
427	26.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	
428	26.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	
429	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	
430	26.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	
431	28.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	
432	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	
433	26.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
434	26.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	
435	28.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	
436	28.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	
437	26.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	
438	26.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	
439	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	
440	28.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	
441	26.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	
442	28.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	
443	24.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	
444	28.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	
445	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	
446	26.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	
447	28.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	
448	26.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
449	30.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	
450	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	
451	24.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	
452	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	
453	28.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	
454	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	
455	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	
456	24.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	
457	28.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	
458	26.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	
459	28.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	
460	26.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	
461	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	
462	28.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	
463	24.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	
464	26.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	
465	26.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	
466	24.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	
467	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	
468	28.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	
469	30.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	
470	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	
471	28.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	
472	26.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
473	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	
474	24.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	
475	28.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	
476	26.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	
477	26.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	
478	28.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	
479	24.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	
480	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	
481	24.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	
482	28.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	
483	26.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	
484	30.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	
485	28.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
486	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	
487	30.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	
488	26.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	
489	28.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	
490	24.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	
491	28.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	
492	28.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	
493	26.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	
494	26.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	
495	26.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	
496	28.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	
497	26.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	
498	26.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	
499	26.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	
500	26.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	
501	26.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	
502	28.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	
503	26.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	
504	28.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	
505	26.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	
506	30.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	
507	28.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	
508	26.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	
509	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	
510	28.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
511	26.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	
512	24.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	
513	28.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	
514	26.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
515	28.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	
516	26.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	
517	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	
518	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	
519	28.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	
520	28.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	
521	30.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	
522	30.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	
523	24.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	
524	26.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	
525	24.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	
526	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	
527	26.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	
528	26.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	
529	30.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	
530	28.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	
531	28.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	
532	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	
533	26.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	
534	28.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	
535	24.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	
536	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	
537	28.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	
538	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	
539	26.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	
540	28.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	
541	24.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	
542	28.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	
543	26.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	
544	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	
545	28.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	
546	26.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	
547	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	
548	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	
549	28.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	
550	28.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	
551	26.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	
552	28.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	
553	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	
554	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	
555	28.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
556	28.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
557	26.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	
558	26.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	
559	28.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	
560	30.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	
561	28.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
562	26.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	
563	24.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	
564	28.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	
565	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	
566	24.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	
567	30.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	
568	28.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	
569	24.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	
570	30.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	
571	28.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	
572	30.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	
