Sample	cat16-72.trees	cat16-72.sequence01_sequence07_sequence16_sequence09_sequence08	cat16-72.sequence04_sequence14_sequence11_sequence12_sequence13_sequence03_sequence10_sequence15	cat16-72.sequence01_sequence05_sequence14_sequence07_sequence16_sequence02_sequence09_sequence10_sequence06_sequence08	cat16-72.sequence01_sequence05_sequence04_sequence07_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence06_sequence08_sequence15	
129	30.0	1.0	0.0	0.0	1.0	
130	30.0	1.0	0.0	0.0	1.0	
131	28.0	1.0	0.0	1.0	0.0	
132	28.0	1.0	0.0	1.0	0.0	
133	28.0	1.0	1.0	0.0	0.0	
134	30.0	1.0	0.0	0.0	1.0	
135	28.0	1.0	1.0	0.0	0.0	
136	28.0	1.0	0.0	1.0	0.0	
137	28.0	1.0	1.0	0.0	0.0	
138	28.0	1.0	0.0	1.0	0.0	
139	30.0	1.0	0.0	0.0	1.0	
140	28.0	1.0	0.0	1.0	0.0	
141	28.0	1.0	1.0	0.0	0.0	
142	30.0	1.0	0.0	0.0	1.0	
143	28.0	1.0	1.0	0.0	0.0	
144	28.0	1.0	1.0	0.0	0.0	
145	30.0	1.0	0.0	0.0	1.0	
146	28.0	1.0	0.0	1.0	0.0	
147	28.0	1.0	1.0	0.0	0.0	
148	30.0	1.0	0.0	0.0	1.0	
149	28.0	1.0	1.0	0.0	0.0	
150	30.0	1.0	0.0	0.0	1.0	
151	28.0	1.0	1.0	0.0	0.0	
152	28.0	1.0	0.0	1.0	0.0	
153	28.0	1.0	1.0	0.0	0.0	
154	28.0	1.0	0.0	1.0	0.0	
155	28.0	1.0	1.0	0.0	0.0	
156	28.0	1.0	0.0	1.0	0.0	
157	28.0	1.0	0.0	1.0	0.0	
158	28.0	1.0	0.0	1.0	0.0	
159	28.0	1.0	0.0	1.0	0.0	
160	28.0	1.0	1.0	0.0	0.0	
161	28.0	1.0	0.0	1.0	0.0	
162	28.0	1.0	0.0	1.0	0.0	
163	28.0	1.0	0.0	1.0	0.0	
164	30.0	1.0	0.0	0.0	1.0	
165	30.0	1.0	0.0	0.0	1.0	
166	28.0	1.0	0.0	1.0	0.0	
167	28.0	1.0	1.0	0.0	0.0	
168	28.0	1.0	1.0	0.0	0.0	
169	28.0	1.0	0.0	1.0	0.0	
170	30.0	1.0	0.0	0.0	1.0	
171	28.0	1.0	1.0	0.0	0.0	
172	30.0	1.0	0.0	0.0	1.0	
173	28.0	1.0	1.0	0.0	0.0	
174	28.0	1.0	0.0	1.0	0.0	
175	30.0	1.0	0.0	0.0	1.0	
176	28.0	1.0	1.0	0.0	0.0	
177	28.0	1.0	1.0	0.0	0.0	
178	28.0	1.0	0.0	1.0	0.0	
179	30.0	1.0	0.0	0.0	1.0	
180	28.0	1.0	0.0	1.0	0.0	
181	28.0	1.0	0.0	1.0	0.0	
182	30.0	1.0	0.0	0.0	1.0	
183	30.0	1.0	0.0	0.0	1.0	
184	28.0	1.0	1.0	0.0	0.0	
185	28.0	1.0	1.0	0.0	0.0	
186	28.0	1.0	1.0	0.0	0.0	
187	30.0	1.0	0.0	0.0	1.0	
188	28.0	1.0	0.0	1.0	0.0	
189	30.0	1.0	0.0	0.0	1.0	
190	28.0	1.0	1.0	0.0	0.0	
191	28.0	1.0	0.0	1.0	0.0	
192	28.0	1.0	1.0	0.0	0.0	
193	28.0	1.0	1.0	0.0	0.0	
194	28.0	1.0	1.0	0.0	0.0	
195	28.0	1.0	1.0	0.0	0.0	
196	30.0	1.0	0.0	0.0	1.0	
197	28.0	1.0	1.0	0.0	0.0	
198	28.0	1.0	0.0	1.0	0.0	
199	28.0	1.0	0.0	1.0	0.0	
200	28.0	1.0	1.0	0.0	0.0	
201	28.0	1.0	1.0	0.0	0.0	
202	30.0	1.0	0.0	0.0	1.0	
203	28.0	1.0	0.0	1.0	0.0	
204	28.0	1.0	1.0	0.0	0.0	
205	28.0	1.0	0.0	1.0	0.0	
206	28.0	1.0	1.0	0.0	0.0	
207	28.0	1.0	1.0	0.0	0.0	
208	28.0	1.0	0.0	1.0	0.0	
209	30.0	1.0	0.0	0.0	1.0	
210	28.0	1.0	0.0	1.0	0.0	
211	28.0	1.0	0.0	1.0	0.0	
212	30.0	1.0	0.0	0.0	1.0	
213	28.0	1.0	1.0	0.0	0.0	
214	28.0	1.0	0.0	1.0	0.0	
215	30.0	1.0	0.0	0.0	1.0	
216	28.0	1.0	0.0	1.0	0.0	
217	28.0	1.0	1.0	0.0	0.0	
218	30.0	1.0	0.0	0.0	1.0	
219	28.0	1.0	0.0	1.0	0.0	
220	30.0	1.0	0.0	0.0	1.0	
221	28.0	1.0	1.0	0.0	0.0	
222	28.0	1.0	1.0	0.0	0.0	
223	28.0	1.0	1.0	0.0	0.0	
224	28.0	1.0	1.0	0.0	0.0	
225	28.0	1.0	0.0	1.0	0.0	
226	28.0	1.0	0.0	1.0	0.0	
227	28.0	1.0	0.0	1.0	0.0	
228	28.0	1.0	0.0	1.0	0.0	
229	28.0	1.0	1.0	0.0	0.0	
230	30.0	1.0	0.0	0.0	1.0	
231	28.0	1.0	0.0	1.0	0.0	
232	28.0	1.0	1.0	0.0	0.0	
233	30.0	1.0	0.0	0.0	1.0	
234	30.0	1.0	0.0	0.0	1.0	
235	28.0	1.0	1.0	0.0	0.0	
236	28.0	1.0	1.0	0.0	0.0	
237	30.0	1.0	0.0	0.0	1.0	
238	28.0	1.0	1.0	0.0	0.0	
239	30.0	1.0	0.0	0.0	1.0	
240	30.0	1.0	0.0	0.0	1.0	
241	28.0	1.0	0.0	1.0	0.0	
242	28.0	1.0	0.0	1.0	0.0	
243	28.0	1.0	1.0	0.0	0.0	
244	28.0	1.0	1.0	0.0	0.0	
245	28.0	1.0	1.0	0.0	0.0	
246	30.0	1.0	0.0	0.0	1.0	
247	30.0	1.0	0.0	0.0	1.0	
248	28.0	1.0	1.0	0.0	0.0	
249	30.0	1.0	0.0	0.0	1.0	
250	28.0	1.0	1.0	0.0	0.0	
251	28.0	1.0	1.0	0.0	0.0	
252	28.0	1.0	0.0	1.0	0.0	
253	28.0	1.0	1.0	0.0	0.0	
254	30.0	1.0	0.0	0.0	1.0	
255	28.0	1.0	1.0	0.0	0.0	
256	28.0	1.0	1.0	0.0	0.0	
257	28.0	1.0	0.0	1.0	0.0	
258	30.0	1.0	0.0	0.0	1.0	
259	30.0	1.0	0.0	0.0	1.0	
260	28.0	1.0	1.0	0.0	0.0	
261	28.0	1.0	1.0	0.0	0.0	
262	30.0	1.0	0.0	0.0	1.0	
263	30.0	1.0	0.0	0.0	1.0	
264	28.0	1.0	1.0	0.0	0.0	
265	28.0	1.0	0.0	1.0	0.0	
266	28.0	1.0	1.0	0.0	0.0	
267	28.0	1.0	1.0	0.0	0.0	
268	30.0	1.0	0.0	0.0	1.0	
269	30.0	1.0	0.0	0.0	1.0	
270	30.0	1.0	0.0	0.0	1.0	
271	28.0	1.0	1.0	0.0	0.0	
272	28.0	1.0	0.0	1.0	0.0	
273	30.0	1.0	0.0	0.0	1.0	
274	28.0	1.0	1.0	0.0	0.0	
275	28.0	1.0	0.0	1.0	0.0	
276	28.0	1.0	0.0	1.0	0.0	
277	28.0	1.0	0.0	1.0	0.0	
278	28.0	1.0	0.0	1.0	0.0	
279	30.0	1.0	0.0	0.0	1.0	
280	28.0	1.0	0.0	1.0	0.0	
281	28.0	1.0	0.0	1.0	0.0	
282	28.0	1.0	1.0	0.0	0.0	
283	28.0	1.0	0.0	1.0	0.0	
284	28.0	1.0	0.0	1.0	0.0	
285	28.0	1.0	1.0	0.0	0.0	
286	30.0	1.0	0.0	0.0	1.0	
287	28.0	1.0	1.0	0.0	0.0	
288	28.0	1.0	1.0	0.0	0.0	
289	28.0	1.0	0.0	1.0	0.0	
290	28.0	1.0	1.0	0.0	0.0	
291	28.0	1.0	1.0	0.0	0.0	
292	28.0	1.0	0.0	1.0	0.0	
293	28.0	1.0	1.0	0.0	0.0	
294	30.0	1.0	0.0	0.0	1.0	
295	30.0	1.0	0.0	0.0	1.0	
296	30.0	1.0	0.0	0.0	1.0	
297	30.0	1.0	0.0	0.0	1.0	
298	30.0	1.0	0.0	0.0	1.0	
299	28.0	1.0	1.0	0.0	0.0	
300	30.0	1.0	0.0	0.0	1.0	
301	30.0	1.0	0.0	0.0	1.0	
302	28.0	1.0	0.0	1.0	0.0	
303	28.0	1.0	0.0	1.0	0.0	
304	30.0	1.0	0.0	0.0	1.0	
305	30.0	1.0	0.0	0.0	1.0	
306	28.0	1.0	0.0	1.0	0.0	
307	28.0	1.0	0.0	1.0	0.0	
308	28.0	1.0	1.0	0.0	0.0	
309	28.0	1.0	1.0	0.0	0.0	
310	28.0	1.0	1.0	0.0	0.0	
311	30.0	1.0	0.0	0.0	1.0	
312	28.0	1.0	1.0	0.0	0.0	
313	28.0	1.0	1.0	0.0	0.0	
314	28.0	1.0	1.0	0.0	0.0	
315	28.0	1.0	0.0	1.0	0.0	
316	28.0	1.0	0.0	1.0	0.0	
317	28.0	1.0	0.0	1.0	0.0	
318	28.0	1.0	1.0	0.0	0.0	
319	28.0	1.0	0.0	1.0	0.0	
320	28.0	1.0	0.0	1.0	0.0	
321	28.0	1.0	0.0	1.0	0.0	
322	30.0	1.0	0.0	0.0	1.0	
323	28.0	1.0	1.0	0.0	0.0	
324	28.0	1.0	1.0	0.0	0.0	
325	28.0	1.0	1.0	0.0	0.0	
326	28.0	1.0	0.0	1.0	0.0	
327	30.0	1.0	0.0	0.0	1.0	
328	30.0	1.0	0.0	0.0	1.0	
329	28.0	1.0	0.0	1.0	0.0	
330	30.0	1.0	0.0	0.0	1.0	
331	30.0	1.0	0.0	0.0	1.0	
332	30.0	1.0	0.0	0.0	1.0	
333	28.0	1.0	1.0	0.0	0.0	
334	28.0	1.0	1.0	0.0	0.0	
335	30.0	1.0	0.0	0.0	1.0	
336	28.0	1.0	1.0	0.0	0.0	
337	30.0	1.0	0.0	0.0	1.0	
338	28.0	1.0	1.0	0.0	0.0	
339	28.0	1.0	1.0	0.0	0.0	
340	30.0	1.0	0.0	0.0	1.0	
341	30.0	1.0	0.0	0.0	1.0	
342	28.0	1.0	0.0	1.0	0.0	
343	28.0	1.0	1.0	0.0	0.0	
344	28.0	1.0	1.0	0.0	0.0	
345	30.0	1.0	0.0	0.0	1.0	
346	28.0	1.0	1.0	0.0	0.0	
347	28.0	1.0	1.0	0.0	0.0	
348	28.0	1.0	0.0	1.0	0.0	
349	30.0	1.0	0.0	0.0	1.0	
350	28.0	1.0	1.0	0.0	0.0	
351	30.0	1.0	0.0	0.0	1.0	
352	28.0	1.0	1.0	0.0	0.0	
353	30.0	1.0	0.0	0.0	1.0	
354	28.0	1.0	1.0	0.0	0.0	
355	28.0	1.0	0.0	1.0	0.0	
356	30.0	1.0	0.0	0.0	1.0	
357	28.0	1.0	1.0	0.0	0.0	
358	30.0	1.0	0.0	0.0	1.0	
359	28.0	1.0	0.0	1.0	0.0	
360	30.0	1.0	0.0	0.0	1.0	
361	28.0	1.0	0.0	1.0	0.0	
362	28.0	1.0	0.0	1.0	0.0	
363	30.0	1.0	0.0	0.0	1.0	
364	28.0	1.0	1.0	0.0	0.0	
365	28.0	1.0	0.0	1.0	0.0	
366	28.0	1.0	1.0	0.0	0.0	
367	28.0	1.0	1.0	0.0	0.0	
368	28.0	1.0	1.0	0.0	0.0	
369	30.0	1.0	0.0	0.0	1.0	
370	30.0	1.0	0.0	0.0	1.0	
371	28.0	1.0	1.0	0.0	0.0	
372	28.0	1.0	0.0	1.0	0.0	
373	28.0	1.0	1.0	0.0	0.0	
374	28.0	1.0	0.0	1.0	0.0	
375	28.0	1.0	1.0	0.0	0.0	
376	28.0	1.0	0.0	1.0	0.0	
377	28.0	1.0	1.0	0.0	0.0	
378	28.0	1.0	1.0	0.0	0.0	
379	28.0	1.0	0.0	1.0	0.0	
380	28.0	1.0	0.0	1.0	0.0	
381	28.0	1.0	0.0	1.0	0.0	
382	28.0	1.0	1.0	0.0	0.0	
383	30.0	1.0	0.0	0.0	1.0	
384	28.0	1.0	0.0	1.0	0.0	
385	28.0	1.0	1.0	0.0	0.0	
386	28.0	1.0	1.0	0.0	0.0	
387	28.0	1.0	0.0	1.0	0.0	
388	28.0	1.0	1.0	0.0	0.0	
389	30.0	1.0	0.0	0.0	1.0	
