Sample	cat16-0.trees	cat16-0.sequence01_sequence05_sequence04_sequence14_sequence07_sequence11_sequence12_sequence13_sequence16	cat16-0.sequence01_sequence05_sequence04_sequence14	cat16-0.sequence01_sequence05_sequence04_sequence14_sequence07_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09	cat16-0.sequence03_sequence10	cat16-0.sequence01_sequence05_sequence04_sequence14_sequence07_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence06	cat16-0.sequence01_sequence05_sequence04_sequence14_sequence07_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence08_sequence15	cat16-0.sequence03_sequence06	cat16-0.sequence10_sequence06	
73	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
74	28.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
75	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
76	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
77	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
78	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
79	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
80	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
81	28.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
82	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
83	28.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
84	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
85	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
86	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
87	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
88	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
89	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
90	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
91	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
92	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
93	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
94	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
95	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
96	28.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
97	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
98	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
99	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
100	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
101	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
102	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
103	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
104	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
105	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
106	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
107	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
108	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
109	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
110	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
111	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
112	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
113	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
114	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
115	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
116	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
117	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
118	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
119	28.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
120	28.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
121	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
122	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
123	28.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	
124	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
125	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
126	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
127	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
128	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
129	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
130	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
131	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
132	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
133	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
134	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
135	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
136	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
137	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
138	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
139	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
140	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
141	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
142	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
143	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
144	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
145	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
146	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
147	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
148	28.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
149	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
150	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
151	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
152	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
153	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
154	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
155	28.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
156	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
157	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
158	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
159	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
160	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
161	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
162	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
163	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
164	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
165	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
166	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
167	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
168	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
169	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
170	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
171	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
172	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
