Sample	cat16-0.trees	cat16-0.sequence01_sequence05_sequence04_sequence14_sequence07_sequence11_sequence12_sequence13_sequence16	cat16-0.sequence01_sequence05_sequence04_sequence14	cat16-0.sequence01_sequence05_sequence04_sequence14_sequence07_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09	cat16-0.sequence03_sequence10	cat16-0.sequence01_sequence05_sequence04_sequence14_sequence07_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence06	cat16-0.sequence01_sequence05_sequence04_sequence14_sequence07_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence08_sequence15	cat16-0.sequence03_sequence06	cat16-0.sequence10_sequence06	
314	24.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	
315	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
316	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
317	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
318	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
319	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
320	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
321	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
322	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
323	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
324	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
325	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
326	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
327	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
328	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
329	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
330	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
331	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
332	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
333	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
334	28.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
335	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
336	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
337	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
338	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
339	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
340	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
341	26.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
342	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
343	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
344	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
345	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
346	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
347	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
348	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
349	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
350	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
351	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
352	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
353	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
354	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
355	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
356	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
357	28.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
358	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
359	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
360	28.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	
361	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
362	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
363	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
364	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
365	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
366	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
367	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
368	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
369	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
370	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
371	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
372	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
373	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
374	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
375	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
376	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
377	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
378	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
379	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
380	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
381	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
382	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
383	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
384	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
385	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
386	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
387	28.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
388	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
389	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
390	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
391	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
392	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
393	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
394	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
395	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
396	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
397	28.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	
398	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
399	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
400	26.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	
401	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
402	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
403	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
404	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
405	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
406	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
407	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
408	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
409	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
410	28.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
411	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
412	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
413	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
414	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
415	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
416	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
417	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
418	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
419	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
420	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
421	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
422	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
423	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
424	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
425	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
426	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
427	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
428	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
429	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
430	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
431	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
432	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
433	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
434	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
435	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
436	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
437	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
438	26.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	
439	28.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
440	28.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
441	28.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
442	28.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
443	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
444	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
445	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
446	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
447	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
448	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
449	28.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	
450	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
451	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
452	26.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	
453	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
454	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
455	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
456	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
457	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
458	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
459	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
460	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
461	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
462	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
463	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
464	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
465	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
466	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
467	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
468	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
469	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
470	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
471	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
472	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
473	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
474	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
475	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
476	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
477	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
478	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
479	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
480	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
481	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
482	28.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
483	28.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	
484	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
485	28.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
486	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
487	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
488	28.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
489	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
490	28.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	
491	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
492	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
493	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
494	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
495	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
496	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
497	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
498	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
499	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
500	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
501	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
502	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
503	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
504	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
505	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
506	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
507	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
508	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
509	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
510	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
511	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
512	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
513	28.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
514	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
515	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
516	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
517	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
518	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
519	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
520	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
521	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
522	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
523	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
524	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
525	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
526	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
527	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
528	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
529	26.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	
530	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
531	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
532	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
533	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
534	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
535	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
536	28.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
537	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
538	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
539	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
540	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
541	28.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
542	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
543	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
544	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
545	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
546	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
547	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
548	28.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	
549	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
550	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
551	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
552	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
553	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
554	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
555	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
556	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
557	26.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	
558	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
559	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
560	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
561	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
562	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
563	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
564	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
565	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
566	26.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	
567	28.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
568	28.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
569	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
570	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
571	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
572	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
573	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
574	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
575	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
576	28.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
577	28.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
578	28.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	
579	28.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
580	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
581	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
582	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
583	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
584	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
585	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
586	28.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	
587	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
588	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
589	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
590	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
591	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
592	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
593	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
594	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
595	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
596	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
597	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
598	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
599	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
600	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
601	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
602	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
603	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
604	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
605	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
606	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
607	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
608	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
609	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
610	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
611	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
612	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
613	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
614	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
615	28.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	
616	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
617	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
618	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
619	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
620	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
621	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
622	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
623	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
624	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
625	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
626	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
627	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
628	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
629	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
630	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
631	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
632	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
633	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
634	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
635	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
636	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
637	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
638	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
639	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
640	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
641	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
642	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
643	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
644	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
645	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
646	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
647	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
648	28.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	
649	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
650	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
651	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
652	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
653	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
654	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
655	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
656	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
657	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
658	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
659	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
660	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
661	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
662	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
663	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
