Sample	cat16-26.trees	cat16-26.sequence11_sequence12_sequence09	cat16-26.sequence14_sequence13_sequence16_sequence03_sequence06_sequence15	cat16-26.sequence01_sequence12	cat16-26.sequence14_sequence13_sequence02_sequence10_sequence06_sequence08_sequence15	cat16-26.sequence16_sequence02_sequence03_sequence10_sequence08	
131	30.0	1.0	1.0	0.0	0.0	0.0	
132	26.0	0.0	0.0	1.0	1.0	0.0	
133	26.0	0.0	0.0	1.0	1.0	0.0	
134	28.0	0.0	1.0	1.0	0.0	0.0	
135	28.0	1.0	0.0	0.0	0.0	1.0	
136	28.0	1.0	0.0	0.0	0.0	1.0	
137	28.0	1.0	0.0	0.0	1.0	0.0	
138	28.0	1.0	0.0	0.0	1.0	0.0	
139	26.0	0.0	0.0	1.0	1.0	0.0	
140	26.0	0.0	0.0	1.0	0.0	1.0	
141	28.0	1.0	0.0	0.0	0.0	1.0	
142	30.0	1.0	1.0	0.0	0.0	0.0	
143	28.0	1.0	0.0	0.0	1.0	0.0	
144	30.0	1.0	1.0	0.0	0.0	0.0	
145	28.0	0.0	1.0	1.0	0.0	0.0	
146	28.0	1.0	0.0	0.0	0.0	1.0	
147	28.0	1.0	0.0	0.0	1.0	0.0	
148	28.0	1.0	0.0	0.0	0.0	1.0	
149	30.0	1.0	1.0	0.0	0.0	0.0	
150	28.0	1.0	0.0	0.0	1.0	0.0	
151	28.0	1.0	0.0	0.0	1.0	0.0	
152	26.0	0.0	0.0	1.0	0.0	1.0	
153	28.0	1.0	0.0	0.0	0.0	1.0	
154	30.0	1.0	1.0	0.0	0.0	0.0	
155	30.0	1.0	1.0	0.0	0.0	0.0	
156	28.0	0.0	1.0	1.0	0.0	0.0	
157	30.0	1.0	1.0	0.0	0.0	0.0	
158	28.0	1.0	0.0	0.0	0.0	1.0	
159	28.0	1.0	0.0	0.0	0.0	1.0	
160	26.0	0.0	0.0	1.0	1.0	0.0	
161	26.0	0.0	0.0	1.0	1.0	0.0	
162	26.0	0.0	0.0	1.0	1.0	0.0	
163	28.0	1.0	0.0	0.0	1.0	0.0	
164	30.0	1.0	1.0	0.0	0.0	0.0	
165	28.0	1.0	0.0	0.0	1.0	0.0	
