Sample	cat16-77.trees	cat16-77.sequence01_sequence04_sequence14_sequence07_sequence13_sequence16_sequence09_sequence15	cat16-77.sequence01_sequence16	cat16-77.sequence05_sequence11_sequence12_sequence02_sequence03_sequence10_sequence06_sequence08	cat16-77.sequence01_sequence05_sequence11_sequence12_sequence16_sequence02_sequence03_sequence10_sequence06_sequence08	cat16-77.sequence01_sequence04_sequence14_sequence07_sequence13_sequence09_sequence15	cat16-77.sequence05_sequence11_sequence12_sequence16_sequence02_sequence03_sequence10_sequence06_sequence08	cat16-77.sequence05_sequence04_sequence14_sequence07_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence06_sequence08_sequence15	cat16-77.sequence01_sequence05_sequence04_sequence14_sequence07_sequence11_sequence12_sequence13_sequence02_sequence09_sequence03_sequence10_sequence06_sequence08_sequence15	
628	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
629	30.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	
630	26.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
631	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
632	30.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	
633	28.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	
634	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
635	28.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	
636	28.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	
637	26.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
638	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
639	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
640	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
641	30.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	
642	26.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
643	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
644	30.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	
645	28.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	
646	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
647	26.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
648	26.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
649	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
650	30.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	
651	26.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
652	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	
653	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
654	28.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	
655	30.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	
656	28.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	
657	26.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
658	28.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	
659	28.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	
660	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
661	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
662	26.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
663	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
664	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
665	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
666	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
667	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
668	26.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
669	26.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
670	28.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	
671	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
672	28.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	
673	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	
674	26.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
675	26.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
676	30.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	
677	28.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	
678	28.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	
679	28.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	
680	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
681	26.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
682	30.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	
683	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
684	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
685	26.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
686	26.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
687	28.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	
688	28.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	
689	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
690	26.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
691	30.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	
692	26.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
693	28.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	
694	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
695	30.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	
696	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
697	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	
698	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
699	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
700	28.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	
701	26.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
702	30.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	
703	30.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	
704	26.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
705	26.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
706	28.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	
707	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
708	28.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	
709	30.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	
710	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
711	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
712	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
713	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
714	30.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	
715	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
716	26.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
717	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
718	30.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	
719	26.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
720	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
721	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
722	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
723	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
724	28.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	
725	30.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	
726	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
727	28.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	
728	28.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	
729	26.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
730	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
731	30.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	
732	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
733	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
734	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
735	28.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	
736	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
737	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
738	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
739	30.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	
740	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
741	26.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
742	30.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	
743	26.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
744	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
745	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
746	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
747	26.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
748	30.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	
749	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
750	30.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	
751	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
752	28.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	
753	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
754	30.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	
755	30.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	
756	28.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	
757	26.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
758	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
759	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
760	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
761	26.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
762	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
763	26.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
764	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
765	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
766	26.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
767	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
768	30.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	
769	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
770	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
771	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
772	28.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	
773	30.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	
774	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
775	28.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	
776	26.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
777	26.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
778	28.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	
779	28.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	
780	30.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	
781	28.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	
782	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
783	26.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
784	30.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	
785	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
786	28.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	
787	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	
788	30.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	
789	30.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	
790	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
791	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
792	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
793	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
794	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
795	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
796	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
797	26.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
798	28.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	
799	30.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	
800	28.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	
801	30.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	
802	28.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	
803	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
804	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
805	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
806	28.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	
807	30.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	
808	30.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	
809	28.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	
810	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
811	28.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	
812	28.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	
813	26.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
814	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
815	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
816	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
817	26.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
818	26.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
819	30.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	
820	30.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	
821	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	
822	26.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
823	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
824	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	
825	30.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	
826	28.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	
827	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
828	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
829	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
830	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
831	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
832	30.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	
833	30.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	
834	30.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	
835	30.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	
836	30.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	
837	28.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	
838	28.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	
839	30.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	
840	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
841	26.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
842	28.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	
843	26.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
844	26.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
845	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
846	26.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
847	30.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	
848	30.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	
849	30.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	
850	30.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	
851	30.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	
852	28.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	
853	26.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
854	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	
855	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
856	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
857	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
858	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
859	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
860	26.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
861	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
862	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
863	30.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	
864	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
865	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
866	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
867	30.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	
868	30.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	
869	30.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	
870	28.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	
871	26.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
872	30.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	
873	26.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
874	28.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	
875	28.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	
876	26.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
877	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
878	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
879	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	
880	30.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	
881	26.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
882	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
883	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
884	26.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
885	28.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	
886	26.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	
887	30.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	
888	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
889	26.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
890	28.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	
891	30.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	
892	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
893	30.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	
894	26.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
895	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
896	30.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	
897	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	
898	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
899	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
