Sample	cat16-77.trees	cat16-77.sequence01_sequence04_sequence14_sequence07_sequence13_sequence16_sequence09_sequence15	cat16-77.sequence01_sequence16	cat16-77.sequence05_sequence11_sequence12_sequence02_sequence03_sequence10_sequence06_sequence08	cat16-77.sequence01_sequence05_sequence11_sequence12_sequence16_sequence02_sequence03_sequence10_sequence06_sequence08	cat16-77.sequence01_sequence04_sequence14_sequence07_sequence13_sequence09_sequence15	cat16-77.sequence05_sequence11_sequence12_sequence16_sequence02_sequence03_sequence10_sequence06_sequence08	cat16-77.sequence05_sequence04_sequence14_sequence07_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence06_sequence08_sequence15	cat16-77.sequence01_sequence05_sequence04_sequence14_sequence07_sequence11_sequence12_sequence13_sequence02_sequence09_sequence03_sequence10_sequence06_sequence08_sequence15	
70	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
71	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
72	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
73	30.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	
74	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
75	28.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	
76	30.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	
77	30.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	
78	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
79	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
80	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
81	30.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	
82	28.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	
83	30.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	
84	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
85	28.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	
86	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
87	30.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	
88	30.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	
89	30.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	
90	28.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	
91	30.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	
92	30.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	
93	30.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	
94	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
95	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
96	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
97	28.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	
98	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
99	28.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	
100	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
101	30.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	
102	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	
103	28.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	
104	26.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
105	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
106	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	
107	30.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	
108	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
109	26.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
110	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
111	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
112	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	
113	30.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	
114	30.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	
115	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
116	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
117	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
118	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
119	28.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	
120	30.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	
