Sample	cat16-74.trees	cat16-74.sequence01_sequence04_sequence14_sequence11_sequence12_sequence03_sequence10	cat16-74.sequence04_sequence14_sequence12_sequence02	cat16-74.sequence11_sequence10	cat16-74.sequence13_sequence08_sequence15	cat16-74.sequence01_sequence03_sequence10	cat16-74.sequence01_sequence11_sequence03	cat16-74.sequence01_sequence11_sequence02_sequence03_sequence10	
755	30.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
756	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
757	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
758	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
759	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
760	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
761	30.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
762	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
763	30.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
764	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
765	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
766	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
767	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
768	26.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
769	30.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
770	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
771	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
772	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
773	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
774	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
775	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
776	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
777	30.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
778	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
779	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
780	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
781	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
782	30.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
783	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
784	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
785	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
786	30.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
787	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
788	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
789	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
790	30.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
791	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
792	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
793	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
794	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
795	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
796	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
797	30.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
798	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
799	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
800	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
801	30.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
802	30.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
803	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
804	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
805	26.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	
806	26.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
807	30.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
808	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
809	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
810	30.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
811	26.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	
812	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
813	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
814	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
815	30.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
816	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
817	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
818	30.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
819	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
820	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
821	30.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
822	30.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
823	30.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
824	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
825	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
826	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
827	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
828	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
829	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
830	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
831	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
832	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
833	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
834	26.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	
835	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
836	26.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	
837	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
838	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
839	30.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
840	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
841	30.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
842	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
843	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
844	26.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
845	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
846	28.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
847	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
848	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
849	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
850	30.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
851	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
852	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
853	30.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
854	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
855	30.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
856	30.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
857	30.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
858	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
859	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
860	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
861	30.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
862	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
863	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
864	30.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
865	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
866	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
867	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
868	30.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
869	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
870	30.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
871	30.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
872	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
873	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
874	30.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
875	30.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
876	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
877	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
878	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
879	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
880	30.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
881	30.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
882	28.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
883	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
884	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
885	30.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
886	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
887	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
888	30.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
889	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
890	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
891	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
892	30.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
893	30.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
894	30.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
895	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
896	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
897	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
898	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
899	30.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
