Sample	cat16-74.trees	cat16-74.sequence01_sequence04_sequence14_sequence11_sequence12_sequence03_sequence10	cat16-74.sequence04_sequence14_sequence12_sequence02	cat16-74.sequence11_sequence10	cat16-74.sequence13_sequence08_sequence15	cat16-74.sequence01_sequence03_sequence10	cat16-74.sequence01_sequence11_sequence03	cat16-74.sequence01_sequence11_sequence02_sequence03_sequence10	
85	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
86	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
87	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
88	26.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
89	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
90	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
91	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
92	30.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
93	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
94	26.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	
95	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
96	30.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
97	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
98	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
99	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
100	30.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
101	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
102	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
103	30.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
104	30.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
105	30.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
106	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
107	30.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
108	30.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
109	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
110	30.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
111	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
112	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
113	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
114	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
115	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
116	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
117	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
118	30.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
119	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
