Sample	cat16-61.trees	cat16-61.sequence16_sequence09_sequence10_sequence08_sequence15	cat16-61.sequence01_sequence04_sequence14_sequence07_sequence11_sequence12_sequence06	cat16-61.sequence01_sequence14_sequence07_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence06_sequence08_sequence15	cat16-61.sequence13_sequence02_sequence09_sequence03_sequence15	cat16-61.sequence13_sequence16_sequence02_sequence03_sequence10_sequence08	cat16-61.sequence04_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence08_sequence15	
94	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
95	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
96	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
97	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
98	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
99	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
100	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
101	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
102	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
103	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
104	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
105	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
106	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
107	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
108	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
109	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
110	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
111	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
112	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
113	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
114	28.0	0.0	0.0	0.0	0.0	1.0	1.0	
115	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
116	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
117	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
118	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
119	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
120	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
121	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
122	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
123	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
124	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
125	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
126	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
127	28.0	0.0	0.0	0.0	0.0	1.0	1.0	
128	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
129	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
130	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
131	28.0	0.0	0.0	0.0	0.0	1.0	1.0	
132	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
133	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
134	28.0	0.0	0.0	0.0	0.0	1.0	1.0	
135	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
136	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
137	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
138	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
139	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
