Sample	cat16-61.trees	cat16-61.sequence16_sequence09_sequence10_sequence08_sequence15	cat16-61.sequence01_sequence04_sequence14_sequence07_sequence11_sequence12_sequence06	cat16-61.sequence01_sequence14_sequence07_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence06_sequence08_sequence15	cat16-61.sequence13_sequence02_sequence09_sequence03_sequence15	cat16-61.sequence13_sequence16_sequence02_sequence03_sequence10_sequence08	cat16-61.sequence04_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence08_sequence15	
406	26.0	0.0	1.0	0.0	1.0	0.0	0.0	
407	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
408	26.0	0.0	1.0	0.0	1.0	0.0	0.0	
409	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
410	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
411	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
412	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
413	26.0	0.0	1.0	0.0	1.0	0.0	0.0	
414	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
415	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
416	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
417	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
418	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
419	28.0	0.0	0.0	0.0	0.0	1.0	1.0	
420	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
421	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
422	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
423	26.0	1.0	0.0	0.0	0.0	0.0	1.0	
424	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
425	30.0	0.0	0.0	1.0	0.0	1.0	0.0	
426	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
427	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
428	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
429	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
430	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
431	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
432	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
433	26.0	0.0	1.0	0.0	1.0	0.0	0.0	
434	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
435	28.0	1.0	0.0	1.0	0.0	0.0	0.0	
436	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
437	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
438	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
439	28.0	0.0	0.0	0.0	0.0	1.0	1.0	
440	28.0	0.0	0.0	0.0	0.0	1.0	1.0	
441	26.0	0.0	1.0	0.0	1.0	0.0	0.0	
442	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
443	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
444	26.0	1.0	0.0	0.0	0.0	0.0	1.0	
445	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
446	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
447	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
448	26.0	1.0	0.0	0.0	0.0	0.0	1.0	
449	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
450	28.0	0.0	0.0	0.0	0.0	1.0	1.0	
451	26.0	1.0	1.0	0.0	0.0	0.0	0.0	
452	26.0	0.0	1.0	0.0	1.0	0.0	0.0	
453	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
454	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
455	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
456	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
457	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
458	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
459	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
460	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
461	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
462	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
463	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
464	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
465	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
466	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
467	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
468	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
469	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
470	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
471	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
472	28.0	1.0	0.0	1.0	0.0	0.0	0.0	
473	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
474	26.0	0.0	1.0	0.0	1.0	0.0	0.0	
475	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
476	30.0	0.0	0.0	1.0	0.0	1.0	0.0	
477	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
478	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
479	28.0	0.0	0.0	0.0	0.0	1.0	1.0	
480	28.0	0.0	0.0	0.0	0.0	1.0	1.0	
481	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
482	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
483	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
484	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
485	26.0	1.0	0.0	0.0	0.0	0.0	1.0	
486	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
487	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
488	30.0	0.0	0.0	1.0	0.0	1.0	0.0	
489	28.0	0.0	0.0	0.0	0.0	1.0	1.0	
490	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
491	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
492	28.0	0.0	0.0	0.0	0.0	1.0	1.0	
493	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
494	30.0	0.0	0.0	1.0	0.0	1.0	0.0	
495	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
496	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
497	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
498	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
499	30.0	0.0	0.0	1.0	0.0	1.0	0.0	
500	28.0	1.0	0.0	1.0	0.0	0.0	0.0	
501	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
502	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
503	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
504	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
505	28.0	0.0	0.0	0.0	0.0	1.0	1.0	
506	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
507	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
508	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
509	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
510	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
511	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
512	26.0	0.0	1.0	0.0	1.0	0.0	0.0	
513	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
514	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
515	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
516	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
517	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
518	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
519	26.0	1.0	0.0	0.0	0.0	0.0	1.0	
520	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
521	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
522	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
523	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
524	30.0	0.0	0.0	1.0	0.0	1.0	0.0	
525	26.0	0.0	1.0	0.0	1.0	0.0	0.0	
526	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
527	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
528	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
529	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
530	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
531	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
532	26.0	1.0	0.0	0.0	0.0	0.0	1.0	
533	26.0	0.0	1.0	0.0	1.0	0.0	0.0	
534	30.0	0.0	0.0	1.0	0.0	1.0	0.0	
535	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
536	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
537	26.0	0.0	1.0	0.0	1.0	0.0	0.0	
538	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
539	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
540	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
541	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
542	30.0	0.0	0.0	1.0	0.0	1.0	0.0	
543	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
544	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
545	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
546	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
547	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
548	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
549	28.0	0.0	0.0	0.0	0.0	1.0	1.0	
550	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
551	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
552	26.0	0.0	1.0	0.0	1.0	0.0	0.0	
553	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
554	26.0	1.0	0.0	0.0	0.0	0.0	1.0	
555	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
556	26.0	1.0	0.0	0.0	0.0	0.0	1.0	
557	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
558	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
559	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
560	26.0	0.0	1.0	0.0	1.0	0.0	0.0	
561	26.0	0.0	1.0	0.0	1.0	0.0	0.0	
562	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
563	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
564	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
565	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
566	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
567	26.0	1.0	0.0	0.0	0.0	0.0	1.0	
568	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
569	26.0	1.0	0.0	0.0	0.0	0.0	1.0	
570	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
571	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
572	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
573	28.0	0.0	0.0	0.0	0.0	1.0	1.0	
574	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
575	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
576	28.0	1.0	0.0	1.0	0.0	0.0	0.0	
577	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
578	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
579	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
580	28.0	0.0	0.0	0.0	0.0	1.0	1.0	
581	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
582	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
583	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
584	28.0	0.0	0.0	0.0	0.0	1.0	1.0	
585	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
586	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
587	26.0	0.0	1.0	0.0	1.0	0.0	0.0	
588	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
589	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
590	28.0	0.0	0.0	0.0	0.0	1.0	1.0	
591	26.0	1.0	0.0	0.0	0.0	0.0	1.0	
592	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
593	28.0	0.0	0.0	0.0	0.0	1.0	1.0	
594	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
595	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
596	30.0	0.0	0.0	1.0	0.0	1.0	0.0	
597	28.0	0.0	0.0	0.0	0.0	1.0	1.0	
598	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
599	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
600	30.0	0.0	0.0	1.0	0.0	1.0	0.0	
601	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
602	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
603	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
604	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
605	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
606	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
607	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
608	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
609	30.0	0.0	0.0	1.0	0.0	1.0	0.0	
610	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
611	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
612	30.0	0.0	0.0	1.0	0.0	1.0	0.0	
613	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
614	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
615	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
616	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
617	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
618	26.0	1.0	0.0	0.0	0.0	0.0	1.0	
619	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
620	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
621	26.0	0.0	1.0	0.0	1.0	0.0	0.0	
622	26.0	0.0	1.0	0.0	1.0	0.0	0.0	
623	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
624	28.0	1.0	0.0	1.0	0.0	0.0	0.0	
625	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
626	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
627	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
628	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
629	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
630	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
631	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
632	26.0	1.0	0.0	0.0	0.0	0.0	1.0	
633	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
634	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
635	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
636	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
637	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
638	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
639	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
640	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
641	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
642	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
643	26.0	0.0	1.0	0.0	1.0	0.0	0.0	
644	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
645	26.0	0.0	1.0	0.0	1.0	0.0	0.0	
646	28.0	0.0	0.0	0.0	0.0	1.0	1.0	
647	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
648	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
649	26.0	1.0	0.0	0.0	0.0	0.0	1.0	
650	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
651	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
652	28.0	0.0	0.0	0.0	0.0	1.0	1.0	
653	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
654	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
655	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
656	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
657	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
658	28.0	0.0	0.0	0.0	0.0	1.0	1.0	
659	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
660	28.0	0.0	0.0	0.0	0.0	1.0	1.0	
661	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
662	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
663	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
664	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
665	26.0	1.0	0.0	0.0	0.0	0.0	1.0	
666	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
667	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
668	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
669	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
670	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
671	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
672	26.0	0.0	1.0	0.0	1.0	0.0	0.0	
673	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
674	26.0	1.0	0.0	0.0	0.0	0.0	1.0	
675	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
676	26.0	1.0	1.0	0.0	0.0	0.0	0.0	
677	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
678	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
679	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
680	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
681	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
682	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
683	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
684	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
685	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
686	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
687	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
688	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
689	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
690	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
691	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
692	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
693	28.0	1.0	0.0	1.0	0.0	0.0	0.0	
694	26.0	1.0	0.0	0.0	0.0	0.0	1.0	
695	28.0	0.0	0.0	0.0	0.0	1.0	1.0	
696	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
697	28.0	0.0	0.0	0.0	0.0	1.0	1.0	
698	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
699	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
700	30.0	0.0	0.0	1.0	0.0	1.0	0.0	
701	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
702	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
703	26.0	1.0	0.0	0.0	0.0	0.0	1.0	
704	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
705	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
706	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
707	26.0	0.0	1.0	0.0	1.0	0.0	0.0	
708	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
709	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
710	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
711	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
712	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
713	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
714	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
715	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
716	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
717	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
718	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
719	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
720	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
721	30.0	0.0	0.0	1.0	0.0	1.0	0.0	
722	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
723	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
724	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
725	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
726	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
727	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
728	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
729	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
730	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
731	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
732	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
733	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
734	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
735	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
736	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
737	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
738	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
739	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
740	28.0	1.0	0.0	1.0	0.0	0.0	0.0	
741	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
742	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
743	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
744	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
745	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
746	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
747	26.0	1.0	0.0	0.0	0.0	0.0	1.0	
748	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
749	28.0	0.0	0.0	0.0	0.0	1.0	1.0	
750	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
751	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
752	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
753	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
754	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
755	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
756	26.0	1.0	0.0	0.0	0.0	0.0	1.0	
757	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
758	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
759	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
760	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
761	26.0	1.0	0.0	0.0	0.0	0.0	1.0	
762	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
763	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
764	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
765	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
766	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
767	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
768	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
769	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
770	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
771	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
772	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
773	26.0	0.0	1.0	0.0	1.0	0.0	0.0	
774	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
775	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
776	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
777	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
778	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
779	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
780	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
781	28.0	1.0	0.0	1.0	0.0	0.0	0.0	
782	28.0	0.0	0.0	0.0	0.0	1.0	1.0	
783	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
784	26.0	1.0	0.0	0.0	0.0	0.0	1.0	
785	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
786	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
787	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
788	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
789	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
790	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
791	26.0	0.0	1.0	0.0	1.0	0.0	0.0	
792	26.0	0.0	1.0	0.0	1.0	0.0	0.0	
793	26.0	1.0	0.0	0.0	0.0	0.0	1.0	
794	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
795	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
796	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
797	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
798	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
799	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
800	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
801	26.0	0.0	1.0	0.0	1.0	0.0	0.0	
802	28.0	0.0	0.0	0.0	0.0	1.0	1.0	
803	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
804	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
805	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
806	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
807	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
808	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
809	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
810	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
811	28.0	1.0	0.0	1.0	0.0	0.0	0.0	
812	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
813	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
814	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
815	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
816	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
817	26.0	0.0	1.0	0.0	1.0	0.0	0.0	
818	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
819	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
820	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
821	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
822	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
823	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
824	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
825	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
826	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
827	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
828	26.0	1.0	0.0	0.0	0.0	0.0	1.0	
829	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
830	26.0	0.0	1.0	0.0	1.0	0.0	0.0	
831	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
832	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
833	28.0	0.0	0.0	0.0	0.0	1.0	1.0	
834	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
835	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
836	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
837	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
838	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
839	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
840	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
841	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
842	28.0	1.0	0.0	1.0	0.0	0.0	0.0	
843	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
844	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
845	28.0	0.0	0.0	0.0	0.0	1.0	1.0	
846	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
847	28.0	0.0	0.0	0.0	0.0	1.0	1.0	
