Sample	cat16-73.trees	cat16-73.sequence07_sequence13_sequence16_sequence09_sequence10_sequence15	cat16-73.sequence13_sequence16_sequence02_sequence09_sequence15	cat16-73.sequence01_sequence05_sequence04_sequence14_sequence07_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence06_sequence15	cat16-73.sequence07_sequence02_sequence10	cat16-73.sequence01_sequence04_sequence07_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence15	cat16-73.sequence05_sequence14_sequence11_sequence12_sequence06_sequence08	cat16-73.sequence01_sequence04_sequence07_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence08_sequence15	
351	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
352	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
353	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
354	28.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
355	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
356	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
357	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
358	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
359	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
360	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
361	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
362	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
363	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
364	26.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
365	28.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
366	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
367	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
368	26.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
369	28.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
370	28.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
371	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
372	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
373	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
374	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
375	26.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	
376	28.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
377	28.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
378	28.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
379	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
380	28.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
381	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
382	26.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
383	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
384	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
385	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
386	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
387	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
388	26.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
389	28.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
390	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
391	26.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	
392	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
393	28.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
394	28.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
395	26.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
396	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
397	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
398	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
399	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
400	28.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
401	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
402	26.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
403	26.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
404	26.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	
405	26.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
406	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
407	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
408	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
409	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
410	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
411	26.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
412	26.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	
413	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
414	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
415	28.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
416	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
417	26.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
418	28.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
419	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
420	28.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
421	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
422	28.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
423	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
424	28.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
425	28.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
426	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
427	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
428	26.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
429	26.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
430	28.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
431	26.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	
432	26.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
433	28.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
434	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
435	26.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	
436	26.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
437	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
438	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
439	28.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
440	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
441	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
442	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
443	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
444	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
445	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
446	28.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
447	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
448	26.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	
449	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
450	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
451	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
452	28.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
453	26.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	
454	28.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
455	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
456	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
457	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
458	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
459	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
460	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
461	26.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	
462	28.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
463	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
464	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
465	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
466	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
467	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
468	28.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
469	28.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
470	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
471	28.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
472	28.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
473	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
474	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
475	28.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
476	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
477	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
478	28.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
479	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
480	28.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
481	28.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
482	28.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
483	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
484	26.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
485	28.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
486	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
487	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
488	28.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
489	26.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	
490	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
491	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
492	26.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
493	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
494	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
495	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
496	28.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
497	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
498	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
499	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
500	26.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	
501	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
502	26.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
503	28.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
504	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
505	26.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
506	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
507	28.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
508	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
509	28.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
510	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
511	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
512	28.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
513	28.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
514	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
515	28.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
516	26.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	
517	26.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
518	28.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
519	28.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
520	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
521	28.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
522	28.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
523	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
524	28.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
525	26.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
526	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
527	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
528	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
529	28.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
530	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
531	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
532	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
533	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
534	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
535	28.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
536	28.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
537	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
538	28.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
539	28.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
540	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
541	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
542	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
543	28.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
544	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
545	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
546	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
547	26.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
548	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
549	28.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
550	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
551	26.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	
552	26.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
553	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
554	26.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	
555	28.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
556	28.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
557	28.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
558	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
559	28.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
560	28.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
561	28.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
562	26.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
563	26.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
564	28.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
565	26.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
566	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
567	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
568	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
569	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
570	28.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
571	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
572	26.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
573	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
574	28.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
575	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
576	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
577	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
578	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
579	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
580	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
581	28.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
582	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
583	28.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
584	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
585	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
586	26.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	
587	28.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
588	26.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
589	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
590	28.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
591	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
592	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
593	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
594	28.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
595	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
596	26.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	
597	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
598	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
599	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
600	28.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
601	28.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
602	28.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
603	28.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
604	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
605	26.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	
606	26.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
607	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
608	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
609	26.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
610	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
611	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
612	28.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
613	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
614	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
615	28.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
616	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
617	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
618	28.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
619	26.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
620	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
621	26.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	
622	28.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
623	26.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
624	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
625	28.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
626	28.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
627	28.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
628	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
629	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
630	28.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
631	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
632	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
633	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
634	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
635	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
636	28.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
637	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
638	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
639	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
640	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
641	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
642	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
643	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
644	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
645	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
646	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
647	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
648	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
649	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
650	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
651	26.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	
652	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
653	26.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	
654	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
655	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
656	26.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
657	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
658	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
659	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
660	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
661	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
662	28.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
663	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
664	28.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
665	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
666	26.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	
667	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
668	26.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	
669	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
670	28.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
671	26.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	
672	28.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
673	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
674	26.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
675	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
676	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
677	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
678	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
679	26.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	
680	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
681	26.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	
682	28.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
683	26.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	
684	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
685	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
686	28.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
687	28.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
688	28.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
689	26.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
690	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
691	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
692	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
693	26.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
694	26.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
695	28.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
696	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
697	28.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
698	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
699	28.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
700	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
701	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
702	28.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
703	28.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
704	28.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
705	28.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
706	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
707	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
708	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
709	26.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	
710	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
711	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
712	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
713	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
714	26.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	
715	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
716	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
717	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
718	28.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
719	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
720	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
721	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
722	28.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
723	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
724	28.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
725	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
726	28.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
727	26.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	
728	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
729	28.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
730	26.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	
731	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
732	26.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
733	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
734	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
735	28.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
736	28.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
737	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
738	28.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
739	28.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
740	28.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
