Sample	cat16-73.trees	cat16-73.sequence07_sequence13_sequence16_sequence09_sequence10_sequence15	cat16-73.sequence13_sequence16_sequence02_sequence09_sequence15	cat16-73.sequence01_sequence05_sequence04_sequence14_sequence07_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence06_sequence15	cat16-73.sequence07_sequence02_sequence10	cat16-73.sequence01_sequence04_sequence07_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence15	cat16-73.sequence05_sequence14_sequence11_sequence12_sequence06_sequence08	cat16-73.sequence01_sequence04_sequence07_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence08_sequence15	
81	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
82	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
83	26.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
84	28.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
85	28.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
86	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
87	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
88	28.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
89	28.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
90	26.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
91	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
92	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
93	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
94	28.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
95	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
96	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
97	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
98	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
99	26.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	
100	26.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	
101	26.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
102	28.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
103	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
104	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
105	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
106	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
107	26.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	
108	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
109	26.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
110	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
111	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
112	28.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
113	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
114	28.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
115	28.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
116	26.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	
117	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
118	28.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
119	28.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
120	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
121	26.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
122	28.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
123	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
124	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
125	28.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
126	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
127	28.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
128	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
129	28.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
130	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
131	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
132	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
133	26.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
134	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
135	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
136	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
137	26.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	
138	28.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
139	28.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
140	28.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
141	28.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
142	28.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
