Sample	cat16-69.trees	cat16-69.sequence01_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence10_sequence06_sequence08	cat16-69.sequence12_sequence13	cat16-69.sequence01_sequence10	cat16-69.sequence05_sequence04_sequence14_sequence07_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence06_sequence08_sequence15	cat16-69.sequence12_sequence02	cat16-69.sequence13_sequence02	
96	26.0	1.0	1.0	1.0	0.0	0.0	0.0	
97	28.0	1.0	0.0	1.0	0.0	1.0	0.0	
98	26.0	0.0	1.0	1.0	0.0	0.0	0.0	
99	28.0	0.0	1.0	1.0	1.0	0.0	0.0	
100	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
101	28.0	0.0	1.0	1.0	1.0	0.0	0.0	
102	28.0	1.0	0.0	1.0	0.0	1.0	0.0	
103	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
104	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
105	28.0	0.0	1.0	1.0	1.0	0.0	0.0	
106	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
107	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
108	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
109	26.0	1.0	1.0	1.0	0.0	0.0	0.0	
110	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
111	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
112	28.0	0.0	0.0	1.0	1.0	0.0	1.0	
113	28.0	0.0	1.0	1.0	1.0	0.0	0.0	
114	28.0	0.0	0.0	1.0	1.0	0.0	1.0	
115	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
116	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
117	28.0	0.0	1.0	1.0	1.0	0.0	0.0	
118	28.0	0.0	1.0	1.0	1.0	0.0	0.0	
119	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
120	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
121	28.0	0.0	1.0	1.0	1.0	0.0	0.0	
122	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
123	28.0	0.0	1.0	1.0	1.0	0.0	0.0	
124	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
125	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
126	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
127	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
128	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
129	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
130	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
131	28.0	0.0	1.0	1.0	1.0	0.0	0.0	
132	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
133	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
134	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
135	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
136	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
137	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
138	28.0	0.0	1.0	1.0	1.0	0.0	0.0	
139	28.0	0.0	1.0	1.0	1.0	0.0	0.0	
140	28.0	0.0	0.0	1.0	1.0	0.0	1.0	
141	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
142	28.0	0.0	1.0	1.0	1.0	0.0	0.0	
143	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
144	28.0	0.0	0.0	1.0	1.0	0.0	1.0	
145	28.0	0.0	1.0	1.0	1.0	0.0	0.0	
146	28.0	0.0	1.0	1.0	1.0	0.0	0.0	
147	28.0	0.0	1.0	1.0	1.0	0.0	0.0	
148	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
149	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
150	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
151	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
152	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
153	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
154	28.0	0.0	0.0	1.0	1.0	0.0	1.0	
155	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
156	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
157	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
158	28.0	0.0	1.0	1.0	1.0	0.0	0.0	
159	28.0	0.0	1.0	1.0	1.0	0.0	0.0	
160	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
161	28.0	0.0	1.0	1.0	1.0	0.0	0.0	
162	28.0	0.0	0.0	1.0	0.0	1.0	0.0	
163	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
164	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
165	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
166	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
167	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
168	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
169	28.0	0.0	1.0	1.0	1.0	0.0	0.0	
170	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
171	28.0	0.0	1.0	1.0	1.0	0.0	0.0	
172	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
173	28.0	0.0	1.0	1.0	1.0	0.0	0.0	
174	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
175	28.0	0.0	0.0	1.0	1.0	0.0	1.0	
176	28.0	0.0	1.0	1.0	1.0	0.0	0.0	
177	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
178	28.0	0.0	1.0	1.0	1.0	0.0	0.0	
179	28.0	0.0	1.0	1.0	1.0	0.0	0.0	
180	28.0	0.0	0.0	1.0	1.0	0.0	1.0	
181	28.0	0.0	1.0	1.0	1.0	0.0	0.0	
182	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
183	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
184	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
185	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
186	28.0	0.0	0.0	1.0	1.0	0.0	1.0	
187	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
188	28.0	0.0	0.0	1.0	1.0	0.0	1.0	
189	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
190	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
191	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
192	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
193	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
194	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
195	28.0	0.0	1.0	1.0	1.0	0.0	0.0	
196	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
197	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
198	28.0	0.0	1.0	1.0	1.0	0.0	0.0	
199	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
200	28.0	0.0	1.0	1.0	1.0	0.0	0.0	
201	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
202	28.0	0.0	1.0	1.0	1.0	0.0	0.0	
203	28.0	0.0	1.0	1.0	1.0	0.0	0.0	
204	28.0	0.0	1.0	1.0	1.0	0.0	0.0	
205	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
206	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
207	28.0	0.0	0.0	1.0	1.0	0.0	1.0	
208	28.0	0.0	1.0	1.0	1.0	0.0	0.0	
209	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
210	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
211	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
212	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
213	28.0	0.0	1.0	1.0	1.0	0.0	0.0	
214	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
215	28.0	0.0	0.0	1.0	0.0	1.0	0.0	
216	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
217	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
218	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
219	28.0	0.0	1.0	1.0	1.0	0.0	0.0	
220	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
221	28.0	0.0	1.0	1.0	1.0	0.0	0.0	
222	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
223	28.0	0.0	1.0	1.0	1.0	0.0	0.0	
224	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
225	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
226	28.0	0.0	1.0	1.0	1.0	0.0	0.0	
227	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
228	28.0	0.0	0.0	1.0	1.0	0.0	1.0	
229	28.0	0.0	0.0	1.0	1.0	0.0	1.0	
230	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
231	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
232	28.0	0.0	1.0	1.0	1.0	0.0	0.0	
233	28.0	0.0	1.0	1.0	1.0	0.0	0.0	
234	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
235	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
236	28.0	0.0	1.0	1.0	1.0	0.0	0.0	
237	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
238	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
239	26.0	0.0	1.0	1.0	0.0	0.0	0.0	
240	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
241	28.0	0.0	1.0	1.0	1.0	0.0	0.0	
242	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
243	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
244	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
245	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
246	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
247	28.0	0.0	0.0	1.0	1.0	0.0	1.0	
248	28.0	0.0	1.0	1.0	1.0	0.0	0.0	
249	28.0	0.0	1.0	1.0	1.0	0.0	0.0	
250	28.0	0.0	0.0	1.0	1.0	0.0	1.0	
251	28.0	0.0	1.0	1.0	1.0	0.0	0.0	
252	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
253	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
254	28.0	0.0	0.0	1.0	1.0	0.0	1.0	
255	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
256	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
257	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
258	28.0	0.0	1.0	1.0	1.0	0.0	0.0	
259	28.0	0.0	0.0	1.0	1.0	0.0	1.0	
260	28.0	0.0	1.0	1.0	1.0	0.0	0.0	
261	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
262	28.0	0.0	0.0	1.0	1.0	0.0	1.0	
263	28.0	0.0	1.0	1.0	1.0	0.0	0.0	
264	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
265	28.0	0.0	1.0	1.0	1.0	0.0	0.0	
266	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
267	28.0	0.0	1.0	1.0	1.0	0.0	0.0	
268	28.0	1.0	0.0	1.0	0.0	1.0	0.0	
269	28.0	0.0	1.0	1.0	1.0	0.0	0.0	
270	28.0	0.0	1.0	1.0	1.0	0.0	0.0	
271	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
272	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
273	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
274	28.0	0.0	1.0	1.0	1.0	0.0	0.0	
275	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
276	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
277	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
278	28.0	0.0	0.0	1.0	1.0	0.0	1.0	
279	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
280	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
281	28.0	0.0	1.0	1.0	1.0	0.0	0.0	
282	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
283	28.0	0.0	1.0	1.0	1.0	0.0	0.0	
284	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
285	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
286	28.0	0.0	0.0	1.0	1.0	0.0	1.0	
287	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
288	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
289	28.0	0.0	1.0	1.0	1.0	0.0	0.0	
290	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
291	28.0	0.0	0.0	1.0	1.0	0.0	1.0	
292	26.0	0.0	1.0	0.0	1.0	0.0	0.0	
293	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
294	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
295	28.0	0.0	0.0	1.0	1.0	0.0	1.0	
296	28.0	0.0	1.0	1.0	1.0	0.0	0.0	
297	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
298	28.0	0.0	1.0	1.0	1.0	0.0	0.0	
299	28.0	0.0	1.0	1.0	1.0	0.0	0.0	
300	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
301	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
302	26.0	0.0	1.0	1.0	0.0	0.0	0.0	
303	28.0	0.0	1.0	1.0	1.0	0.0	0.0	
304	28.0	0.0	1.0	1.0	1.0	0.0	0.0	
305	28.0	0.0	0.0	1.0	1.0	0.0	1.0	
306	28.0	0.0	1.0	1.0	1.0	0.0	0.0	
307	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
308	28.0	0.0	1.0	1.0	1.0	0.0	0.0	
309	28.0	0.0	1.0	1.0	1.0	0.0	0.0	
310	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
311	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
312	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
313	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
314	28.0	0.0	1.0	1.0	1.0	0.0	0.0	
315	26.0	1.0	1.0	1.0	0.0	0.0	0.0	
316	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
317	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
318	28.0	1.0	0.0	1.0	0.0	1.0	0.0	
319	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
320	28.0	0.0	1.0	1.0	1.0	0.0	0.0	
321	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
322	28.0	0.0	1.0	1.0	1.0	0.0	0.0	
323	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
324	28.0	0.0	0.0	1.0	1.0	0.0	1.0	
325	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
326	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
327	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
328	28.0	0.0	1.0	1.0	1.0	0.0	0.0	
329	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
330	28.0	0.0	1.0	1.0	1.0	0.0	0.0	
331	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
332	28.0	0.0	0.0	1.0	1.0	0.0	1.0	
333	28.0	0.0	0.0	1.0	1.0	0.0	1.0	
334	28.0	0.0	1.0	1.0	1.0	0.0	0.0	
335	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
336	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
337	28.0	0.0	1.0	1.0	1.0	0.0	0.0	
338	28.0	0.0	1.0	1.0	1.0	0.0	0.0	
339	28.0	1.0	0.0	1.0	0.0	1.0	0.0	
340	28.0	0.0	1.0	1.0	1.0	0.0	0.0	
