Sample	cat16-80.trees	cat16-80.sequence04_sequence11_sequence09_sequence03	cat16-80.sequence07_sequence12_sequence10	cat16-80.sequence01_sequence12_sequence10	cat16-80.sequence01_sequence07_sequence12_sequence10	cat16-80.sequence04_sequence14_sequence11_sequence16_sequence09_sequence03	cat16-80.sequence14_sequence11_sequence16	cat16-80.sequence04_sequence14_sequence16_sequence09_sequence03	cat16-80.sequence01_sequence07	cat16-80.sequence11_sequence13_sequence02_sequence08	cat16-80.sequence04_sequence11_sequence13_sequence02_sequence09_sequence03_sequence08	cat16-80.sequence05_sequence07_sequence06_sequence15	cat16-80.sequence05_sequence12_sequence10_sequence06_sequence15	cat16-80.sequence04_sequence13_sequence02_sequence09_sequence03_sequence08	cat16-80.sequence01_sequence05_sequence12_sequence10_sequence06_sequence15	cat16-80.sequence14_sequence11_sequence13_sequence16_sequence02_sequence08	cat16-80.sequence01_sequence05_sequence06_sequence15	cat16-80.sequence14_sequence13_sequence16_sequence02_sequence08	
28	22.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
29	24.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
30	26.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	
31	24.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	
32	26.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	
33	22.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
34	28.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	
35	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
36	28.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	
37	26.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
