Sample	cat16-34.trees	cat16-34.sequence01_sequence04_sequence11_sequence13_sequence10	cat16-34.sequence05_sequence11_sequence09_sequence03_sequence08_sequence15	cat16-34.sequence12_sequence06	cat16-34.sequence07_sequence16	cat16-34.sequence12_sequence02	cat16-34.sequence02_sequence06	cat16-34.sequence01_sequence05_sequence04_sequence13_sequence09_sequence03_sequence10_sequence08_sequence15	
85	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
86	30.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
87	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
88	30.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
89	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
90	26.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
91	30.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
92	30.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
93	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
94	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
95	26.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	
96	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
97	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
98	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
99	30.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
100	30.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
101	30.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
102	30.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
103	26.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	
104	26.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	
105	30.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
106	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
107	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
108	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
109	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
110	30.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
111	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
112	28.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	
113	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
114	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
115	30.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
116	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
117	28.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
118	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
119	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
120	30.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
121	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
122	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
123	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
124	30.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
125	26.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
126	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
127	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
128	30.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
129	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
130	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
131	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
132	26.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	
133	28.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
134	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
135	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
136	30.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
137	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
