Sample	cat16-93.trees	cat16-93.sequence05_sequence04_sequence07_sequence03	cat16-93.sequence05_sequence04_sequence11_sequence13_sequence03	cat16-93.sequence05_sequence04_sequence07_sequence11_sequence12_sequence13_sequence02_sequence09_sequence03_sequence06_sequence08	cat16-93.sequence07_sequence11_sequence13	cat16-93.sequence01_sequence05_sequence04_sequence14_sequence07_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence06_sequence15	cat16-93.sequence01_sequence14_sequence16_sequence10_sequence08_sequence15	
408	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
409	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
410	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
411	26.0	0.0	1.0	0.0	0.0	1.0	0.0	
412	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
413	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
414	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
415	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
416	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
417	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
418	28.0	0.0	1.0	1.0	0.0	0.0	0.0	
419	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
420	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
421	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
422	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
423	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
424	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
425	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
426	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
427	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
428	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
429	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
430	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
431	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
432	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
433	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
434	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
435	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
436	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
437	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
438	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
439	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
440	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
441	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
442	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
443	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
444	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
445	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
446	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
447	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
448	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
449	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
450	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
451	28.0	0.0	1.0	1.0	0.0	0.0	0.0	
452	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
453	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
454	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
455	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
456	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
457	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
458	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
459	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
460	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
461	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
462	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
463	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
464	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
465	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
466	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
467	28.0	0.0	1.0	1.0	0.0	0.0	0.0	
468	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
469	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
470	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
471	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
472	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
473	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
474	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
475	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
476	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
477	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
478	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
479	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
480	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
481	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
482	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
483	28.0	0.0	1.0	1.0	0.0	0.0	0.0	
484	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
485	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
486	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
487	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
488	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
489	28.0	0.0	1.0	1.0	0.0	0.0	0.0	
490	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
491	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
492	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
493	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
494	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
495	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
496	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
497	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
498	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
499	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
500	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
501	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
502	28.0	0.0	1.0	1.0	0.0	0.0	0.0	
503	28.0	1.0	0.0	0.0	0.0	1.0	0.0	
504	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
505	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
506	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
507	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
508	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
509	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
510	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
511	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
512	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
513	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
514	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
515	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
516	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
517	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
518	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
519	28.0	1.0	0.0	0.0	0.0	1.0	0.0	
520	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
521	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
522	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
523	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
524	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
525	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
526	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
527	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
528	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
529	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
530	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
531	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
532	28.0	0.0	1.0	1.0	0.0	0.0	0.0	
533	28.0	0.0	1.0	1.0	0.0	0.0	0.0	
534	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
535	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
536	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
537	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
538	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
539	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
540	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
541	28.0	0.0	1.0	1.0	0.0	0.0	0.0	
542	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
543	28.0	0.0	1.0	1.0	0.0	0.0	0.0	
544	28.0	1.0	0.0	0.0	0.0	1.0	0.0	
545	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
546	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
547	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
548	28.0	1.0	0.0	0.0	0.0	0.0	1.0	
549	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
550	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
551	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
552	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
553	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
554	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
555	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
556	28.0	0.0	1.0	1.0	0.0	0.0	0.0	
557	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
558	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
559	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
560	28.0	0.0	1.0	1.0	0.0	0.0	0.0	
561	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
562	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
563	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
564	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
565	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
566	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
567	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
568	28.0	1.0	0.0	0.0	0.0	1.0	0.0	
569	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
570	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
571	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
572	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
573	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
574	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
575	28.0	0.0	1.0	1.0	0.0	0.0	0.0	
576	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
577	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
578	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
579	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
580	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
581	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
582	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
583	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
584	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
585	28.0	0.0	1.0	1.0	0.0	0.0	0.0	
586	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
587	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
588	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
589	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
590	28.0	0.0	1.0	1.0	0.0	0.0	0.0	
591	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
592	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
593	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
594	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
595	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
596	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
597	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
598	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
599	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
600	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
601	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
602	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
603	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
604	28.0	0.0	1.0	1.0	0.0	0.0	0.0	
605	28.0	0.0	1.0	1.0	0.0	0.0	0.0	
606	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
607	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
608	28.0	0.0	1.0	1.0	0.0	0.0	0.0	
609	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
610	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
611	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
612	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
613	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
614	28.0	1.0	0.0	0.0	0.0	1.0	0.0	
615	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
616	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
617	28.0	1.0	0.0	0.0	0.0	1.0	0.0	
618	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
619	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
620	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
621	28.0	0.0	1.0	1.0	0.0	0.0	0.0	
622	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
623	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
624	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
625	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
626	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
627	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
628	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
629	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
630	28.0	1.0	0.0	0.0	0.0	0.0	1.0	
631	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
632	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
633	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
634	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
635	28.0	1.0	0.0	0.0	0.0	1.0	0.0	
636	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
637	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
638	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
639	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
640	28.0	1.0	0.0	0.0	0.0	0.0	1.0	
641	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
642	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
643	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
644	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
645	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
646	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
647	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
648	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
649	28.0	1.0	0.0	0.0	0.0	1.0	0.0	
650	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
651	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
652	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
653	28.0	0.0	1.0	1.0	0.0	0.0	0.0	
654	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
655	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
656	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
657	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
658	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
659	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
660	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
661	28.0	0.0	1.0	1.0	0.0	0.0	0.0	
662	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
663	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
664	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
665	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
666	28.0	0.0	1.0	1.0	0.0	0.0	0.0	
667	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
668	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
669	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
670	28.0	0.0	1.0	1.0	0.0	0.0	0.0	
671	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
672	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
673	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
674	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
675	28.0	0.0	1.0	1.0	0.0	0.0	0.0	
676	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
677	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
678	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
679	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
680	28.0	0.0	1.0	1.0	0.0	0.0	0.0	
681	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
682	28.0	0.0	1.0	1.0	0.0	0.0	0.0	
683	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
684	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
685	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
686	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
687	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
688	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
689	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
690	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
691	28.0	0.0	1.0	1.0	0.0	0.0	0.0	
692	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
693	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
694	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
695	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
696	28.0	0.0	1.0	1.0	0.0	0.0	0.0	
697	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
698	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
699	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
700	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
701	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
702	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
703	28.0	0.0	1.0	1.0	0.0	0.0	0.0	
704	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
705	28.0	0.0	1.0	1.0	0.0	0.0	0.0	
706	28.0	1.0	0.0	0.0	0.0	1.0	0.0	
707	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
708	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
709	28.0	0.0	1.0	1.0	0.0	0.0	0.0	
710	28.0	1.0	0.0	0.0	0.0	1.0	0.0	
711	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
712	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
713	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
714	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
715	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
716	28.0	0.0	1.0	1.0	0.0	0.0	0.0	
717	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
718	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
719	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
720	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
721	28.0	1.0	0.0	0.0	0.0	1.0	0.0	
722	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
723	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
724	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
725	28.0	0.0	1.0	1.0	0.0	0.0	0.0	
726	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
727	26.0	0.0	0.0	0.0	1.0	1.0	0.0	
728	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
729	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
730	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
731	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
732	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
733	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
734	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
735	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
736	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
737	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
738	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
739	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
740	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
741	26.0	0.0	0.0	0.0	1.0	1.0	0.0	
742	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
743	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
744	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
745	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
746	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
747	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
748	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
749	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
750	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
751	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
752	28.0	0.0	1.0	1.0	0.0	0.0	0.0	
753	28.0	1.0	0.0	0.0	0.0	1.0	0.0	
754	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
755	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
756	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
757	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
758	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
759	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
760	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
761	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
762	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
763	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
764	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
765	28.0	0.0	1.0	1.0	0.0	0.0	0.0	
766	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
767	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
768	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
769	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
770	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
771	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
772	26.0	0.0	0.0	0.0	1.0	1.0	0.0	
773	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
774	28.0	0.0	1.0	1.0	0.0	0.0	0.0	
775	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
776	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
777	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
778	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
779	26.0	0.0	0.0	0.0	1.0	1.0	0.0	
780	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
781	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
782	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
783	28.0	1.0	0.0	0.0	0.0	1.0	0.0	
784	28.0	0.0	1.0	1.0	0.0	0.0	0.0	
785	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
786	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
787	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
788	28.0	0.0	1.0	1.0	0.0	0.0	0.0	
789	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
790	26.0	0.0	1.0	0.0	0.0	1.0	0.0	
791	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
792	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
793	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
794	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
795	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
796	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
797	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
798	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
799	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
800	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
801	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
802	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
803	26.0	0.0	0.0	0.0	1.0	1.0	0.0	
804	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
805	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
806	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
807	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
808	28.0	1.0	0.0	0.0	0.0	0.0	1.0	
809	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
810	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
811	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
812	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
813	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
814	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
815	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
816	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
817	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
818	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
819	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
820	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
821	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
822	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
823	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
824	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
825	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
826	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
827	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
828	28.0	0.0	1.0	1.0	0.0	0.0	0.0	
829	28.0	1.0	0.0	0.0	0.0	1.0	0.0	
830	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
831	26.0	0.0	1.0	0.0	0.0	0.0	1.0	
832	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
833	28.0	0.0	1.0	1.0	0.0	0.0	0.0	
834	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
835	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
836	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
837	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
838	28.0	0.0	1.0	1.0	0.0	0.0	0.0	
839	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
840	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
841	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
842	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
843	28.0	0.0	1.0	1.0	0.0	0.0	0.0	
844	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
845	28.0	1.0	0.0	0.0	0.0	0.0	1.0	
846	28.0	0.0	1.0	1.0	0.0	0.0	0.0	
847	28.0	0.0	1.0	1.0	0.0	0.0	0.0	
848	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
849	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
