Sample	cat16-93.trees	cat16-93.sequence05_sequence04_sequence07_sequence03	cat16-93.sequence05_sequence04_sequence11_sequence13_sequence03	cat16-93.sequence05_sequence04_sequence07_sequence11_sequence12_sequence13_sequence02_sequence09_sequence03_sequence06_sequence08	cat16-93.sequence07_sequence11_sequence13	cat16-93.sequence01_sequence05_sequence04_sequence14_sequence07_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence06_sequence15	cat16-93.sequence01_sequence14_sequence16_sequence10_sequence08_sequence15	
94	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
95	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
96	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
97	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
98	28.0	0.0	1.0	1.0	0.0	0.0	0.0	
99	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
100	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
101	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
102	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
103	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
104	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
105	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
106	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
107	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
108	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
109	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
110	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
111	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
112	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
113	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
114	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
115	26.0	0.0	0.0	0.0	1.0	1.0	0.0	
116	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
117	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
118	28.0	1.0	0.0	0.0	0.0	0.0	1.0	
119	28.0	1.0	0.0	0.0	0.0	1.0	0.0	
120	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
121	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
122	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
123	28.0	1.0	0.0	0.0	0.0	1.0	0.0	
124	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
125	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
126	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
127	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
128	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
