Sample	cat16-50.trees	cat16-50.sequence04_sequence12_sequence13_sequence03	cat16-50.sequence16_sequence09_sequence06	cat16-50.sequence02_sequence09_sequence06	cat16-50.sequence01_sequence07_sequence16_sequence02_sequence09_sequence10_sequence06_sequence08_sequence15	cat16-50.sequence05_sequence04_sequence14_sequence11_sequence12_sequence13_sequence03	cat16-50.sequence05_sequence04_sequence11_sequence12_sequence03	cat16-50.sequence01_sequence14_sequence07_sequence16_sequence02_sequence09_sequence10_sequence06_sequence08_sequence15	cat16-50.sequence01_sequence05_sequence04_sequence07_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence06_sequence08_sequence15	cat16-50.sequence01_sequence05_sequence04_sequence14_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence06_sequence08_sequence15	cat16-50.sequence05_sequence11_sequence13	cat16-50.sequence16_sequence02	
78	28.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	
79	28.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	
80	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	
81	28.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	
82	26.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	
83	26.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	
84	26.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	
85	26.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	
86	26.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	
87	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	
88	28.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	
89	26.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	
90	28.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	
