Sample	cat16-71.trees	cat16-71.sequence01_sequence11_sequence13_sequence16_sequence09_sequence03_sequence15	cat16-71.sequence05_sequence04_sequence14_sequence07_sequence12_sequence02_sequence10_sequence06_sequence08_sequence15	cat16-71.sequence01_sequence05_sequence04_sequence14_sequence07_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence06_sequence08	
158	30.0	0.0	0.0	1.0	
159	28.0	0.0	1.0	0.0	
160	28.0	1.0	0.0	0.0	
161	30.0	0.0	0.0	1.0	
162	28.0	0.0	1.0	0.0	
163	28.0	1.0	0.0	0.0	
164	30.0	0.0	0.0	1.0	
165	30.0	0.0	0.0	1.0	
166	28.0	0.0	1.0	0.0	
167	28.0	1.0	0.0	0.0	
168	30.0	0.0	0.0	1.0	
169	30.0	0.0	0.0	1.0	
170	30.0	0.0	0.0	1.0	
171	28.0	0.0	1.0	0.0	
172	30.0	0.0	0.0	1.0	
173	30.0	0.0	0.0	1.0	
174	30.0	0.0	0.0	1.0	
175	28.0	1.0	0.0	0.0	
176	30.0	0.0	0.0	1.0	
177	28.0	1.0	0.0	0.0	
178	30.0	0.0	0.0	1.0	
179	30.0	0.0	0.0	1.0	
180	30.0	0.0	0.0	1.0	
181	30.0	0.0	0.0	1.0	
182	30.0	0.0	0.0	1.0	
183	30.0	0.0	0.0	1.0	
184	28.0	1.0	0.0	0.0	
185	28.0	1.0	0.0	0.0	
186	28.0	1.0	0.0	0.0	
187	30.0	0.0	0.0	1.0	
188	28.0	0.0	1.0	0.0	
189	28.0	1.0	0.0	0.0	
190	30.0	0.0	0.0	1.0	
191	30.0	0.0	0.0	1.0	
192	28.0	1.0	0.0	0.0	
193	28.0	1.0	0.0	0.0	
194	28.0	1.0	0.0	0.0	
195	30.0	0.0	0.0	1.0	
196	30.0	0.0	0.0	1.0	
197	30.0	0.0	0.0	1.0	
198	28.0	1.0	0.0	0.0	
199	28.0	0.0	1.0	0.0	
200	28.0	1.0	0.0	0.0	
201	28.0	1.0	0.0	0.0	
202	30.0	0.0	0.0	1.0	
203	28.0	0.0	1.0	0.0	
204	28.0	1.0	0.0	0.0	
205	28.0	1.0	0.0	0.0	
206	30.0	0.0	0.0	1.0	
207	30.0	0.0	0.0	1.0	
208	30.0	0.0	0.0	1.0	
209	28.0	1.0	0.0	0.0	
210	28.0	0.0	1.0	0.0	
211	28.0	1.0	0.0	0.0	
212	28.0	0.0	1.0	0.0	
213	30.0	0.0	0.0	1.0	
214	30.0	0.0	0.0	1.0	
215	28.0	1.0	0.0	0.0	
216	30.0	0.0	0.0	1.0	
217	28.0	1.0	0.0	0.0	
218	28.0	1.0	0.0	0.0	
219	30.0	0.0	0.0	1.0	
220	28.0	1.0	0.0	0.0	
221	30.0	0.0	0.0	1.0	
222	30.0	0.0	0.0	1.0	
223	28.0	0.0	1.0	0.0	
224	28.0	0.0	1.0	0.0	
225	28.0	1.0	0.0	0.0	
226	28.0	0.0	1.0	0.0	
227	30.0	0.0	0.0	1.0	
228	30.0	0.0	0.0	1.0	
229	30.0	0.0	0.0	1.0	
230	28.0	1.0	0.0	0.0	
231	30.0	0.0	0.0	1.0	
232	28.0	1.0	0.0	0.0	
233	30.0	0.0	0.0	1.0	
234	28.0	1.0	0.0	0.0	
235	28.0	1.0	0.0	0.0	
236	28.0	1.0	0.0	0.0	
237	28.0	0.0	1.0	0.0	
238	28.0	1.0	0.0	0.0	
239	30.0	0.0	0.0	1.0	
240	28.0	0.0	1.0	0.0	
241	28.0	0.0	1.0	0.0	
242	28.0	0.0	1.0	0.0	
243	28.0	0.0	1.0	0.0	
244	28.0	0.0	1.0	0.0	
245	28.0	1.0	0.0	0.0	
246	28.0	1.0	0.0	0.0	
247	30.0	0.0	0.0	1.0	
248	28.0	0.0	1.0	0.0	
249	28.0	1.0	0.0	0.0	
