Sample	cat16-71.trees	cat16-71.sequence01_sequence11_sequence13_sequence16_sequence09_sequence03_sequence15	cat16-71.sequence05_sequence04_sequence14_sequence07_sequence12_sequence02_sequence10_sequence06_sequence08_sequence15	cat16-71.sequence01_sequence05_sequence04_sequence14_sequence07_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence06_sequence08	
667	30.0	0.0	0.0	1.0	
668	28.0	1.0	0.0	0.0	
669	28.0	1.0	0.0	0.0	
670	28.0	1.0	0.0	0.0	
671	28.0	1.0	0.0	0.0	
672	30.0	0.0	0.0	1.0	
673	30.0	0.0	0.0	1.0	
674	28.0	0.0	1.0	0.0	
675	28.0	1.0	0.0	0.0	
676	28.0	1.0	0.0	0.0	
677	28.0	1.0	0.0	0.0	
678	28.0	0.0	1.0	0.0	
679	30.0	0.0	0.0	1.0	
680	30.0	0.0	0.0	1.0	
681	28.0	1.0	0.0	0.0	
682	30.0	0.0	0.0	1.0	
683	28.0	0.0	1.0	0.0	
684	30.0	0.0	0.0	1.0	
685	30.0	0.0	0.0	1.0	
686	28.0	1.0	0.0	0.0	
687	30.0	0.0	0.0	1.0	
688	28.0	0.0	1.0	0.0	
689	28.0	0.0	1.0	0.0	
690	30.0	0.0	0.0	1.0	
691	30.0	0.0	0.0	1.0	
692	30.0	0.0	0.0	1.0	
693	30.0	0.0	0.0	1.0	
694	30.0	0.0	0.0	1.0	
695	28.0	1.0	0.0	0.0	
696	30.0	0.0	0.0	1.0	
697	30.0	0.0	0.0	1.0	
698	28.0	0.0	1.0	0.0	
699	30.0	0.0	0.0	1.0	
700	30.0	0.0	0.0	1.0	
701	30.0	0.0	0.0	1.0	
702	30.0	0.0	0.0	1.0	
703	28.0	0.0	1.0	0.0	
704	28.0	1.0	0.0	0.0	
705	30.0	0.0	0.0	1.0	
706	30.0	0.0	0.0	1.0	
707	28.0	1.0	0.0	0.0	
708	28.0	0.0	1.0	0.0	
709	30.0	0.0	0.0	1.0	
710	28.0	1.0	0.0	0.0	
711	28.0	1.0	0.0	0.0	
712	30.0	0.0	0.0	1.0	
713	30.0	0.0	0.0	1.0	
714	30.0	0.0	0.0	1.0	
715	28.0	1.0	0.0	0.0	
716	30.0	0.0	0.0	1.0	
717	30.0	0.0	0.0	1.0	
718	30.0	0.0	0.0	1.0	
719	30.0	0.0	0.0	1.0	
720	28.0	1.0	0.0	0.0	
721	28.0	1.0	0.0	0.0	
722	28.0	0.0	1.0	0.0	
723	28.0	1.0	0.0	0.0	
724	28.0	0.0	1.0	0.0	
725	30.0	0.0	0.0	1.0	
726	30.0	0.0	0.0	1.0	
727	28.0	0.0	1.0	0.0	
728	28.0	1.0	0.0	0.0	
729	28.0	0.0	1.0	0.0	
730	28.0	0.0	1.0	0.0	
731	28.0	1.0	0.0	0.0	
732	28.0	0.0	1.0	0.0	
733	30.0	0.0	0.0	1.0	
734	30.0	0.0	0.0	1.0	
735	28.0	0.0	1.0	0.0	
736	28.0	0.0	1.0	0.0	
737	30.0	0.0	0.0	1.0	
738	30.0	0.0	0.0	1.0	
739	30.0	0.0	0.0	1.0	
740	28.0	0.0	1.0	0.0	
741	28.0	1.0	0.0	0.0	
742	28.0	1.0	0.0	0.0	
743	28.0	0.0	1.0	0.0	
744	28.0	0.0	1.0	0.0	
745	30.0	0.0	0.0	1.0	
746	28.0	0.0	1.0	0.0	
747	30.0	0.0	0.0	1.0	
748	30.0	0.0	0.0	1.0	
749	28.0	1.0	0.0	0.0	
750	28.0	1.0	0.0	0.0	
751	30.0	0.0	0.0	1.0	
752	28.0	1.0	0.0	0.0	
753	28.0	0.0	1.0	0.0	
754	30.0	0.0	0.0	1.0	
755	28.0	1.0	0.0	0.0	
756	30.0	0.0	0.0	1.0	
757	30.0	0.0	0.0	1.0	
758	28.0	1.0	0.0	0.0	
759	30.0	0.0	0.0	1.0	
760	30.0	0.0	0.0	1.0	
761	30.0	0.0	0.0	1.0	
762	28.0	0.0	1.0	0.0	
763	30.0	0.0	0.0	1.0	
764	30.0	0.0	0.0	1.0	
765	30.0	0.0	0.0	1.0	
766	28.0	1.0	0.0	0.0	
767	30.0	0.0	0.0	1.0	
768	28.0	1.0	0.0	0.0	
769	28.0	1.0	0.0	0.0	
770	30.0	0.0	0.0	1.0	
771	30.0	0.0	0.0	1.0	
772	28.0	0.0	1.0	0.0	
773	28.0	0.0	1.0	0.0	
774	30.0	0.0	0.0	1.0	
775	28.0	1.0	0.0	0.0	
776	30.0	0.0	0.0	1.0	
777	30.0	0.0	0.0	1.0	
778	28.0	1.0	0.0	0.0	
779	30.0	0.0	0.0	1.0	
780	28.0	0.0	1.0	0.0	
781	30.0	0.0	0.0	1.0	
782	30.0	0.0	0.0	1.0	
783	30.0	0.0	0.0	1.0	
784	30.0	0.0	0.0	1.0	
785	28.0	1.0	0.0	0.0	
786	28.0	0.0	1.0	0.0	
787	28.0	1.0	0.0	0.0	
788	28.0	0.0	1.0	0.0	
789	28.0	1.0	0.0	0.0	
790	30.0	0.0	0.0	1.0	
791	30.0	0.0	0.0	1.0	
792	30.0	0.0	0.0	1.0	
793	28.0	1.0	0.0	0.0	
794	28.0	1.0	0.0	0.0	
795	28.0	0.0	1.0	0.0	
796	30.0	0.0	0.0	1.0	
797	28.0	1.0	0.0	0.0	
798	28.0	0.0	1.0	0.0	
799	30.0	0.0	0.0	1.0	
800	28.0	1.0	0.0	0.0	
801	28.0	0.0	1.0	0.0	
802	28.0	1.0	0.0	0.0	
803	28.0	1.0	0.0	0.0	
804	30.0	0.0	0.0	1.0	
805	28.0	1.0	0.0	0.0	
806	30.0	0.0	0.0	1.0	
807	30.0	0.0	0.0	1.0	
808	30.0	0.0	0.0	1.0	
809	30.0	0.0	0.0	1.0	
810	30.0	0.0	0.0	1.0	
811	30.0	0.0	0.0	1.0	
812	30.0	0.0	0.0	1.0	
813	30.0	0.0	0.0	1.0	
814	30.0	0.0	0.0	1.0	
815	28.0	0.0	1.0	0.0	
816	28.0	0.0	1.0	0.0	
817	28.0	1.0	0.0	0.0	
818	28.0	0.0	1.0	0.0	
819	30.0	0.0	0.0	1.0	
820	28.0	1.0	0.0	0.0	
821	28.0	1.0	0.0	0.0	
822	28.0	0.0	1.0	0.0	
823	28.0	1.0	0.0	0.0	
824	30.0	0.0	0.0	1.0	
825	28.0	0.0	1.0	0.0	
826	28.0	1.0	0.0	0.0	
827	28.0	1.0	0.0	0.0	
828	28.0	0.0	1.0	0.0	
829	30.0	0.0	0.0	1.0	
830	28.0	1.0	0.0	0.0	
831	30.0	0.0	0.0	1.0	
832	30.0	0.0	0.0	1.0	
833	30.0	0.0	0.0	1.0	
834	30.0	0.0	0.0	1.0	
835	28.0	1.0	0.0	0.0	
836	28.0	0.0	1.0	0.0	
837	28.0	0.0	1.0	0.0	
838	28.0	1.0	0.0	0.0	
839	30.0	0.0	0.0	1.0	
840	30.0	0.0	0.0	1.0	
841	28.0	0.0	1.0	0.0	
842	30.0	0.0	0.0	1.0	
843	30.0	0.0	0.0	1.0	
844	28.0	0.0	1.0	0.0	
845	28.0	0.0	1.0	0.0	
846	28.0	1.0	0.0	0.0	
847	30.0	0.0	0.0	1.0	
848	30.0	0.0	0.0	1.0	
849	30.0	0.0	0.0	1.0	
850	30.0	0.0	0.0	1.0	
851	28.0	0.0	1.0	0.0	
852	30.0	0.0	0.0	1.0	
853	28.0	1.0	0.0	0.0	
854	30.0	0.0	0.0	1.0	
855	28.0	1.0	0.0	0.0	
856	28.0	1.0	0.0	0.0	
857	28.0	0.0	1.0	0.0	
858	28.0	1.0	0.0	0.0	
859	30.0	0.0	0.0	1.0	
860	28.0	1.0	0.0	0.0	
861	30.0	0.0	0.0	1.0	
862	28.0	1.0	0.0	0.0	
863	28.0	0.0	1.0	0.0	
864	28.0	0.0	1.0	0.0	
865	28.0	0.0	1.0	0.0	
866	30.0	0.0	0.0	1.0	
867	30.0	0.0	0.0	1.0	
868	30.0	0.0	0.0	1.0	
869	30.0	0.0	0.0	1.0	
870	30.0	0.0	0.0	1.0	
871	28.0	0.0	1.0	0.0	
872	28.0	1.0	0.0	0.0	
873	28.0	0.0	1.0	0.0	
874	28.0	1.0	0.0	0.0	
875	28.0	1.0	0.0	0.0	
876	30.0	0.0	0.0	1.0	
877	28.0	0.0	1.0	0.0	
878	30.0	0.0	0.0	1.0	
879	30.0	0.0	0.0	1.0	
880	28.0	0.0	1.0	0.0	
881	28.0	1.0	0.0	0.0	
882	28.0	1.0	0.0	0.0	
883	30.0	0.0	0.0	1.0	
884	28.0	0.0	1.0	0.0	
885	30.0	0.0	0.0	1.0	
886	28.0	0.0	1.0	0.0	
887	28.0	1.0	0.0	0.0	
888	28.0	1.0	0.0	0.0	
889	30.0	0.0	0.0	1.0	
890	28.0	0.0	1.0	0.0	
891	28.0	0.0	1.0	0.0	
892	28.0	0.0	1.0	0.0	
893	30.0	0.0	0.0	1.0	
894	28.0	1.0	0.0	0.0	
895	30.0	0.0	0.0	1.0	
896	30.0	0.0	0.0	1.0	
897	30.0	0.0	0.0	1.0	
898	28.0	1.0	0.0	0.0	
899	28.0	0.0	1.0	0.0	
