Sample	cat16-9.trees	cat16-9.sequence01_sequence07_sequence11_sequence12_sequence13_sequence16_sequence09_sequence10	cat16-9.sequence01_sequence05_sequence04_sequence14_sequence07_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence08_sequence15	cat16-9.sequence14_sequence02_sequence03_sequence06_sequence15	cat16-9.sequence01_sequence05_sequence04_sequence07_sequence11_sequence12_sequence13_sequence16_sequence09_sequence10_sequence06_sequence08	
128	30.0	1.0	0.0	1.0	0.0	
129	30.0	1.0	0.0	1.0	0.0	
130	30.0	1.0	0.0	1.0	0.0	
131	28.0	1.0	1.0	0.0	0.0	
132	30.0	1.0	0.0	1.0	0.0	
133	30.0	1.0	0.0	1.0	0.0	
134	30.0	1.0	0.0	1.0	0.0	
135	28.0	1.0	1.0	0.0	0.0	
136	28.0	1.0	1.0	0.0	0.0	
137	28.0	1.0	1.0	0.0	0.0	
138	30.0	1.0	0.0	1.0	0.0	
139	30.0	1.0	0.0	1.0	0.0	
140	30.0	1.0	0.0	1.0	0.0	
141	28.0	1.0	0.0	0.0	1.0	
142	30.0	1.0	0.0	1.0	0.0	
143	30.0	1.0	0.0	1.0	0.0	
144	28.0	1.0	0.0	0.0	1.0	
145	28.0	1.0	0.0	0.0	1.0	
146	30.0	1.0	0.0	1.0	0.0	
147	30.0	1.0	0.0	1.0	0.0	
148	28.0	1.0	0.0	0.0	1.0	
149	30.0	1.0	0.0	1.0	0.0	
150	28.0	1.0	0.0	0.0	1.0	
151	28.0	1.0	0.0	0.0	1.0	
152	30.0	1.0	0.0	1.0	0.0	
153	28.0	1.0	0.0	0.0	1.0	
154	28.0	1.0	1.0	0.0	0.0	
155	30.0	1.0	0.0	1.0	0.0	
156	30.0	1.0	0.0	1.0	0.0	
157	30.0	1.0	0.0	1.0	0.0	
158	30.0	1.0	0.0	1.0	0.0	
159	30.0	1.0	0.0	1.0	0.0	
160	30.0	1.0	0.0	1.0	0.0	
161	30.0	1.0	0.0	1.0	0.0	
162	30.0	1.0	0.0	1.0	0.0	
163	30.0	1.0	0.0	1.0	0.0	
164	30.0	1.0	0.0	1.0	0.0	
165	30.0	1.0	0.0	1.0	0.0	
166	30.0	1.0	0.0	1.0	0.0	
167	30.0	1.0	0.0	1.0	0.0	
168	28.0	1.0	0.0	0.0	1.0	
169	30.0	1.0	0.0	1.0	0.0	
170	30.0	1.0	0.0	1.0	0.0	
171	30.0	1.0	0.0	1.0	0.0	
172	30.0	1.0	0.0	1.0	0.0	
173	30.0	1.0	0.0	1.0	0.0	
174	28.0	1.0	0.0	0.0	1.0	
175	30.0	1.0	0.0	1.0	0.0	
176	28.0	1.0	0.0	0.0	1.0	
177	30.0	1.0	0.0	1.0	0.0	
178	28.0	1.0	0.0	0.0	1.0	
179	28.0	1.0	0.0	0.0	1.0	
180	30.0	1.0	0.0	1.0	0.0	
181	30.0	1.0	0.0	1.0	0.0	
182	30.0	1.0	0.0	1.0	0.0	
183	30.0	1.0	0.0	1.0	0.0	
184	30.0	1.0	0.0	1.0	0.0	
185	28.0	1.0	1.0	0.0	0.0	
186	30.0	1.0	0.0	1.0	0.0	
187	30.0	1.0	0.0	1.0	0.0	
188	30.0	1.0	0.0	1.0	0.0	
189	30.0	1.0	0.0	1.0	0.0	
190	30.0	1.0	0.0	1.0	0.0	
191	30.0	1.0	0.0	1.0	0.0	
192	28.0	1.0	0.0	0.0	1.0	
193	28.0	1.0	0.0	0.0	1.0	
194	28.0	1.0	1.0	0.0	0.0	
195	28.0	1.0	1.0	0.0	0.0	
196	28.0	1.0	0.0	0.0	1.0	
197	28.0	1.0	1.0	0.0	0.0	
