Sample	cat16-9.trees	cat16-9.sequence01_sequence07_sequence11_sequence12_sequence13_sequence16_sequence09_sequence10	cat16-9.sequence01_sequence05_sequence04_sequence14_sequence07_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence08_sequence15	cat16-9.sequence14_sequence02_sequence03_sequence06_sequence15	cat16-9.sequence01_sequence05_sequence04_sequence07_sequence11_sequence12_sequence13_sequence16_sequence09_sequence10_sequence06_sequence08	
546	30.0	1.0	0.0	1.0	0.0	
547	28.0	1.0	0.0	0.0	1.0	
548	30.0	1.0	0.0	1.0	0.0	
549	30.0	1.0	0.0	1.0	0.0	
550	30.0	1.0	0.0	1.0	0.0	
551	30.0	1.0	0.0	1.0	0.0	
552	28.0	1.0	0.0	0.0	1.0	
553	28.0	1.0	0.0	0.0	1.0	
554	30.0	1.0	0.0	1.0	0.0	
555	30.0	1.0	0.0	1.0	0.0	
556	30.0	1.0	0.0	1.0	0.0	
557	28.0	1.0	1.0	0.0	0.0	
558	28.0	1.0	1.0	0.0	0.0	
559	30.0	1.0	0.0	1.0	0.0	
560	28.0	1.0	0.0	0.0	1.0	
561	30.0	1.0	0.0	1.0	0.0	
562	30.0	1.0	0.0	1.0	0.0	
563	28.0	1.0	1.0	0.0	0.0	
564	28.0	1.0	1.0	0.0	0.0	
565	30.0	1.0	0.0	1.0	0.0	
566	28.0	1.0	1.0	0.0	0.0	
567	30.0	1.0	0.0	1.0	0.0	
568	30.0	1.0	0.0	1.0	0.0	
569	28.0	1.0	1.0	0.0	0.0	
570	30.0	1.0	0.0	1.0	0.0	
571	30.0	1.0	0.0	1.0	0.0	
572	30.0	1.0	0.0	1.0	0.0	
573	30.0	1.0	0.0	1.0	0.0	
574	30.0	1.0	0.0	1.0	0.0	
575	28.0	1.0	0.0	0.0	1.0	
576	30.0	1.0	0.0	1.0	0.0	
577	28.0	1.0	1.0	0.0	0.0	
578	30.0	1.0	0.0	1.0	0.0	
579	30.0	1.0	0.0	1.0	0.0	
580	30.0	1.0	0.0	1.0	0.0	
581	30.0	1.0	0.0	1.0	0.0	
582	28.0	1.0	0.0	0.0	1.0	
583	30.0	1.0	0.0	1.0	0.0	
584	30.0	1.0	0.0	1.0	0.0	
585	30.0	1.0	0.0	1.0	0.0	
586	28.0	1.0	0.0	0.0	1.0	
587	30.0	1.0	0.0	1.0	0.0	
588	30.0	1.0	0.0	1.0	0.0	
589	30.0	1.0	0.0	1.0	0.0	
590	30.0	1.0	0.0	1.0	0.0	
591	28.0	1.0	0.0	0.0	1.0	
592	28.0	1.0	1.0	0.0	0.0	
593	30.0	1.0	0.0	1.0	0.0	
594	30.0	1.0	0.0	1.0	0.0	
595	28.0	1.0	0.0	0.0	1.0	
596	28.0	1.0	0.0	0.0	1.0	
597	30.0	1.0	0.0	1.0	0.0	
598	28.0	1.0	1.0	0.0	0.0	
599	28.0	1.0	0.0	0.0	1.0	
600	28.0	1.0	0.0	0.0	1.0	
601	28.0	1.0	0.0	0.0	1.0	
602	28.0	1.0	0.0	0.0	1.0	
603	30.0	1.0	0.0	1.0	0.0	
604	28.0	1.0	0.0	0.0	1.0	
605	30.0	1.0	0.0	1.0	0.0	
606	30.0	1.0	0.0	1.0	0.0	
607	28.0	1.0	0.0	0.0	1.0	
608	30.0	1.0	0.0	1.0	0.0	
609	30.0	1.0	0.0	1.0	0.0	
610	28.0	1.0	1.0	0.0	0.0	
611	28.0	1.0	0.0	0.0	1.0	
612	28.0	1.0	1.0	0.0	0.0	
613	28.0	1.0	1.0	0.0	0.0	
614	28.0	1.0	0.0	0.0	1.0	
615	30.0	1.0	0.0	1.0	0.0	
616	28.0	1.0	1.0	0.0	0.0	
617	28.0	1.0	0.0	0.0	1.0	
618	30.0	1.0	0.0	1.0	0.0	
619	30.0	1.0	0.0	1.0	0.0	
620	28.0	1.0	1.0	0.0	0.0	
621	30.0	1.0	0.0	1.0	0.0	
622	30.0	1.0	0.0	1.0	0.0	
623	30.0	1.0	0.0	1.0	0.0	
624	30.0	1.0	0.0	1.0	0.0	
625	30.0	1.0	0.0	1.0	0.0	
626	30.0	1.0	0.0	1.0	0.0	
627	30.0	1.0	0.0	1.0	0.0	
628	30.0	1.0	0.0	1.0	0.0	
629	30.0	1.0	0.0	1.0	0.0	
630	30.0	1.0	0.0	1.0	0.0	
631	30.0	1.0	0.0	1.0	0.0	
632	30.0	1.0	0.0	1.0	0.0	
633	30.0	1.0	0.0	1.0	0.0	
634	30.0	1.0	0.0	1.0	0.0	
635	30.0	1.0	0.0	1.0	0.0	
636	28.0	1.0	0.0	0.0	1.0	
637	28.0	1.0	0.0	0.0	1.0	
638	28.0	1.0	0.0	0.0	1.0	
639	28.0	1.0	0.0	0.0	1.0	
640	28.0	1.0	0.0	0.0	1.0	
641	30.0	1.0	0.0	1.0	0.0	
642	30.0	1.0	0.0	1.0	0.0	
643	28.0	1.0	0.0	0.0	1.0	
644	30.0	1.0	0.0	1.0	0.0	
645	28.0	1.0	0.0	0.0	1.0	
646	28.0	1.0	0.0	0.0	1.0	
647	28.0	1.0	0.0	0.0	1.0	
648	30.0	1.0	0.0	1.0	0.0	
649	30.0	1.0	0.0	1.0	0.0	
650	30.0	1.0	0.0	1.0	0.0	
651	30.0	1.0	0.0	1.0	0.0	
652	30.0	1.0	0.0	1.0	0.0	
653	28.0	1.0	1.0	0.0	0.0	
654	30.0	1.0	0.0	1.0	0.0	
655	30.0	1.0	0.0	1.0	0.0	
656	30.0	1.0	0.0	1.0	0.0	
657	28.0	1.0	0.0	0.0	1.0	
658	30.0	1.0	0.0	1.0	0.0	
659	30.0	1.0	0.0	1.0	0.0	
660	30.0	1.0	0.0	1.0	0.0	
661	26.0	0.0	0.0	0.0	1.0	
662	30.0	1.0	0.0	1.0	0.0	
663	30.0	1.0	0.0	1.0	0.0	
664	30.0	1.0	0.0	1.0	0.0	
665	28.0	1.0	1.0	0.0	0.0	
666	30.0	1.0	0.0	1.0	0.0	
667	28.0	1.0	0.0	0.0	1.0	
668	28.0	1.0	0.0	0.0	1.0	
669	30.0	1.0	0.0	1.0	0.0	
670	30.0	1.0	0.0	1.0	0.0	
671	28.0	1.0	1.0	0.0	0.0	
672	30.0	1.0	0.0	1.0	0.0	
673	30.0	1.0	0.0	1.0	0.0	
674	30.0	1.0	0.0	1.0	0.0	
675	28.0	1.0	0.0	0.0	1.0	
676	28.0	1.0	0.0	0.0	1.0	
677	30.0	1.0	0.0	1.0	0.0	
678	30.0	1.0	0.0	1.0	0.0	
679	30.0	1.0	0.0	1.0	0.0	
680	28.0	1.0	0.0	0.0	1.0	
681	28.0	1.0	1.0	0.0	0.0	
682	30.0	1.0	0.0	1.0	0.0	
683	30.0	1.0	0.0	1.0	0.0	
684	30.0	1.0	0.0	1.0	0.0	
685	30.0	1.0	0.0	1.0	0.0	
686	30.0	1.0	0.0	1.0	0.0	
687	28.0	1.0	0.0	0.0	1.0	
688	30.0	1.0	0.0	1.0	0.0	
689	30.0	1.0	0.0	1.0	0.0	
690	30.0	1.0	0.0	1.0	0.0	
691	28.0	1.0	0.0	0.0	1.0	
692	30.0	1.0	0.0	1.0	0.0	
693	30.0	1.0	0.0	1.0	0.0	
694	30.0	1.0	0.0	1.0	0.0	
695	30.0	1.0	0.0	1.0	0.0	
696	30.0	1.0	0.0	1.0	0.0	
697	30.0	1.0	0.0	1.0	0.0	
698	28.0	1.0	0.0	0.0	1.0	
699	30.0	1.0	0.0	1.0	0.0	
700	30.0	1.0	0.0	1.0	0.0	
701	28.0	1.0	0.0	0.0	1.0	
702	30.0	1.0	0.0	1.0	0.0	
703	30.0	1.0	0.0	1.0	0.0	
704	30.0	1.0	0.0	1.0	0.0	
705	30.0	1.0	0.0	1.0	0.0	
706	30.0	1.0	0.0	1.0	0.0	
707	28.0	1.0	0.0	0.0	1.0	
708	28.0	1.0	0.0	0.0	1.0	
709	28.0	1.0	0.0	0.0	1.0	
710	28.0	1.0	1.0	0.0	0.0	
711	30.0	1.0	0.0	1.0	0.0	
712	28.0	1.0	0.0	0.0	1.0	
713	30.0	1.0	0.0	1.0	0.0	
714	30.0	1.0	0.0	1.0	0.0	
715	28.0	1.0	0.0	0.0	1.0	
716	28.0	1.0	1.0	0.0	0.0	
717	30.0	1.0	0.0	1.0	0.0	
718	28.0	1.0	1.0	0.0	0.0	
719	28.0	1.0	0.0	0.0	1.0	
720	28.0	1.0	1.0	0.0	0.0	
721	30.0	1.0	0.0	1.0	0.0	
722	30.0	1.0	0.0	1.0	0.0	
723	30.0	1.0	0.0	1.0	0.0	
724	28.0	1.0	0.0	0.0	1.0	
725	28.0	1.0	0.0	0.0	1.0	
726	30.0	1.0	0.0	1.0	0.0	
727	30.0	1.0	0.0	1.0	0.0	
728	28.0	1.0	1.0	0.0	0.0	
729	28.0	1.0	1.0	0.0	0.0	
730	30.0	1.0	0.0	1.0	0.0	
731	30.0	1.0	0.0	1.0	0.0	
732	30.0	1.0	0.0	1.0	0.0	
733	28.0	1.0	0.0	0.0	1.0	
734	28.0	1.0	0.0	0.0	1.0	
735	30.0	1.0	0.0	1.0	0.0	
736	28.0	1.0	0.0	0.0	1.0	
737	30.0	1.0	0.0	1.0	0.0	
738	30.0	1.0	0.0	1.0	0.0	
739	30.0	1.0	0.0	1.0	0.0	
740	30.0	1.0	0.0	1.0	0.0	
741	28.0	1.0	0.0	0.0	1.0	
742	30.0	1.0	0.0	1.0	0.0	
743	30.0	1.0	0.0	1.0	0.0	
744	30.0	1.0	0.0	1.0	0.0	
745	28.0	1.0	0.0	0.0	1.0	
746	28.0	1.0	0.0	0.0	1.0	
747	28.0	1.0	0.0	0.0	1.0	
748	28.0	1.0	0.0	0.0	1.0	
749	30.0	1.0	0.0	1.0	0.0	
750	30.0	1.0	0.0	1.0	0.0	
751	28.0	1.0	1.0	0.0	0.0	
752	30.0	1.0	0.0	1.0	0.0	
753	28.0	1.0	0.0	0.0	1.0	
754	30.0	1.0	0.0	1.0	0.0	
755	28.0	1.0	0.0	0.0	1.0	
756	30.0	1.0	0.0	1.0	0.0	
757	30.0	1.0	0.0	1.0	0.0	
758	28.0	1.0	0.0	0.0	1.0	
759	28.0	1.0	0.0	0.0	1.0	
760	30.0	1.0	0.0	1.0	0.0	
761	28.0	1.0	0.0	0.0	1.0	
762	30.0	1.0	0.0	1.0	0.0	
763	30.0	1.0	0.0	1.0	0.0	
764	30.0	1.0	0.0	1.0	0.0	
765	28.0	1.0	0.0	0.0	1.0	
766	30.0	1.0	0.0	1.0	0.0	
767	30.0	1.0	0.0	1.0	0.0	
768	30.0	1.0	0.0	1.0	0.0	
769	28.0	1.0	0.0	0.0	1.0	
770	30.0	1.0	0.0	1.0	0.0	
771	28.0	1.0	0.0	0.0	1.0	
772	30.0	1.0	0.0	1.0	0.0	
773	28.0	1.0	1.0	0.0	0.0	
774	30.0	1.0	0.0	1.0	0.0	
775	30.0	1.0	0.0	1.0	0.0	
776	30.0	1.0	0.0	1.0	0.0	
777	30.0	1.0	0.0	1.0	0.0	
778	30.0	1.0	0.0	1.0	0.0	
779	28.0	1.0	0.0	0.0	1.0	
780	28.0	1.0	0.0	0.0	1.0	
781	30.0	1.0	0.0	1.0	0.0	
782	28.0	1.0	0.0	0.0	1.0	
783	28.0	1.0	0.0	0.0	1.0	
784	28.0	1.0	1.0	0.0	0.0	
785	28.0	1.0	0.0	0.0	1.0	
786	30.0	1.0	0.0	1.0	0.0	
787	30.0	1.0	0.0	1.0	0.0	
788	30.0	1.0	0.0	1.0	0.0	
789	28.0	1.0	0.0	0.0	1.0	
790	30.0	1.0	0.0	1.0	0.0	
791	28.0	1.0	1.0	0.0	0.0	
792	30.0	1.0	0.0	1.0	0.0	
793	30.0	1.0	0.0	1.0	0.0	
794	28.0	1.0	0.0	0.0	1.0	
795	30.0	1.0	0.0	1.0	0.0	
796	28.0	1.0	1.0	0.0	0.0	
797	30.0	1.0	0.0	1.0	0.0	
798	30.0	1.0	0.0	1.0	0.0	
799	30.0	1.0	0.0	1.0	0.0	
800	30.0	1.0	0.0	1.0	0.0	
801	30.0	1.0	0.0	1.0	0.0	
802	30.0	1.0	0.0	1.0	0.0	
803	30.0	1.0	0.0	1.0	0.0	
804	30.0	1.0	0.0	1.0	0.0	
805	30.0	1.0	0.0	1.0	0.0	
806	28.0	1.0	0.0	0.0	1.0	
807	30.0	1.0	0.0	1.0	0.0	
808	30.0	1.0	0.0	1.0	0.0	
809	30.0	1.0	0.0	1.0	0.0	
810	30.0	1.0	0.0	1.0	0.0	
811	28.0	1.0	1.0	0.0	0.0	
812	28.0	1.0	1.0	0.0	0.0	
813	28.0	1.0	0.0	0.0	1.0	
814	30.0	1.0	0.0	1.0	0.0	
815	30.0	1.0	0.0	1.0	0.0	
816	30.0	1.0	0.0	1.0	0.0	
817	28.0	1.0	0.0	0.0	1.0	
818	30.0	1.0	0.0	1.0	0.0	
819	28.0	1.0	0.0	0.0	1.0	
820	30.0	1.0	0.0	1.0	0.0	
821	30.0	1.0	0.0	1.0	0.0	
822	30.0	1.0	0.0	1.0	0.0	
823	30.0	1.0	0.0	1.0	0.0	
824	30.0	1.0	0.0	1.0	0.0	
825	30.0	1.0	0.0	1.0	0.0	
826	28.0	1.0	0.0	0.0	1.0	
827	30.0	1.0	0.0	1.0	0.0	
828	30.0	1.0	0.0	1.0	0.0	
829	28.0	1.0	0.0	0.0	1.0	
830	30.0	1.0	0.0	1.0	0.0	
831	28.0	1.0	0.0	0.0	1.0	
832	30.0	1.0	0.0	1.0	0.0	
833	30.0	1.0	0.0	1.0	0.0	
834	28.0	1.0	0.0	0.0	1.0	
835	30.0	1.0	0.0	1.0	0.0	
836	30.0	1.0	0.0	1.0	0.0	
837	28.0	1.0	0.0	0.0	1.0	
838	30.0	1.0	0.0	1.0	0.0	
839	30.0	1.0	0.0	1.0	0.0	
840	30.0	1.0	0.0	1.0	0.0	
841	30.0	1.0	0.0	1.0	0.0	
842	28.0	1.0	1.0	0.0	0.0	
843	28.0	1.0	0.0	0.0	1.0	
844	30.0	1.0	0.0	1.0	0.0	
845	28.0	1.0	0.0	0.0	1.0	
846	30.0	1.0	0.0	1.0	0.0	
847	30.0	1.0	0.0	1.0	0.0	
848	28.0	1.0	1.0	0.0	0.0	
849	28.0	1.0	1.0	0.0	0.0	
850	28.0	1.0	0.0	0.0	1.0	
851	30.0	1.0	0.0	1.0	0.0	
852	28.0	1.0	0.0	0.0	1.0	
853	30.0	1.0	0.0	1.0	0.0	
854	30.0	1.0	0.0	1.0	0.0	
855	30.0	1.0	0.0	1.0	0.0	
856	30.0	1.0	0.0	1.0	0.0	
857	30.0	1.0	0.0	1.0	0.0	
858	30.0	1.0	0.0	1.0	0.0	
859	28.0	1.0	0.0	0.0	1.0	
860	28.0	1.0	0.0	0.0	1.0	
861	30.0	1.0	0.0	1.0	0.0	
862	28.0	1.0	0.0	0.0	1.0	
863	30.0	1.0	0.0	1.0	0.0	
864	28.0	1.0	0.0	0.0	1.0	
865	28.0	1.0	1.0	0.0	0.0	
866	30.0	1.0	0.0	1.0	0.0	
867	30.0	1.0	0.0	1.0	0.0	
868	28.0	1.0	0.0	0.0	1.0	
869	28.0	1.0	0.0	0.0	1.0	
870	30.0	1.0	0.0	1.0	0.0	
871	30.0	1.0	0.0	1.0	0.0	
872	30.0	1.0	0.0	1.0	0.0	
873	28.0	1.0	0.0	0.0	1.0	
874	28.0	1.0	1.0	0.0	0.0	
875	28.0	1.0	1.0	0.0	0.0	
876	28.0	1.0	0.0	0.0	1.0	
877	30.0	1.0	0.0	1.0	0.0	
878	28.0	1.0	1.0	0.0	0.0	
879	30.0	1.0	0.0	1.0	0.0	
880	30.0	1.0	0.0	1.0	0.0	
881	28.0	1.0	0.0	0.0	1.0	
882	30.0	1.0	0.0	1.0	0.0	
883	30.0	1.0	0.0	1.0	0.0	
884	30.0	1.0	0.0	1.0	0.0	
885	30.0	1.0	0.0	1.0	0.0	
886	30.0	1.0	0.0	1.0	0.0	
887	28.0	1.0	1.0	0.0	0.0	
888	30.0	1.0	0.0	1.0	0.0	
889	30.0	1.0	0.0	1.0	0.0	
890	28.0	1.0	0.0	0.0	1.0	
891	28.0	1.0	0.0	0.0	1.0	
892	30.0	1.0	0.0	1.0	0.0	
893	30.0	1.0	0.0	1.0	0.0	
894	30.0	1.0	0.0	1.0	0.0	
895	28.0	1.0	0.0	0.0	1.0	
896	30.0	1.0	0.0	1.0	0.0	
897	28.0	1.0	1.0	0.0	0.0	
898	28.0	1.0	0.0	0.0	1.0	
899	30.0	1.0	0.0	1.0	0.0	
