Sample	cat16-52.trees	cat16-52.sequence05_sequence11_sequence13_sequence02_sequence09_sequence03_sequence10_sequence06_sequence08_sequence15	cat16-52.sequence04_sequence14_sequence11_sequence12_sequence13_sequence16_sequence02_sequence06_sequence08	cat16-52.sequence01_sequence05_sequence04_sequence14_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence06_sequence08_sequence15	cat16-52.sequence05_sequence04_sequence14_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence06_sequence08_sequence15	cat16-52.sequence05_sequence04_sequence14_sequence07_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence06_sequence08_sequence15	cat16-52.sequence01_sequence07	cat16-52.sequence05_sequence04_sequence14_sequence12_sequence16_sequence09_sequence03_sequence10_sequence15	
79	26.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	
80	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
81	28.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	
82	28.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
83	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
84	26.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
85	28.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
86	26.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
87	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
88	26.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
89	26.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
90	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
91	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
92	26.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
93	28.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
94	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
95	26.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
96	26.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
97	28.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
98	26.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
99	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
100	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
101	26.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
102	26.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
103	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
104	30.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
105	28.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
106	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
107	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
108	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
109	28.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
110	26.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
111	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
112	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
113	26.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
114	26.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	
115	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
116	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
117	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
118	26.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
119	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
120	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
121	28.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
122	30.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
123	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
124	30.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
125	26.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
126	26.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
127	26.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
128	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
129	26.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
130	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
131	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
132	26.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
133	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
134	26.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	
135	26.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
136	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
137	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
138	28.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
139	26.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
140	30.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
141	26.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
142	28.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	
143	26.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	
144	26.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
145	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
146	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
147	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
148	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
149	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
150	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
151	28.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
152	26.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	
153	26.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
154	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
155	26.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
156	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
157	26.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
158	28.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
159	26.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
160	26.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
161	26.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
162	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
163	26.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
164	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
165	26.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
166	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
167	26.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
168	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
169	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
170	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
171	26.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
172	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
173	28.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
174	28.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
175	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
176	26.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
177	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
178	26.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
179	26.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
180	26.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	
181	28.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
182	26.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
183	26.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	
184	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
185	26.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
186	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
187	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
188	26.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	
189	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
190	26.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
191	28.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
