Sample	cat16-23.trees	cat16-23.sequence04_sequence10	cat16-23.sequence05_sequence02_sequence09_sequence08	cat16-23.sequence04_sequence03	cat16-23.sequence01_sequence04_sequence14_sequence07_sequence11_sequence12_sequence13_sequence16_sequence02_sequence03_sequence10_sequence06_sequence08_sequence15	cat16-23.sequence03_sequence10	
112	28.0	1.0	1.0	0.0	0.0	0.0	
113	28.0	1.0	1.0	0.0	0.0	0.0	
114	28.0	1.0	1.0	0.0	0.0	0.0	
115	28.0	1.0	1.0	0.0	0.0	0.0	
116	28.0	1.0	1.0	0.0	0.0	0.0	
117	28.0	1.0	1.0	0.0	0.0	0.0	
118	28.0	1.0	1.0	0.0	0.0	0.0	
119	28.0	1.0	1.0	0.0	0.0	0.0	
120	28.0	1.0	1.0	0.0	0.0	0.0	
121	28.0	1.0	1.0	0.0	0.0	0.0	
122	28.0	1.0	1.0	0.0	0.0	0.0	
123	28.0	1.0	1.0	0.0	0.0	0.0	
124	28.0	1.0	1.0	0.0	0.0	0.0	
125	28.0	1.0	1.0	0.0	0.0	0.0	
126	28.0	1.0	1.0	0.0	0.0	0.0	
127	28.0	1.0	1.0	0.0	0.0	0.0	
128	28.0	1.0	1.0	0.0	0.0	0.0	
129	28.0	1.0	1.0	0.0	0.0	0.0	
130	28.0	1.0	1.0	0.0	0.0	0.0	
131	28.0	1.0	1.0	0.0	0.0	0.0	
132	28.0	1.0	1.0	0.0	0.0	0.0	
133	26.0	0.0	1.0	0.0	0.0	1.0	
134	28.0	1.0	1.0	0.0	0.0	0.0	
135	28.0	1.0	1.0	0.0	0.0	0.0	
136	28.0	1.0	1.0	0.0	0.0	0.0	
137	26.0	0.0	1.0	1.0	0.0	0.0	
138	28.0	1.0	1.0	0.0	0.0	0.0	
139	28.0	1.0	1.0	0.0	0.0	0.0	
140	28.0	1.0	1.0	0.0	0.0	0.0	
141	28.0	1.0	1.0	0.0	0.0	0.0	
142	28.0	1.0	1.0	0.0	0.0	0.0	
143	28.0	1.0	1.0	0.0	0.0	0.0	
144	28.0	1.0	1.0	0.0	0.0	0.0	
145	28.0	1.0	1.0	0.0	0.0	0.0	
146	28.0	1.0	1.0	0.0	0.0	0.0	
147	26.0	0.0	1.0	1.0	0.0	0.0	
148	28.0	1.0	1.0	0.0	0.0	0.0	
149	28.0	1.0	1.0	0.0	0.0	0.0	
150	28.0	1.0	1.0	0.0	0.0	0.0	
151	28.0	1.0	1.0	0.0	0.0	0.0	
152	28.0	1.0	1.0	0.0	0.0	0.0	
153	28.0	1.0	1.0	0.0	0.0	0.0	
154	28.0	1.0	1.0	0.0	0.0	0.0	
155	28.0	1.0	1.0	0.0	0.0	0.0	
156	28.0	1.0	1.0	0.0	0.0	0.0	
157	28.0	1.0	1.0	0.0	0.0	0.0	
158	28.0	1.0	1.0	0.0	0.0	0.0	
159	28.0	1.0	1.0	0.0	0.0	0.0	
160	28.0	1.0	1.0	0.0	0.0	0.0	
161	28.0	1.0	1.0	0.0	0.0	0.0	
162	28.0	1.0	1.0	0.0	0.0	0.0	
163	28.0	1.0	1.0	0.0	0.0	0.0	
164	28.0	1.0	1.0	0.0	0.0	0.0	
165	28.0	1.0	1.0	0.0	0.0	0.0	
166	28.0	1.0	1.0	0.0	0.0	0.0	
167	28.0	1.0	1.0	0.0	0.0	0.0	
168	28.0	1.0	1.0	0.0	0.0	0.0	
169	28.0	1.0	1.0	0.0	0.0	0.0	
170	28.0	1.0	1.0	0.0	0.0	0.0	
171	28.0	1.0	1.0	0.0	0.0	0.0	
172	28.0	1.0	1.0	0.0	0.0	0.0	
173	28.0	1.0	1.0	0.0	0.0	0.0	
174	28.0	1.0	0.0	0.0	1.0	0.0	
175	28.0	1.0	1.0	0.0	0.0	0.0	
176	28.0	1.0	1.0	0.0	0.0	0.0	
177	28.0	1.0	1.0	0.0	0.0	0.0	
178	28.0	1.0	1.0	0.0	0.0	0.0	
179	28.0	1.0	1.0	0.0	0.0	0.0	
180	28.0	1.0	1.0	0.0	0.0	0.0	
181	28.0	1.0	1.0	0.0	0.0	0.0	
182	28.0	1.0	1.0	0.0	0.0	0.0	
183	28.0	1.0	1.0	0.0	0.0	0.0	
184	28.0	1.0	1.0	0.0	0.0	0.0	
185	28.0	1.0	1.0	0.0	0.0	0.0	
186	28.0	1.0	1.0	0.0	0.0	0.0	
187	28.0	1.0	1.0	0.0	0.0	0.0	
188	30.0	1.0	0.0	0.0	0.0	0.0	
189	28.0	1.0	0.0	0.0	1.0	0.0	
190	28.0	1.0	1.0	0.0	0.0	0.0	
191	28.0	1.0	1.0	0.0	0.0	0.0	
192	28.0	1.0	1.0	0.0	0.0	0.0	
193	28.0	1.0	1.0	0.0	0.0	0.0	
194	28.0	1.0	1.0	0.0	0.0	0.0	
195	28.0	1.0	1.0	0.0	0.0	0.0	
196	28.0	1.0	1.0	0.0	0.0	0.0	
197	28.0	1.0	1.0	0.0	0.0	0.0	
198	26.0	0.0	1.0	1.0	0.0	0.0	
199	28.0	1.0	1.0	0.0	0.0	0.0	
200	26.0	0.0	1.0	0.0	0.0	1.0	
201	28.0	1.0	1.0	0.0	0.0	0.0	
202	28.0	1.0	1.0	0.0	0.0	0.0	
203	28.0	1.0	1.0	0.0	0.0	0.0	
204	28.0	1.0	1.0	0.0	0.0	0.0	
205	28.0	1.0	1.0	0.0	0.0	0.0	
206	28.0	1.0	1.0	0.0	0.0	0.0	
207	28.0	1.0	1.0	0.0	0.0	0.0	
208	28.0	1.0	1.0	0.0	0.0	0.0	
209	28.0	1.0	1.0	0.0	0.0	0.0	
210	28.0	1.0	1.0	0.0	0.0	0.0	
211	28.0	1.0	1.0	0.0	0.0	0.0	
212	28.0	1.0	1.0	0.0	0.0	0.0	
213	28.0	1.0	1.0	0.0	0.0	0.0	
214	28.0	1.0	1.0	0.0	0.0	0.0	
215	28.0	1.0	1.0	0.0	0.0	0.0	
216	26.0	0.0	1.0	0.0	0.0	1.0	
217	28.0	1.0	1.0	0.0	0.0	0.0	
218	28.0	1.0	1.0	0.0	0.0	0.0	
219	28.0	1.0	1.0	0.0	0.0	0.0	
220	28.0	1.0	1.0	0.0	0.0	0.0	
221	28.0	1.0	1.0	0.0	0.0	0.0	
