Sample	cat16-57.trees	cat16-57.sequence04_sequence10	cat16-57.sequence03_sequence06	cat16-57.sequence01_sequence05_sequence04_sequence14_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence06_sequence08_sequence15	cat16-57.sequence16_sequence06	cat16-57.sequence16_sequence03	cat16-57.sequence05_sequence04_sequence09_sequence10	cat16-57.sequence07_sequence11_sequence16_sequence02_sequence03_sequence06	cat16-57.sequence01_sequence05_sequence04_sequence14_sequence07_sequence12_sequence13_sequence09_sequence10_sequence08_sequence15	
74	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
75	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
76	30.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	
77	28.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	
78	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
79	28.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	
80	28.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
81	28.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
82	30.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	
83	30.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	
84	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
85	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
86	26.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	
87	26.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
88	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
89	28.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	
90	30.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	
91	30.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	
92	28.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
93	28.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	
94	26.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	
95	26.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	
96	26.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	
97	26.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	
98	28.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	
99	26.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
100	28.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	
101	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
102	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
103	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
104	26.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	
105	26.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	
106	26.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	
107	28.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	
108	28.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	
109	26.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
110	28.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	
111	26.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
112	30.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	
113	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
114	28.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	
115	26.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	
116	26.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	
117	30.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	
118	26.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	
119	28.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	
120	28.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	
121	26.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
122	28.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	
123	26.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
124	28.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	
125	28.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	
126	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
127	26.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	
128	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
129	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
130	26.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	
131	28.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
132	30.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	
133	28.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	
134	28.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	
135	26.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
136	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
137	30.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	
138	26.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	
139	30.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	
140	26.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	
141	28.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	
142	26.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
143	26.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	
144	28.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	
145	26.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
146	26.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
147	26.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	
148	26.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
149	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
150	30.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	
151	26.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
152	30.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	
153	30.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	
154	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
155	28.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
156	28.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
157	24.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	
158	30.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	
159	26.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	
160	26.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
161	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
162	26.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
163	26.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
164	26.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	
165	30.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	
166	28.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	
167	28.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	
168	28.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	
169	28.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	
170	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
171	26.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
172	28.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	
173	28.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	
174	26.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
175	26.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
176	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
177	30.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	
178	28.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	
179	28.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	
180	28.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	
181	26.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	
182	26.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
183	28.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
