Sample	cat16-3.trees	cat16-3.sequence04_sequence07_sequence13_sequence10	cat16-3.sequence01_sequence14_sequence09	cat16-3.sequence05_sequence04_sequence11_sequence16_sequence02_sequence03_sequence15	cat16-3.sequence05_sequence04_sequence07_sequence11_sequence12_sequence13_sequence16_sequence02_sequence03_sequence10_sequence06_sequence08_sequence15	cat16-3.sequence01_sequence14_sequence12_sequence09_sequence06_sequence08	cat16-3.sequence01_sequence05_sequence04_sequence14_sequence07_sequence11_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence15	cat16-3.sequence05_sequence07_sequence11_sequence13_sequence16_sequence02_sequence03_sequence10_sequence15	cat16-3.sequence05_sequence11_sequence16_sequence02_sequence15	cat16-3.sequence02_sequence03_sequence15	cat16-3.sequence05_sequence11_sequence16_sequence03	
59	24.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
60	24.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
61	24.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
62	24.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
63	26.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	
64	28.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	
65	26.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	
66	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	
67	24.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
68	24.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	
69	26.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	
70	24.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	
71	26.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	
72	24.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
73	24.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
74	24.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	
75	28.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	
76	28.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	
77	24.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
78	28.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
79	24.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
80	24.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
81	24.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	
82	24.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	
83	26.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	
84	24.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	
85	26.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	
86	24.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
87	24.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
88	24.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	
89	26.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	
90	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	
91	26.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	
92	24.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	
