Sample	cat16-3.trees	cat16-3.sequence04_sequence07_sequence13_sequence10	cat16-3.sequence01_sequence14_sequence09	cat16-3.sequence05_sequence04_sequence11_sequence16_sequence02_sequence03_sequence15	cat16-3.sequence05_sequence04_sequence07_sequence11_sequence12_sequence13_sequence16_sequence02_sequence03_sequence10_sequence06_sequence08_sequence15	cat16-3.sequence01_sequence14_sequence12_sequence09_sequence06_sequence08	cat16-3.sequence01_sequence05_sequence04_sequence14_sequence07_sequence11_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence15	cat16-3.sequence05_sequence07_sequence11_sequence13_sequence16_sequence02_sequence03_sequence10_sequence15	cat16-3.sequence05_sequence11_sequence16_sequence02_sequence15	cat16-3.sequence02_sequence03_sequence15	cat16-3.sequence05_sequence11_sequence16_sequence03	
887	26.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	
888	24.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	
889	24.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	
890	24.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	
891	24.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
892	24.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	
893	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	
894	26.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	
895	24.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	
896	24.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
897	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	
898	26.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	
899	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	
900	24.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
901	24.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	
902	24.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	
903	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	
904	24.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	
905	24.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	
906	24.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	
907	24.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	
908	24.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
909	26.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	
910	24.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	
911	24.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	
912	24.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
913	24.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	
914	24.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
915	26.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	
916	26.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	
917	24.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
918	24.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	
919	26.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	
920	24.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
921	26.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	
922	26.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	
923	24.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
924	24.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
925	26.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	
926	24.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
927	26.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	
928	24.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	
929	26.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	
930	28.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	
931	26.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	
932	26.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	
933	26.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	
934	24.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
935	26.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	
936	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	
937	26.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	
938	24.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	
939	26.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	
940	26.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	
941	24.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	
942	28.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	
943	24.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
944	26.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	
945	28.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
946	26.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	
947	24.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	
948	24.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
949	24.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
950	24.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
951	24.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	
952	24.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
953	24.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	
954	24.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	
955	24.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	
956	28.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	
957	28.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	
958	26.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	
959	26.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	
960	26.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	
961	26.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	
962	26.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	
963	28.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	
964	26.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	
965	28.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
966	26.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	
967	26.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	
968	24.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	
969	24.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	
970	24.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	
971	24.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	
972	26.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	
973	28.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
974	30.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	
975	24.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
976	24.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	
977	24.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	
978	24.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
979	24.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
980	26.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	
981	24.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	
982	24.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	
983	26.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	
984	26.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	
985	28.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	
986	24.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
987	24.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
988	24.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	
989	24.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
990	24.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	
991	24.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
992	24.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
993	30.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	
994	28.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	
995	28.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	
996	26.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	
997	26.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	
998	26.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
999	26.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	
1000	28.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	
1001	28.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	
1002	26.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	
1003	24.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
1004	26.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	
1005	28.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	
1006	28.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	
1007	26.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
1008	26.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	
1009	24.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
1010	24.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	
1011	24.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
1012	24.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	
1013	24.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	
1014	24.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
1015	26.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	
1016	28.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	
1017	26.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	
1018	28.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	
1019	26.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	
1020	26.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	
1021	28.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	
1022	28.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	
1023	30.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	
1024	26.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	
1025	26.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
1026	24.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
1027	26.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	
1028	24.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
1029	26.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	
1030	26.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	
1031	26.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	
1032	26.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	
1033	26.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	
1034	24.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
1035	26.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	
1036	30.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	
1037	26.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	
1038	26.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	
1039	26.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	
1040	24.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
1041	30.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	
1042	28.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	
1043	26.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	
1044	24.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
1045	24.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
1046	24.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
1047	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	
1048	28.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	
1049	30.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	
1050	24.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
1051	26.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	
1052	26.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	
1053	28.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	
1054	24.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	
1055	26.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	
1056	26.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	
1057	28.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	
1058	26.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	
1059	24.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
1060	24.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
1061	24.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
1062	26.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	
1063	24.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	
1064	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	
1065	26.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	
1066	24.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
1067	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	
1068	26.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	
1069	28.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	
1070	24.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	
1071	26.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	
1072	24.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	
1073	24.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
1074	26.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	
1075	26.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	
1076	24.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	
1077	26.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	
1078	26.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	
1079	24.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	
1080	28.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	
1081	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	
1082	26.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	
1083	24.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	
1084	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	
1085	26.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	
1086	24.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
1087	24.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
1088	24.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
1089	24.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	
1090	24.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
1091	24.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	
1092	24.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	
1093	24.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	
1094	24.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	
1095	24.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
1096	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	
1097	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	
1098	26.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	
1099	24.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	
1100	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	
1101	24.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
1102	28.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	
1103	26.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	
1104	24.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
1105	24.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
1106	24.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
1107	26.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	
1108	24.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
1109	24.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	
1110	24.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
1111	30.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	
1112	28.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	
1113	26.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	
1114	26.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	
1115	24.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
1116	24.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	
1117	24.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
1118	26.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	
1119	26.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	
1120	24.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
1121	24.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
1122	26.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	
1123	24.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	
1124	28.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	
1125	24.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
1126	24.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	
1127	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	
1128	24.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	
1129	24.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
1130	24.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	
1131	24.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	
1132	24.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	
1133	24.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
1134	24.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
1135	24.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	
1136	24.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
1137	24.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
1138	26.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	
1139	24.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	
1140	24.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
1141	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	
1142	26.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	
1143	24.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	
1144	24.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
1145	26.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	
1146	26.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	
1147	26.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	
1148	24.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	
1149	24.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	
1150	26.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	
1151	24.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
1152	26.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	
1153	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	
1154	30.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	
1155	26.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	
1156	24.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
1157	30.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	
1158	24.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
1159	24.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	
1160	26.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	
1161	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	
1162	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	
1163	24.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
1164	24.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	
1165	26.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	
1166	26.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	
1167	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	
1168	26.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	
1169	26.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	
1170	26.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	
1171	30.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	
