Sample	cat16-27.trees	cat16-27.sequence04_sequence09_sequence10	cat16-27.sequence05_sequence04_sequence14_sequence02_sequence09_sequence10	cat16-27.sequence05_sequence04_sequence16_sequence02_sequence09_sequence10	cat16-27.sequence01_sequence07_sequence03_sequence08	cat16-27.sequence01_sequence07_sequence11_sequence12_sequence13_sequence03_sequence06_sequence08_sequence15	cat16-27.sequence14_sequence16	cat16-27.sequence01_sequence07_sequence12_sequence03_sequence06	
84	30.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	
85	30.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	
86	30.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	
87	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
88	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
89	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
90	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
91	28.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
92	28.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
93	30.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	
94	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
95	28.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
96	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
97	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
98	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
99	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
100	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
101	30.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	
102	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
103	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
104	30.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	
105	28.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
106	28.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
107	28.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	
108	26.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	
109	30.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	
110	30.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	
111	30.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	
112	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
113	30.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	
114	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
115	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
116	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
117	30.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	
118	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
119	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
120	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
121	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
122	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
123	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
124	28.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	
