Sample	cat16-92.trees	cat16-92.sequence05_sequence04_sequence14_sequence11_sequence12_sequence16_sequence02_sequence03_sequence06	cat16-92.sequence04_sequence14_sequence02_sequence03_sequence10_sequence06	cat16-92.sequence05_sequence11_sequence12_sequence13_sequence16_sequence09_sequence08_sequence15	cat16-92.sequence01_sequence05_sequence04_sequence14_sequence07_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence06_sequence08_sequence15	cat16-92.sequence05_sequence04_sequence14_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence06_sequence08_sequence15	cat16-92.sequence05_sequence04_sequence14_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence06_sequence08_sequence15	cat16-92.sequence01_sequence07_sequence10	cat16-92.sequence04_sequence14_sequence13_sequence02_sequence09_sequence03_sequence06_sequence08_sequence15	
70	28.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
71	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
72	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
73	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
74	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
75	28.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
76	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
77	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
78	28.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
79	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
80	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
81	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
82	28.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
83	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
84	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
85	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
86	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
87	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
88	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
89	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
90	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
91	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
92	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
93	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
94	28.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
95	28.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
96	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
97	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
98	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
99	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
100	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
101	28.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
102	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
103	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
104	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
105	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
106	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
107	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
108	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
109	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
110	28.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
111	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
112	28.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
113	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
114	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
115	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
116	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
117	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
118	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
119	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
120	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
121	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
122	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
123	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
124	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
125	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
126	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
127	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
128	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
129	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
130	26.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
131	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
132	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
133	28.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
134	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
135	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
136	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
137	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
138	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
139	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
140	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
141	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
142	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
143	28.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
144	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
145	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
146	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
147	28.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
148	26.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
149	26.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
150	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
151	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
152	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
153	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
154	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
155	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
156	28.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
157	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
