Sample	cat16-41.trees	cat16-41.sequence09_sequence10	cat16-41.sequence16_sequence09	cat16-41.sequence16_sequence10	
165	28.0	0.0	0.0	1.0	
166	28.0	0.0	0.0	1.0	
167	28.0	0.0	0.0	1.0	
168	28.0	1.0	0.0	0.0	
169	28.0	0.0	0.0	1.0	
170	30.0	0.0	1.0	0.0	
171	30.0	0.0	1.0	0.0	
172	28.0	1.0	0.0	0.0	
173	28.0	0.0	0.0	1.0	
174	30.0	0.0	1.0	0.0	
175	28.0	1.0	0.0	0.0	
176	30.0	0.0	1.0	0.0	
177	30.0	0.0	1.0	0.0	
178	28.0	0.0	0.0	1.0	
179	28.0	0.0	0.0	1.0	
180	28.0	0.0	0.0	1.0	
181	28.0	0.0	0.0	1.0	
182	28.0	0.0	0.0	1.0	
183	28.0	0.0	0.0	1.0	
184	28.0	0.0	0.0	1.0	
185	28.0	1.0	0.0	0.0	
186	28.0	1.0	0.0	0.0	
187	28.0	1.0	0.0	0.0	
188	30.0	0.0	1.0	0.0	
189	28.0	1.0	0.0	0.0	
190	28.0	1.0	0.0	0.0	
191	28.0	0.0	0.0	1.0	
192	28.0	0.0	0.0	1.0	
193	28.0	0.0	0.0	1.0	
194	30.0	0.0	1.0	0.0	
195	28.0	1.0	0.0	0.0	
196	28.0	0.0	0.0	1.0	
197	28.0	0.0	0.0	1.0	
198	28.0	1.0	0.0	0.0	
199	28.0	0.0	0.0	1.0	
200	30.0	0.0	1.0	0.0	
201	28.0	1.0	0.0	0.0	
202	28.0	1.0	0.0	0.0	
203	30.0	0.0	1.0	0.0	
204	28.0	0.0	0.0	1.0	
205	28.0	0.0	0.0	1.0	
206	28.0	0.0	0.0	1.0	
207	28.0	1.0	0.0	0.0	
208	28.0	1.0	0.0	0.0	
209	28.0	1.0	0.0	0.0	
210	28.0	0.0	0.0	1.0	
211	28.0	0.0	0.0	1.0	
212	28.0	1.0	0.0	0.0	
213	28.0	1.0	0.0	0.0	
214	28.0	0.0	0.0	1.0	
215	28.0	0.0	0.0	1.0	
216	30.0	0.0	1.0	0.0	
217	28.0	1.0	0.0	0.0	
218	28.0	1.0	0.0	0.0	
219	28.0	0.0	0.0	1.0	
220	28.0	1.0	0.0	0.0	
221	28.0	1.0	0.0	0.0	
222	28.0	0.0	0.0	1.0	
223	30.0	0.0	1.0	0.0	
224	30.0	0.0	1.0	0.0	
225	28.0	1.0	0.0	0.0	
226	30.0	0.0	1.0	0.0	
227	28.0	1.0	0.0	0.0	
228	30.0	0.0	1.0	0.0	
229	28.0	0.0	0.0	1.0	
230	28.0	0.0	0.0	1.0	
231	30.0	0.0	1.0	0.0	
232	28.0	0.0	0.0	1.0	
233	28.0	0.0	0.0	1.0	
234	28.0	1.0	0.0	0.0	
235	30.0	0.0	1.0	0.0	
236	28.0	0.0	0.0	1.0	
237	30.0	0.0	1.0	0.0	
238	28.0	0.0	0.0	1.0	
239	28.0	1.0	0.0	0.0	
240	28.0	1.0	0.0	0.0	
241	30.0	0.0	1.0	0.0	
242	28.0	1.0	0.0	0.0	
243	28.0	0.0	0.0	1.0	
244	28.0	1.0	0.0	0.0	
245	28.0	1.0	0.0	0.0	
246	28.0	0.0	0.0	1.0	
247	28.0	0.0	0.0	1.0	
248	28.0	0.0	0.0	1.0	
249	30.0	0.0	1.0	0.0	
250	28.0	0.0	0.0	1.0	
251	28.0	1.0	0.0	0.0	
252	28.0	0.0	0.0	1.0	
253	28.0	1.0	0.0	0.0	
254	28.0	0.0	0.0	1.0	
255	30.0	0.0	1.0	0.0	
256	30.0	0.0	1.0	0.0	
257	28.0	1.0	0.0	0.0	
258	28.0	1.0	0.0	0.0	
259	28.0	1.0	0.0	0.0	
260	28.0	0.0	0.0	1.0	
261	28.0	0.0	0.0	1.0	
262	30.0	0.0	1.0	0.0	
263	30.0	0.0	1.0	0.0	
264	30.0	0.0	1.0	0.0	
265	28.0	0.0	0.0	1.0	
266	28.0	1.0	0.0	0.0	
267	28.0	1.0	0.0	0.0	
268	30.0	0.0	1.0	0.0	
269	30.0	0.0	1.0	0.0	
270	28.0	0.0	0.0	1.0	
271	28.0	0.0	0.0	1.0	
272	28.0	0.0	0.0	1.0	
273	28.0	0.0	0.0	1.0	
274	28.0	0.0	0.0	1.0	
275	28.0	0.0	0.0	1.0	
276	30.0	0.0	1.0	0.0	
277	28.0	1.0	0.0	0.0	
278	28.0	0.0	0.0	1.0	
279	28.0	0.0	0.0	1.0	
280	28.0	1.0	0.0	0.0	
281	28.0	0.0	0.0	1.0	
282	28.0	0.0	0.0	1.0	
283	30.0	0.0	1.0	0.0	
284	28.0	1.0	0.0	0.0	
285	28.0	1.0	0.0	0.0	
286	28.0	0.0	0.0	1.0	
287	28.0	0.0	0.0	1.0	
288	28.0	0.0	0.0	1.0	
289	30.0	0.0	1.0	0.0	
290	28.0	1.0	0.0	0.0	
291	30.0	0.0	1.0	0.0	
292	28.0	0.0	0.0	1.0	
293	28.0	0.0	0.0	1.0	
294	28.0	0.0	0.0	1.0	
295	28.0	0.0	0.0	1.0	
296	28.0	1.0	0.0	0.0	
297	28.0	0.0	0.0	1.0	
298	28.0	0.0	0.0	1.0	
299	30.0	0.0	1.0	0.0	
300	28.0	1.0	0.0	0.0	
301	28.0	0.0	0.0	1.0	
302	28.0	0.0	0.0	1.0	
303	30.0	0.0	1.0	0.0	
304	28.0	1.0	0.0	0.0	
305	28.0	1.0	0.0	0.0	
306	28.0	1.0	0.0	0.0	
307	28.0	1.0	0.0	0.0	
308	28.0	0.0	0.0	1.0	
309	28.0	1.0	0.0	0.0	
310	28.0	1.0	0.0	0.0	
311	30.0	0.0	1.0	0.0	
312	28.0	1.0	0.0	0.0	
313	28.0	1.0	0.0	0.0	
314	28.0	0.0	0.0	1.0	
315	28.0	1.0	0.0	0.0	
316	28.0	1.0	0.0	0.0	
317	28.0	0.0	0.0	1.0	
318	28.0	1.0	0.0	0.0	
319	28.0	0.0	0.0	1.0	
320	28.0	0.0	0.0	1.0	
