Sample	cat16-41.trees	cat16-41.sequence09_sequence10	cat16-41.sequence16_sequence09	cat16-41.sequence16_sequence10	
717	28.0	0.0	0.0	1.0	
718	30.0	0.0	1.0	0.0	
719	28.0	1.0	0.0	0.0	
720	30.0	0.0	1.0	0.0	
721	28.0	0.0	0.0	1.0	
722	28.0	0.0	0.0	1.0	
723	28.0	1.0	0.0	0.0	
724	28.0	1.0	0.0	0.0	
725	30.0	0.0	1.0	0.0	
726	28.0	1.0	0.0	0.0	
727	28.0	0.0	0.0	1.0	
728	28.0	0.0	0.0	1.0	
729	28.0	1.0	0.0	0.0	
730	28.0	0.0	0.0	1.0	
731	28.0	0.0	0.0	1.0	
732	28.0	0.0	0.0	1.0	
733	28.0	0.0	0.0	1.0	
734	28.0	0.0	0.0	1.0	
735	28.0	0.0	0.0	1.0	
736	28.0	1.0	0.0	0.0	
737	28.0	1.0	0.0	0.0	
738	28.0	1.0	0.0	0.0	
739	28.0	0.0	0.0	1.0	
740	28.0	0.0	0.0	1.0	
741	30.0	0.0	1.0	0.0	
742	28.0	0.0	0.0	1.0	
743	28.0	0.0	0.0	1.0	
744	28.0	1.0	0.0	0.0	
745	30.0	0.0	1.0	0.0	
746	28.0	1.0	0.0	0.0	
747	28.0	1.0	0.0	0.0	
748	28.0	1.0	0.0	0.0	
749	28.0	0.0	0.0	1.0	
750	28.0	0.0	0.0	1.0	
751	28.0	1.0	0.0	0.0	
752	28.0	1.0	0.0	0.0	
753	28.0	1.0	0.0	0.0	
754	28.0	0.0	0.0	1.0	
755	28.0	1.0	0.0	0.0	
756	30.0	0.0	1.0	0.0	
757	28.0	0.0	0.0	1.0	
758	28.0	1.0	0.0	0.0	
759	28.0	0.0	0.0	1.0	
760	28.0	0.0	0.0	1.0	
761	28.0	1.0	0.0	0.0	
762	30.0	0.0	1.0	0.0	
763	28.0	1.0	0.0	0.0	
764	28.0	1.0	0.0	0.0	
765	28.0	1.0	0.0	0.0	
766	30.0	0.0	1.0	0.0	
767	30.0	0.0	1.0	0.0	
768	28.0	0.0	0.0	1.0	
769	28.0	1.0	0.0	0.0	
770	28.0	1.0	0.0	0.0	
771	30.0	0.0	1.0	0.0	
772	28.0	0.0	0.0	1.0	
773	28.0	1.0	0.0	0.0	
774	28.0	0.0	0.0	1.0	
775	28.0	1.0	0.0	0.0	
776	28.0	0.0	0.0	1.0	
777	30.0	0.0	1.0	0.0	
778	30.0	0.0	1.0	0.0	
779	28.0	0.0	0.0	1.0	
780	28.0	1.0	0.0	0.0	
781	28.0	1.0	0.0	0.0	
782	28.0	1.0	0.0	0.0	
783	28.0	1.0	0.0	0.0	
784	28.0	0.0	0.0	1.0	
785	30.0	0.0	1.0	0.0	
786	28.0	0.0	0.0	1.0	
787	30.0	0.0	1.0	0.0	
788	28.0	1.0	0.0	0.0	
789	28.0	1.0	0.0	0.0	
790	28.0	1.0	0.0	0.0	
791	28.0	1.0	0.0	0.0	
792	28.0	1.0	0.0	0.0	
793	28.0	0.0	0.0	1.0	
794	28.0	1.0	0.0	0.0	
795	28.0	0.0	0.0	1.0	
796	28.0	0.0	0.0	1.0	
797	28.0	0.0	0.0	1.0	
798	28.0	0.0	0.0	1.0	
799	30.0	0.0	1.0	0.0	
800	28.0	0.0	0.0	1.0	
801	28.0	0.0	0.0	1.0	
802	28.0	0.0	0.0	1.0	
803	28.0	0.0	0.0	1.0	
804	28.0	1.0	0.0	0.0	
805	28.0	0.0	0.0	1.0	
806	28.0	1.0	0.0	0.0	
807	30.0	0.0	1.0	0.0	
808	28.0	1.0	0.0	0.0	
809	28.0	0.0	0.0	1.0	
810	28.0	0.0	0.0	1.0	
811	30.0	0.0	1.0	0.0	
812	28.0	0.0	0.0	1.0	
813	28.0	1.0	0.0	0.0	
814	30.0	0.0	1.0	0.0	
815	30.0	0.0	1.0	0.0	
816	28.0	0.0	0.0	1.0	
817	28.0	0.0	0.0	1.0	
818	28.0	1.0	0.0	0.0	
819	28.0	1.0	0.0	0.0	
820	28.0	1.0	0.0	0.0	
821	28.0	0.0	0.0	1.0	
822	28.0	1.0	0.0	0.0	
823	28.0	1.0	0.0	0.0	
824	28.0	1.0	0.0	0.0	
825	28.0	0.0	0.0	1.0	
826	28.0	1.0	0.0	0.0	
827	28.0	0.0	0.0	1.0	
828	28.0	0.0	0.0	1.0	
829	28.0	0.0	0.0	1.0	
830	28.0	1.0	0.0	0.0	
831	28.0	1.0	0.0	0.0	
832	28.0	0.0	0.0	1.0	
833	28.0	1.0	0.0	0.0	
834	28.0	0.0	0.0	1.0	
835	28.0	0.0	0.0	1.0	
836	30.0	0.0	1.0	0.0	
837	28.0	1.0	0.0	0.0	
838	30.0	0.0	1.0	0.0	
839	28.0	0.0	0.0	1.0	
840	28.0	1.0	0.0	0.0	
841	28.0	0.0	0.0	1.0	
842	30.0	0.0	1.0	0.0	
843	28.0	1.0	0.0	0.0	
844	28.0	1.0	0.0	0.0	
845	30.0	0.0	1.0	0.0	
846	28.0	1.0	0.0	0.0	
847	28.0	1.0	0.0	0.0	
848	28.0	0.0	0.0	1.0	
849	28.0	1.0	0.0	0.0	
850	30.0	0.0	1.0	0.0	
851	30.0	0.0	1.0	0.0	
852	28.0	1.0	0.0	0.0	
853	30.0	0.0	1.0	0.0	
854	28.0	0.0	0.0	1.0	
855	28.0	0.0	0.0	1.0	
856	28.0	0.0	0.0	1.0	
857	28.0	0.0	0.0	1.0	
858	28.0	0.0	0.0	1.0	
859	30.0	0.0	1.0	0.0	
860	28.0	0.0	0.0	1.0	
861	28.0	0.0	0.0	1.0	
862	28.0	1.0	0.0	0.0	
863	28.0	1.0	0.0	0.0	
864	30.0	0.0	1.0	0.0	
865	28.0	0.0	0.0	1.0	
866	28.0	1.0	0.0	0.0	
867	28.0	0.0	0.0	1.0	
868	28.0	0.0	0.0	1.0	
869	28.0	1.0	0.0	0.0	
870	28.0	1.0	0.0	0.0	
871	28.0	0.0	0.0	1.0	
872	28.0	0.0	0.0	1.0	
873	28.0	1.0	0.0	0.0	
874	28.0	1.0	0.0	0.0	
875	28.0	0.0	0.0	1.0	
876	28.0	1.0	0.0	0.0	
877	28.0	0.0	0.0	1.0	
878	28.0	0.0	0.0	1.0	
879	28.0	1.0	0.0	0.0	
880	28.0	0.0	0.0	1.0	
881	28.0	0.0	0.0	1.0	
882	28.0	0.0	0.0	1.0	
883	28.0	1.0	0.0	0.0	
884	30.0	0.0	1.0	0.0	
885	28.0	1.0	0.0	0.0	
886	30.0	0.0	1.0	0.0	
887	28.0	1.0	0.0	0.0	
888	28.0	0.0	0.0	1.0	
889	28.0	0.0	0.0	1.0	
890	30.0	0.0	1.0	0.0	
891	28.0	1.0	0.0	0.0	
892	28.0	0.0	0.0	1.0	
893	28.0	0.0	0.0	1.0	
894	28.0	1.0	0.0	0.0	
895	28.0	0.0	0.0	1.0	
896	28.0	0.0	0.0	1.0	
897	28.0	1.0	0.0	0.0	
898	28.0	0.0	0.0	1.0	
899	28.0	0.0	0.0	1.0	
900	30.0	0.0	1.0	0.0	
901	28.0	0.0	0.0	1.0	
902	28.0	0.0	0.0	1.0	
903	28.0	0.0	0.0	1.0	
904	28.0	0.0	0.0	1.0	
905	28.0	0.0	0.0	1.0	
906	28.0	0.0	0.0	1.0	
907	28.0	1.0	0.0	0.0	
908	28.0	0.0	0.0	1.0	
909	28.0	0.0	0.0	1.0	
910	28.0	1.0	0.0	0.0	
911	28.0	1.0	0.0	0.0	
912	28.0	1.0	0.0	0.0	
913	28.0	0.0	0.0	1.0	
914	28.0	0.0	0.0	1.0	
915	28.0	0.0	0.0	1.0	
916	28.0	0.0	0.0	1.0	
917	28.0	0.0	0.0	1.0	
918	28.0	0.0	0.0	1.0	
919	28.0	1.0	0.0	0.0	
920	28.0	0.0	0.0	1.0	
921	28.0	1.0	0.0	0.0	
922	28.0	1.0	0.0	0.0	
923	30.0	0.0	1.0	0.0	
924	28.0	1.0	0.0	0.0	
925	30.0	0.0	1.0	0.0	
926	28.0	1.0	0.0	0.0	
927	28.0	0.0	0.0	1.0	
928	28.0	1.0	0.0	0.0	
929	30.0	0.0	1.0	0.0	
930	28.0	1.0	0.0	0.0	
931	28.0	0.0	0.0	1.0	
932	28.0	1.0	0.0	0.0	
933	28.0	1.0	0.0	0.0	
934	28.0	1.0	0.0	0.0	
935	28.0	0.0	0.0	1.0	
936	30.0	0.0	1.0	0.0	
937	28.0	1.0	0.0	0.0	
938	28.0	0.0	0.0	1.0	
939	28.0	1.0	0.0	0.0	
940	28.0	1.0	0.0	0.0	
941	30.0	0.0	1.0	0.0	
942	30.0	0.0	1.0	0.0	
943	28.0	1.0	0.0	0.0	
944	28.0	0.0	0.0	1.0	
945	28.0	0.0	0.0	1.0	
946	28.0	0.0	0.0	1.0	
947	28.0	0.0	0.0	1.0	
948	28.0	1.0	0.0	0.0	
949	28.0	0.0	0.0	1.0	
950	28.0	0.0	0.0	1.0	
951	28.0	1.0	0.0	0.0	
952	28.0	1.0	0.0	0.0	
953	28.0	0.0	0.0	1.0	
954	28.0	0.0	0.0	1.0	
955	28.0	1.0	0.0	0.0	
956	30.0	0.0	1.0	0.0	
957	30.0	0.0	1.0	0.0	
958	30.0	0.0	1.0	0.0	
959	28.0	0.0	0.0	1.0	
960	28.0	0.0	0.0	1.0	
961	28.0	0.0	0.0	1.0	
962	28.0	0.0	0.0	1.0	
963	28.0	1.0	0.0	0.0	
964	28.0	1.0	0.0	0.0	
965	28.0	0.0	0.0	1.0	
966	28.0	0.0	0.0	1.0	
967	28.0	0.0	0.0	1.0	
968	28.0	0.0	0.0	1.0	
969	28.0	1.0	0.0	0.0	
970	28.0	1.0	0.0	0.0	
971	28.0	1.0	0.0	0.0	
972	28.0	0.0	0.0	1.0	
973	30.0	0.0	1.0	0.0	
974	28.0	1.0	0.0	0.0	
975	28.0	0.0	0.0	1.0	
976	28.0	0.0	0.0	1.0	
977	28.0	1.0	0.0	0.0	
978	28.0	0.0	0.0	1.0	
979	28.0	1.0	0.0	0.0	
980	28.0	1.0	0.0	0.0	
981	28.0	1.0	0.0	0.0	
982	28.0	0.0	0.0	1.0	
983	30.0	0.0	1.0	0.0	
984	28.0	1.0	0.0	0.0	
985	28.0	0.0	0.0	1.0	
986	28.0	0.0	0.0	1.0	
987	28.0	1.0	0.0	0.0	
988	28.0	0.0	0.0	1.0	
989	28.0	0.0	0.0	1.0	
990	28.0	0.0	0.0	1.0	
991	30.0	0.0	1.0	0.0	
992	28.0	0.0	0.0	1.0	
993	30.0	0.0	1.0	0.0	
994	28.0	0.0	0.0	1.0	
995	28.0	0.0	0.0	1.0	
996	28.0	1.0	0.0	0.0	
997	28.0	0.0	0.0	1.0	
998	28.0	1.0	0.0	0.0	
999	28.0	0.0	0.0	1.0	
1000	28.0	1.0	0.0	0.0	
1001	30.0	0.0	1.0	0.0	
1002	30.0	0.0	1.0	0.0	
1003	28.0	1.0	0.0	0.0	
1004	28.0	1.0	0.0	0.0	
1005	28.0	1.0	0.0	0.0	
1006	28.0	0.0	0.0	1.0	
1007	28.0	0.0	0.0	1.0	
1008	28.0	0.0	0.0	1.0	
1009	28.0	1.0	0.0	0.0	
1010	30.0	0.0	1.0	0.0	
1011	28.0	1.0	0.0	0.0	
1012	30.0	0.0	1.0	0.0	
1013	28.0	0.0	0.0	1.0	
1014	28.0	1.0	0.0	0.0	
1015	28.0	1.0	0.0	0.0	
1016	30.0	0.0	1.0	0.0	
1017	28.0	1.0	0.0	0.0	
1018	28.0	0.0	0.0	1.0	
1019	28.0	0.0	0.0	1.0	
1020	28.0	1.0	0.0	0.0	
1021	28.0	1.0	0.0	0.0	
1022	28.0	1.0	0.0	0.0	
1023	30.0	0.0	1.0	0.0	
1024	30.0	0.0	1.0	0.0	
1025	28.0	1.0	0.0	0.0	
1026	28.0	1.0	0.0	0.0	
1027	28.0	1.0	0.0	0.0	
1028	28.0	1.0	0.0	0.0	
1029	28.0	0.0	0.0	1.0	
1030	30.0	0.0	1.0	0.0	
1031	28.0	0.0	0.0	1.0	
1032	30.0	0.0	1.0	0.0	
1033	28.0	1.0	0.0	0.0	
1034	28.0	0.0	0.0	1.0	
1035	28.0	0.0	0.0	1.0	
1036	28.0	0.0	0.0	1.0	
1037	28.0	0.0	0.0	1.0	
1038	28.0	1.0	0.0	0.0	
1039	30.0	0.0	1.0	0.0	
1040	28.0	1.0	0.0	0.0	
1041	28.0	0.0	0.0	1.0	
1042	30.0	0.0	1.0	0.0	
1043	28.0	0.0	0.0	1.0	
1044	28.0	1.0	0.0	0.0	
1045	28.0	1.0	0.0	0.0	
1046	28.0	0.0	0.0	1.0	
1047	28.0	0.0	0.0	1.0	
1048	28.0	0.0	0.0	1.0	
1049	28.0	1.0	0.0	0.0	
1050	30.0	0.0	1.0	0.0	
1051	28.0	0.0	0.0	1.0	
1052	28.0	0.0	0.0	1.0	
1053	28.0	1.0	0.0	0.0	
1054	30.0	0.0	1.0	0.0	
1055	28.0	0.0	0.0	1.0	
1056	28.0	0.0	0.0	1.0	
1057	28.0	1.0	0.0	0.0	
1058	28.0	1.0	0.0	0.0	
1059	28.0	0.0	0.0	1.0	
1060	30.0	0.0	1.0	0.0	
1061	28.0	1.0	0.0	0.0	
1062	28.0	0.0	0.0	1.0	
1063	28.0	1.0	0.0	0.0	
1064	28.0	1.0	0.0	0.0	
1065	28.0	0.0	0.0	1.0	
1066	28.0	0.0	0.0	1.0	
1067	28.0	0.0	0.0	1.0	
1068	28.0	0.0	0.0	1.0	
1069	28.0	1.0	0.0	0.0	
1070	28.0	1.0	0.0	0.0	
1071	28.0	0.0	0.0	1.0	
1072	28.0	1.0	0.0	0.0	
1073	28.0	0.0	0.0	1.0	
1074	28.0	1.0	0.0	0.0	
1075	28.0	1.0	0.0	0.0	
1076	28.0	1.0	0.0	0.0	
1077	28.0	0.0	0.0	1.0	
1078	28.0	1.0	0.0	0.0	
1079	30.0	0.0	1.0	0.0	
1080	28.0	1.0	0.0	0.0	
1081	30.0	0.0	1.0	0.0	
1082	28.0	1.0	0.0	0.0	
1083	30.0	0.0	1.0	0.0	
1084	28.0	0.0	0.0	1.0	
1085	28.0	1.0	0.0	0.0	
1086	28.0	1.0	0.0	0.0	
1087	30.0	0.0	1.0	0.0	
1088	28.0	1.0	0.0	0.0	
1089	28.0	1.0	0.0	0.0	
1090	28.0	0.0	0.0	1.0	
1091	28.0	1.0	0.0	0.0	
1092	28.0	1.0	0.0	0.0	
1093	28.0	0.0	0.0	1.0	
1094	30.0	0.0	1.0	0.0	
1095	28.0	0.0	0.0	1.0	
1096	28.0	1.0	0.0	0.0	
1097	30.0	0.0	1.0	0.0	
1098	28.0	0.0	0.0	1.0	
1099	30.0	0.0	1.0	0.0	
1100	28.0	1.0	0.0	0.0	
1101	28.0	1.0	0.0	0.0	
1102	28.0	1.0	0.0	0.0	
1103	28.0	1.0	0.0	0.0	
1104	28.0	0.0	0.0	1.0	
1105	28.0	0.0	0.0	1.0	
1106	28.0	1.0	0.0	0.0	
1107	28.0	0.0	0.0	1.0	
1108	30.0	0.0	1.0	0.0	
1109	28.0	0.0	0.0	1.0	
1110	30.0	0.0	1.0	0.0	
1111	28.0	0.0	0.0	1.0	
1112	28.0	0.0	0.0	1.0	
1113	30.0	0.0	1.0	0.0	
1114	28.0	1.0	0.0	0.0	
1115	28.0	0.0	0.0	1.0	
1116	30.0	0.0	1.0	0.0	
1117	28.0	0.0	0.0	1.0	
1118	28.0	0.0	0.0	1.0	
1119	28.0	0.0	0.0	1.0	
1120	28.0	1.0	0.0	0.0	
1121	28.0	1.0	0.0	0.0	
1122	30.0	0.0	1.0	0.0	
1123	28.0	0.0	0.0	1.0	
1124	28.0	0.0	0.0	1.0	
1125	28.0	0.0	0.0	1.0	
1126	28.0	0.0	0.0	1.0	
1127	28.0	0.0	0.0	1.0	
1128	28.0	0.0	0.0	1.0	
1129	28.0	1.0	0.0	0.0	
1130	28.0	1.0	0.0	0.0	
1131	28.0	0.0	0.0	1.0	
1132	28.0	1.0	0.0	0.0	
1133	30.0	0.0	1.0	0.0	
1134	30.0	0.0	1.0	0.0	
1135	28.0	0.0	0.0	1.0	
1136	28.0	1.0	0.0	0.0	
1137	30.0	0.0	1.0	0.0	
1138	28.0	0.0	0.0	1.0	
1139	28.0	1.0	0.0	0.0	
1140	30.0	0.0	1.0	0.0	
1141	28.0	0.0	0.0	1.0	
1142	28.0	1.0	0.0	0.0	
1143	28.0	0.0	0.0	1.0	
1144	28.0	0.0	0.0	1.0	
1145	30.0	0.0	1.0	0.0	
1146	28.0	1.0	0.0	0.0	
1147	28.0	0.0	0.0	1.0	
1148	30.0	0.0	1.0	0.0	
1149	28.0	1.0	0.0	0.0	
1150	28.0	1.0	0.0	0.0	
1151	28.0	0.0	0.0	1.0	
1152	30.0	0.0	1.0	0.0	
1153	28.0	1.0	0.0	0.0	
1154	28.0	0.0	0.0	1.0	
1155	28.0	0.0	0.0	1.0	
1156	28.0	0.0	0.0	1.0	
1157	28.0	0.0	0.0	1.0	
1158	28.0	1.0	0.0	0.0	
1159	28.0	1.0	0.0	0.0	
1160	28.0	1.0	0.0	0.0	
1161	28.0	0.0	0.0	1.0	
1162	30.0	0.0	1.0	0.0	
1163	28.0	0.0	0.0	1.0	
1164	28.0	0.0	0.0	1.0	
1165	30.0	0.0	1.0	0.0	
1166	28.0	0.0	0.0	1.0	
1167	28.0	0.0	0.0	1.0	
1168	30.0	0.0	1.0	0.0	
1169	28.0	0.0	0.0	1.0	
1170	28.0	0.0	0.0	1.0	
1171	28.0	1.0	0.0	0.0	
1172	28.0	0.0	0.0	1.0	
1173	28.0	1.0	0.0	0.0	
1174	28.0	0.0	0.0	1.0	
1175	28.0	0.0	0.0	1.0	
1176	28.0	1.0	0.0	0.0	
1177	30.0	0.0	1.0	0.0	
1178	28.0	1.0	0.0	0.0	
1179	28.0	1.0	0.0	0.0	
1180	30.0	0.0	1.0	0.0	
1181	28.0	0.0	0.0	1.0	
1182	30.0	0.0	1.0	0.0	
1183	28.0	1.0	0.0	0.0	
1184	28.0	0.0	0.0	1.0	
1185	28.0	1.0	0.0	0.0	
1186	28.0	1.0	0.0	0.0	
1187	28.0	1.0	0.0	0.0	
1188	28.0	0.0	0.0	1.0	
1189	28.0	0.0	0.0	1.0	
1190	28.0	1.0	0.0	0.0	
1191	28.0	0.0	0.0	1.0	
1192	28.0	1.0	0.0	0.0	
1193	28.0	1.0	0.0	0.0	
1194	28.0	1.0	0.0	0.0	
1195	28.0	1.0	0.0	0.0	
1196	28.0	1.0	0.0	0.0	
1197	28.0	0.0	0.0	1.0	
1198	28.0	0.0	0.0	1.0	
1199	28.0	1.0	0.0	0.0	
1200	28.0	0.0	0.0	1.0	
1201	28.0	1.0	0.0	0.0	
1202	28.0	1.0	0.0	0.0	
1203	28.0	1.0	0.0	0.0	
1204	28.0	1.0	0.0	0.0	
1205	28.0	0.0	0.0	1.0	
1206	28.0	0.0	0.0	1.0	
1207	28.0	0.0	0.0	1.0	
1208	28.0	1.0	0.0	0.0	
1209	30.0	0.0	1.0	0.0	
1210	30.0	0.0	1.0	0.0	
1211	28.0	1.0	0.0	0.0	
1212	30.0	0.0	1.0	0.0	
1213	28.0	1.0	0.0	0.0	
1214	30.0	0.0	1.0	0.0	
1215	30.0	0.0	1.0	0.0	
1216	28.0	0.0	0.0	1.0	
1217	28.0	0.0	0.0	1.0	
1218	28.0	1.0	0.0	0.0	
1219	28.0	0.0	0.0	1.0	
1220	30.0	0.0	1.0	0.0	
1221	30.0	0.0	1.0	0.0	
1222	28.0	1.0	0.0	0.0	
1223	28.0	1.0	0.0	0.0	
1224	28.0	0.0	0.0	1.0	
1225	28.0	1.0	0.0	0.0	
1226	28.0	1.0	0.0	0.0	
1227	28.0	1.0	0.0	0.0	
1228	28.0	1.0	0.0	0.0	
1229	28.0	1.0	0.0	0.0	
1230	28.0	1.0	0.0	0.0	
1231	28.0	0.0	0.0	1.0	
1232	28.0	1.0	0.0	0.0	
1233	28.0	0.0	0.0	1.0	
1234	28.0	1.0	0.0	0.0	
1235	28.0	1.0	0.0	0.0	
1236	28.0	1.0	0.0	0.0	
1237	28.0	0.0	0.0	1.0	
1238	28.0	1.0	0.0	0.0	
1239	28.0	1.0	0.0	0.0	
1240	28.0	1.0	0.0	0.0	
1241	28.0	1.0	0.0	0.0	
1242	30.0	0.0	1.0	0.0	
1243	28.0	0.0	0.0	1.0	
1244	28.0	0.0	0.0	1.0	
1245	28.0	0.0	0.0	1.0	
1246	30.0	0.0	1.0	0.0	
1247	28.0	0.0	0.0	1.0	
1248	28.0	0.0	0.0	1.0	
1249	28.0	1.0	0.0	0.0	
1250	30.0	0.0	1.0	0.0	
1251	30.0	0.0	1.0	0.0	
1252	30.0	0.0	1.0	0.0	
1253	28.0	1.0	0.0	0.0	
1254	28.0	1.0	0.0	0.0	
1255	28.0	0.0	0.0	1.0	
1256	28.0	0.0	0.0	1.0	
1257	28.0	1.0	0.0	0.0	
1258	30.0	0.0	1.0	0.0	
1259	28.0	0.0	0.0	1.0	
1260	28.0	1.0	0.0	0.0	
1261	28.0	0.0	0.0	1.0	
1262	30.0	0.0	1.0	0.0	
1263	28.0	0.0	0.0	1.0	
1264	28.0	0.0	0.0	1.0	
1265	28.0	1.0	0.0	0.0	
1266	28.0	1.0	0.0	0.0	
1267	28.0	1.0	0.0	0.0	
1268	28.0	0.0	0.0	1.0	
1269	28.0	1.0	0.0	0.0	
1270	28.0	1.0	0.0	0.0	
1271	28.0	1.0	0.0	0.0	
1272	28.0	0.0	0.0	1.0	
1273	28.0	1.0	0.0	0.0	
1274	28.0	0.0	0.0	1.0	
1275	28.0	0.0	0.0	1.0	
1276	28.0	0.0	0.0	1.0	
1277	28.0	0.0	0.0	1.0	
1278	30.0	0.0	1.0	0.0	
1279	28.0	0.0	0.0	1.0	
1280	28.0	0.0	0.0	1.0	
1281	30.0	0.0	1.0	0.0	
1282	28.0	1.0	0.0	0.0	
1283	28.0	0.0	0.0	1.0	
1284	28.0	0.0	0.0	1.0	
1285	28.0	0.0	0.0	1.0	
1286	30.0	0.0	1.0	0.0	
1287	28.0	1.0	0.0	0.0	
1288	30.0	0.0	1.0	0.0	
1289	28.0	1.0	0.0	0.0	
1290	30.0	0.0	1.0	0.0	
1291	30.0	0.0	1.0	0.0	
1292	28.0	1.0	0.0	0.0	
1293	28.0	0.0	0.0	1.0	
1294	28.0	1.0	0.0	0.0	
1295	28.0	1.0	0.0	0.0	
1296	28.0	1.0	0.0	0.0	
1297	28.0	0.0	0.0	1.0	
1298	30.0	0.0	1.0	0.0	
1299	28.0	1.0	0.0	0.0	
1300	30.0	0.0	1.0	0.0	
1301	28.0	1.0	0.0	0.0	
1302	28.0	0.0	0.0	1.0	
1303	28.0	0.0	0.0	1.0	
1304	28.0	0.0	0.0	1.0	
1305	30.0	0.0	1.0	0.0	
1306	28.0	0.0	0.0	1.0	
1307	28.0	1.0	0.0	0.0	
1308	28.0	0.0	0.0	1.0	
1309	28.0	1.0	0.0	0.0	
1310	30.0	0.0	1.0	0.0	
1311	28.0	1.0	0.0	0.0	
1312	28.0	0.0	0.0	1.0	
1313	30.0	0.0	1.0	0.0	
1314	30.0	0.0	1.0	0.0	
1315	28.0	1.0	0.0	0.0	
1316	28.0	0.0	0.0	1.0	
1317	28.0	1.0	0.0	0.0	
1318	30.0	0.0	1.0	0.0	
1319	28.0	1.0	0.0	0.0	
1320	30.0	0.0	1.0	0.0	
1321	28.0	1.0	0.0	0.0	
1322	30.0	0.0	1.0	0.0	
1323	28.0	1.0	0.0	0.0	
1324	28.0	1.0	0.0	0.0	
1325	28.0	1.0	0.0	0.0	
1326	28.0	1.0	0.0	0.0	
1327	28.0	1.0	0.0	0.0	
1328	28.0	0.0	0.0	1.0	
1329	28.0	0.0	0.0	1.0	
1330	28.0	1.0	0.0	0.0	
1331	30.0	0.0	1.0	0.0	
1332	28.0	1.0	0.0	0.0	
1333	28.0	1.0	0.0	0.0	
1334	28.0	0.0	0.0	1.0	
1335	30.0	0.0	1.0	0.0	
1336	28.0	1.0	0.0	0.0	
1337	30.0	0.0	1.0	0.0	
1338	28.0	1.0	0.0	0.0	
1339	28.0	0.0	0.0	1.0	
1340	28.0	0.0	0.0	1.0	
1341	28.0	0.0	0.0	1.0	
1342	30.0	0.0	1.0	0.0	
1343	28.0	0.0	0.0	1.0	
1344	28.0	1.0	0.0	0.0	
1345	28.0	0.0	0.0	1.0	
1346	30.0	0.0	1.0	0.0	
1347	28.0	1.0	0.0	0.0	
1348	30.0	0.0	1.0	0.0	
1349	28.0	1.0	0.0	0.0	
1350	30.0	0.0	1.0	0.0	
1351	28.0	0.0	0.0	1.0	
1352	28.0	1.0	0.0	0.0	
1353	30.0	0.0	1.0	0.0	
1354	28.0	0.0	0.0	1.0	
1355	28.0	0.0	0.0	1.0	
1356	30.0	0.0	1.0	0.0	
1357	28.0	1.0	0.0	0.0	
1358	30.0	0.0	1.0	0.0	
1359	28.0	0.0	0.0	1.0	
1360	30.0	0.0	1.0	0.0	
1361	28.0	0.0	0.0	1.0	
1362	30.0	0.0	1.0	0.0	
1363	28.0	0.0	0.0	1.0	
1364	28.0	1.0	0.0	0.0	
1365	28.0	0.0	0.0	1.0	
1366	28.0	0.0	0.0	1.0	
1367	28.0	0.0	0.0	1.0	
1368	30.0	0.0	1.0	0.0	
1369	28.0	0.0	0.0	1.0	
1370	28.0	1.0	0.0	0.0	
1371	28.0	1.0	0.0	0.0	
1372	28.0	1.0	0.0	0.0	
1373	30.0	0.0	1.0	0.0	
1374	30.0	0.0	1.0	0.0	
1375	28.0	0.0	0.0	1.0	
1376	28.0	1.0	0.0	0.0	
1377	28.0	1.0	0.0	0.0	
1378	28.0	1.0	0.0	0.0	
1379	28.0	0.0	0.0	1.0	
1380	28.0	1.0	0.0	0.0	
1381	28.0	1.0	0.0	0.0	
1382	28.0	1.0	0.0	0.0	
1383	28.0	1.0	0.0	0.0	
1384	28.0	0.0	0.0	1.0	
1385	28.0	0.0	0.0	1.0	
1386	30.0	0.0	1.0	0.0	
1387	28.0	0.0	0.0	1.0	
1388	28.0	0.0	0.0	1.0	
1389	28.0	0.0	0.0	1.0	
1390	30.0	0.0	1.0	0.0	
1391	28.0	1.0	0.0	0.0	
1392	28.0	1.0	0.0	0.0	
1393	30.0	0.0	1.0	0.0	
1394	30.0	0.0	1.0	0.0	
1395	30.0	0.0	1.0	0.0	
1396	28.0	1.0	0.0	0.0	
1397	28.0	0.0	0.0	1.0	
1398	28.0	1.0	0.0	0.0	
1399	28.0	1.0	0.0	0.0	
1400	28.0	1.0	0.0	0.0	
1401	28.0	1.0	0.0	0.0	
1402	28.0	1.0	0.0	0.0	
1403	30.0	0.0	1.0	0.0	
1404	30.0	0.0	1.0	0.0	
1405	28.0	1.0	0.0	0.0	
1406	28.0	1.0	0.0	0.0	
1407	28.0	1.0	0.0	0.0	
1408	28.0	0.0	0.0	1.0	
1409	28.0	1.0	0.0	0.0	
1410	28.0	1.0	0.0	0.0	
1411	28.0	0.0	0.0	1.0	
1412	28.0	1.0	0.0	0.0	
1413	28.0	0.0	0.0	1.0	
1414	28.0	0.0	0.0	1.0	
1415	28.0	0.0	0.0	1.0	
1416	28.0	1.0	0.0	0.0	
1417	30.0	0.0	1.0	0.0	
1418	28.0	0.0	0.0	1.0	
1419	28.0	0.0	0.0	1.0	
1420	28.0	1.0	0.0	0.0	
1421	30.0	0.0	1.0	0.0	
1422	28.0	0.0	0.0	1.0	
1423	30.0	0.0	1.0	0.0	
1424	28.0	0.0	0.0	1.0	
1425	28.0	0.0	0.0	1.0	
1426	28.0	0.0	0.0	1.0	
1427	30.0	0.0	1.0	0.0	
