Sample	cat16-52.trees	cat16-52.sequence04_sequence12	cat16-52.sequence05_sequence11_sequence13_sequence02_sequence09_sequence03_sequence10_sequence06_sequence08_sequence15	cat16-52.sequence04_sequence14_sequence11_sequence12_sequence13_sequence16_sequence02_sequence06_sequence08	cat16-52.sequence01_sequence05_sequence04_sequence14_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence06_sequence08_sequence15	cat16-52.sequence01_sequence07	cat16-52.sequence05_sequence04_sequence14_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence06_sequence08_sequence15	cat16-52.sequence05_sequence04_sequence14_sequence07_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence06_sequence08_sequence15	cat16-52.sequence11_sequence13_sequence02_sequence06_sequence08	cat16-52.sequence05_sequence04_sequence14_sequence12_sequence16_sequence09_sequence03_sequence10_sequence15	
32	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
33	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
34	26.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
35	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
36	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
37	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
38	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
39	28.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
40	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
41	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
42	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
43	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
44	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
45	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
46	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
47	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
48	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
49	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
50	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
51	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
52	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
53	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
54	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
55	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
56	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
57	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
58	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
59	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
60	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
61	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
62	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
63	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
64	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
65	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
66	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
67	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
68	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
69	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
70	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
71	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
72	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
73	28.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
74	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
75	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
76	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
77	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
78	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
79	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	
80	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
81	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
82	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
83	28.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
84	26.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	
85	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
