Sample	cat16-52.trees	cat16-52.sequence04_sequence12	cat16-52.sequence05_sequence11_sequence13_sequence02_sequence09_sequence03_sequence10_sequence06_sequence08_sequence15	cat16-52.sequence04_sequence14_sequence11_sequence12_sequence13_sequence16_sequence02_sequence06_sequence08	cat16-52.sequence01_sequence05_sequence04_sequence14_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence06_sequence08_sequence15	cat16-52.sequence01_sequence07	cat16-52.sequence05_sequence04_sequence14_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence06_sequence08_sequence15	cat16-52.sequence05_sequence04_sequence14_sequence07_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence06_sequence08_sequence15	cat16-52.sequence11_sequence13_sequence02_sequence06_sequence08	cat16-52.sequence05_sequence04_sequence14_sequence12_sequence16_sequence09_sequence03_sequence10_sequence15	
259	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
260	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
261	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
262	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
263	28.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
264	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
265	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
266	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
267	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
268	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
269	28.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
270	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
271	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
272	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
273	28.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
274	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
275	28.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
276	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
277	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
278	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
279	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
280	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
281	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
282	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
283	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
284	28.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
285	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
286	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
287	26.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	
288	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
289	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
290	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
291	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	
292	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
293	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
294	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
295	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
296	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
297	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
298	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
299	28.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
300	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
301	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
302	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
303	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
304	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
305	28.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
306	26.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	
307	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	
308	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
309	28.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
310	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
311	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
312	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
313	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
314	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
315	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
316	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
317	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
318	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
319	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
320	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
321	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
322	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
323	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
324	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
325	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
326	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
327	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
328	28.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
329	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
330	28.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	
331	28.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
332	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
333	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
334	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
335	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
336	28.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	
337	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
338	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
339	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
340	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
341	28.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
342	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
343	28.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
344	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
345	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
346	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
347	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	
348	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
349	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
350	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
351	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
352	28.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
353	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
354	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
355	28.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
356	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
357	28.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
358	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
359	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
360	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
361	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
362	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
363	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
364	28.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
365	28.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
366	26.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	
367	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
368	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
369	28.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
370	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
371	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
372	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
373	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
374	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
375	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
376	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
377	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
378	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
379	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
380	28.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
381	28.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
382	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
383	28.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
384	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
385	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
386	28.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
387	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
388	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
389	26.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
390	28.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
391	28.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
392	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
393	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
394	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
395	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
396	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
397	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
398	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
399	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
400	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
401	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
402	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	
403	26.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
404	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
405	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
406	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
407	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
408	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
409	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
410	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
411	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
412	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
413	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
414	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
415	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
416	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
417	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
418	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
419	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
420	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
421	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
422	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
423	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
424	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
425	28.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
426	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
427	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
428	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
429	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
430	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
431	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
432	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
433	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	
434	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
435	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
436	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
437	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
438	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
439	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
440	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
441	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
442	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
443	28.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
444	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
445	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
446	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
447	28.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
448	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	
449	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
450	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
451	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
452	28.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	
453	26.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	
454	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
455	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
456	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
457	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
458	28.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	
459	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
460	28.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
461	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
462	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
463	28.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	
464	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
465	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
466	28.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
467	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
468	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
469	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
470	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	
471	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
472	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
473	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
474	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
475	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
476	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
477	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
478	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
479	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
480	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
481	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
482	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
483	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
484	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
485	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
486	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
487	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
488	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
489	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
490	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
491	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
492	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
493	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
494	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
495	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
496	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
497	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
498	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
499	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
500	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
501	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
502	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
503	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
504	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	
505	28.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
506	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
507	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
508	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
509	28.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
510	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
511	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
512	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
513	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
514	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
515	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
516	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
517	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
518	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
519	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	
520	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
521	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	
522	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
523	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
524	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
525	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
526	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
527	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
528	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
529	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
530	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
531	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
532	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
533	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
534	28.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	
535	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
536	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
537	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
538	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
539	28.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
540	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
541	26.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	
542	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
543	28.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
544	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
545	28.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
546	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
547	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
548	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
549	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
550	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
551	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
552	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
553	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
554	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
555	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
556	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
557	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
558	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
559	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
560	28.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
561	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
562	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
563	28.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
564	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
565	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
566	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
567	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
568	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
569	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
570	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
571	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
572	28.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
