Sample	cat16-38.trees	cat16-38.sequence11_sequence10_sequence06	cat16-38.sequence11_sequence10_sequence06_sequence15	cat16-38.sequence10_sequence15	cat16-38.sequence11_sequence06_sequence15	cat16-38.sequence01_sequence05_sequence04_sequence14_sequence07_sequence13_sequence16_sequence02_sequence09_sequence03	cat16-38.sequence07_sequence16_sequence03	cat16-38.sequence05_sequence07_sequence11_sequence12_sequence16_sequence02_sequence03_sequence10_sequence06_sequence08_sequence15	cat16-38.sequence01_sequence04_sequence14_sequence11_sequence12_sequence13_sequence09_sequence10_sequence06_sequence08_sequence15	cat16-38.sequence05_sequence16_sequence02_sequence03	
280	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
281	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
282	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
283	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
284	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
285	26.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
286	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
287	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
288	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
289	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
290	26.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	
291	28.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
292	28.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
293	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
294	26.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
295	26.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	
296	28.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
297	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
298	28.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
299	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
300	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
301	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
302	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
303	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
304	26.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
305	28.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
306	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
307	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
308	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
309	28.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
310	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
311	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
312	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
313	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
314	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
315	28.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
316	28.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
317	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
318	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
319	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
320	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
321	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
322	28.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
323	28.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
324	28.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
325	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
326	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
327	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
328	28.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	
329	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
330	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
331	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
332	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
333	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
334	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
335	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
336	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
337	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
338	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
339	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
340	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
341	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
342	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
343	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
344	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
345	28.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
346	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
347	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
348	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
349	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
350	28.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
351	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
352	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
353	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
354	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
355	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
356	28.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
357	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
358	26.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
359	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
360	26.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
361	26.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	
362	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
363	28.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
364	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
365	26.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
366	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
367	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
368	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
369	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
370	28.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
371	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
372	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
373	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
374	28.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
375	28.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
376	28.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
377	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
378	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
379	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
380	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
381	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
382	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
383	28.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
384	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
385	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
386	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
387	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
388	28.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
389	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
390	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
391	28.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
392	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
393	28.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
394	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
395	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
396	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
397	28.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
398	28.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
399	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
400	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
401	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
402	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
403	28.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
404	28.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	
405	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
406	28.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
407	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
408	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
409	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
410	28.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
411	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
412	28.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	
413	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
414	28.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	
415	28.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
416	28.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
417	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
418	28.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
419	28.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	
420	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
421	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
422	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
423	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
424	24.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	
425	26.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	
426	28.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
427	26.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
428	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
429	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
430	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
431	26.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	
432	28.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
433	28.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
434	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
435	26.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
436	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
437	28.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
438	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
439	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
440	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
441	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
442	28.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
443	28.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
444	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
445	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
446	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
447	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
448	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
449	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
450	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
451	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
452	28.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	
453	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
454	28.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	
455	28.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
456	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
457	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
458	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
459	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
460	28.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
461	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
462	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
463	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
464	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
465	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
466	26.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
467	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
468	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
469	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
470	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
471	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
472	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
473	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
474	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
475	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
476	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
477	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
478	28.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
479	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
480	28.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
481	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
482	28.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
483	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
484	26.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	
485	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
486	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
487	28.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
488	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
489	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
490	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
491	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
492	28.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
493	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
494	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
495	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
496	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
497	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
498	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
499	28.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
500	28.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
501	28.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
502	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
503	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
504	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
505	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
506	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
507	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
508	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
509	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
510	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
511	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
512	28.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
513	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
514	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
515	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
516	26.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	
517	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
518	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
519	28.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
520	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
521	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
522	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
523	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
524	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
525	26.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
526	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
527	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
528	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
529	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
530	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
531	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
532	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
533	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
534	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
535	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
536	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
537	28.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
538	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
539	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
540	28.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
541	28.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	
542	28.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	
543	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
544	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
545	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
546	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
547	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
548	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
549	26.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
550	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
551	28.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
552	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
553	28.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	
554	26.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
555	26.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
556	28.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
557	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
558	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
559	28.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	
560	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
561	28.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	
562	28.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
563	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
564	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
565	28.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
566	28.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
567	26.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
568	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
569	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
570	26.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
571	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
572	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
573	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
574	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
575	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
576	24.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	
577	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
578	28.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
579	28.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
580	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
581	26.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
582	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
583	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
584	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
585	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
586	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
587	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
588	26.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
589	28.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
590	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
591	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
592	26.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
593	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
594	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
595	28.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
596	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
597	28.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
