Sample	cat16-38.trees	cat16-38.sequence11_sequence10_sequence06	cat16-38.sequence11_sequence10_sequence06_sequence15	cat16-38.sequence10_sequence15	cat16-38.sequence11_sequence06_sequence15	cat16-38.sequence01_sequence05_sequence04_sequence14_sequence07_sequence13_sequence16_sequence02_sequence09_sequence03	cat16-38.sequence07_sequence16_sequence03	cat16-38.sequence05_sequence07_sequence11_sequence12_sequence16_sequence02_sequence03_sequence10_sequence06_sequence08_sequence15	cat16-38.sequence01_sequence04_sequence14_sequence11_sequence12_sequence13_sequence09_sequence10_sequence06_sequence08_sequence15	cat16-38.sequence05_sequence16_sequence02_sequence03	
66	26.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
67	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
68	28.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
69	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
70	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
71	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
72	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
73	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
74	28.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
75	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
76	26.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
77	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
78	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
79	28.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	
80	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
81	26.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	
82	26.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	
83	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
84	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
85	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
86	28.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
87	28.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
88	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
89	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
90	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
