Sample	cat16-91.trees	cat16-91.sequence04_sequence14_sequence11_sequence12_sequence13_sequence16_sequence02_sequence03_sequence10_sequence06_sequence15	cat16-91.sequence01_sequence05_sequence07_sequence09_sequence03_sequence08	cat16-91.sequence14_sequence11	cat16-91.sequence14_sequence11_sequence13_sequence06	cat16-91.sequence01_sequence05_sequence04_sequence14_sequence07_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence10_sequence06_sequence08_sequence15	cat16-91.sequence11_sequence06	cat16-91.sequence14_sequence06	
83	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
84	28.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	
85	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
86	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
87	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
88	26.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
89	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
90	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
91	26.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
92	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
93	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
94	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
95	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
96	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
97	28.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	
98	28.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	
99	26.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
100	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
101	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
102	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
103	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
104	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
105	26.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
106	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
107	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
108	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
109	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
110	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
111	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
112	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
113	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
114	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
115	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
116	28.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	
117	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
118	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
119	28.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	
120	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
121	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
122	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
123	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
124	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
125	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
126	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
127	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
128	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
129	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
130	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
131	28.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	
132	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
133	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
134	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
135	28.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	
136	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
137	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
138	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
139	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
140	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
141	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
142	26.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
143	26.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
144	26.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
145	28.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	
