Sample	cat16-91.trees	cat16-91.sequence04_sequence14_sequence11_sequence12_sequence13_sequence16_sequence02_sequence03_sequence10_sequence06_sequence15	cat16-91.sequence01_sequence05_sequence07_sequence09_sequence03_sequence08	cat16-91.sequence14_sequence11	cat16-91.sequence14_sequence11_sequence13_sequence06	cat16-91.sequence01_sequence05_sequence04_sequence14_sequence07_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence10_sequence06_sequence08_sequence15	cat16-91.sequence11_sequence06	cat16-91.sequence14_sequence06	
369	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
370	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
371	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
372	26.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
373	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
374	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
375	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
376	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
377	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
378	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
379	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
380	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
381	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
382	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
383	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
384	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
385	26.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
386	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
387	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
388	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
389	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
390	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
391	26.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
392	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
393	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
394	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
395	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
396	28.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	
397	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
398	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
399	26.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	
400	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
401	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
402	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
403	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
404	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
405	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
406	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
407	26.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
408	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
409	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
410	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
411	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
412	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
413	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
414	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
415	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
416	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
417	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
418	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
419	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
420	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
421	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
422	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
423	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
424	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
425	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
426	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
427	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
428	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
429	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
430	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
431	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
432	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
433	28.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	
434	28.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	
435	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
436	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
437	28.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	
438	28.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	
439	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
440	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
441	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
442	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
443	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
444	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
445	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
446	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
447	28.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	
448	28.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	
449	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
450	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
451	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
452	28.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	
453	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
454	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
455	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
456	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
457	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
458	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
459	28.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	
460	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
461	26.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
462	28.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	
463	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
464	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
465	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
466	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
467	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
468	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
469	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
470	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
471	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
472	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
473	26.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
474	28.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	
475	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
476	28.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	
477	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
478	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
479	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
480	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
481	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
482	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
483	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
484	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
485	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
486	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
487	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
488	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
489	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
490	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
491	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
492	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
493	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
494	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
495	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
496	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
497	28.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	
498	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
499	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
500	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
501	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
502	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
503	26.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
504	28.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	
505	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
506	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
507	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
508	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
509	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
510	28.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	
511	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
512	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
513	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
514	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
515	26.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
516	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
517	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
518	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
519	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
520	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
521	28.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	
522	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
523	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
524	26.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
525	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
526	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
527	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
528	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
529	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
530	26.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
531	26.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
532	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
533	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
534	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
535	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
536	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
537	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
538	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
539	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
540	26.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
541	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
542	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
543	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
544	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
545	26.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	
546	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
547	26.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
548	28.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	
549	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
550	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
551	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
552	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
553	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
554	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
555	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
556	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
557	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
558	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
559	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
560	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
561	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
562	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
563	28.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	
564	26.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
565	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
566	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
567	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
568	26.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
569	26.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
570	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
571	26.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
572	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
573	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
574	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
575	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
576	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
577	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
578	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
579	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
580	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
581	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
582	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
583	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
584	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
585	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
586	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
587	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
588	28.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	
589	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
590	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
591	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
592	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
593	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
594	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
595	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
596	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
597	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
598	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
599	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
600	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
601	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
602	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
603	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
604	26.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	
605	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
606	26.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
607	28.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	
608	26.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
609	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
610	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
611	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
612	28.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	
613	26.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	
614	28.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	
615	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
616	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
617	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
618	28.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	
619	26.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
620	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
621	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
622	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
623	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
624	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
625	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
626	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
627	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
628	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
629	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
630	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
631	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
632	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
633	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
634	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
635	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
636	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
637	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
638	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
639	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
640	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
641	28.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	
642	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
643	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
644	26.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
645	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
646	26.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
647	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
648	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
649	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
650	26.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
651	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
652	26.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
653	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
654	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
655	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
656	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
657	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
658	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
659	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
660	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
661	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
662	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
663	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
664	26.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
665	26.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
666	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
667	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
668	26.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
669	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
670	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
671	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
672	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
673	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
674	26.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
675	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
676	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
677	28.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	
678	28.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	
679	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
680	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
681	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
682	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
683	28.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	
684	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
685	26.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
686	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
687	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
688	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
689	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
690	26.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	
691	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
692	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
693	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
694	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
695	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
696	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
697	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
698	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
699	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
700	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
701	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
702	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
703	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
704	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
705	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
706	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
707	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
708	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
709	28.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	
710	28.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	
711	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
712	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
713	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
714	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
715	28.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	
716	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
717	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
718	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
719	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
720	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
721	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
722	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
723	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
724	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
725	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
726	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
727	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
728	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
729	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
730	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
731	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
732	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
733	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
734	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
735	28.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	
736	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
737	26.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
738	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
739	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
740	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
741	28.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	
742	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
743	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
744	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
745	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
746	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
747	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
748	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
749	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
750	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
751	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
752	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
753	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
754	28.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	
755	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
756	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
757	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
758	28.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	
759	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
760	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
